time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025714,448.3,56.0,2086.8,87.4,2667.9,305.8,450.3,2097,2668.7,188.2,78.6,15.2
0.027714,446.7,55.0,2093.0,87.6,2669.4,287.0,448.9,2099.7,2669,188.4,79,15.5
0.029714,444.7,55.9,2101.4,83.2,2667.7,260.7,446.7,2104,2669.5,188.5,79.3,15.7
0.031714,442.9,58.3,2110.7,74.8,2664.4,232.2,443.7,2109.7,2670,188.6,79.6,16
0.033714,441.3,61.3,2119.3,65.6,2664.6,193.1,440,2116.5,2670.5,188.8,79.9,16.3
0.035714,439.0,62.8,2126.7,61.1,2669.7,156.3,435.9,2124.1,2670.8,188.9,80.2,16.6
0.037714,435.1,62.0,2134.9,61.8,2674.5,130.4,431.4,2132.1,2670.9,189,80.5,16.8
0.039714,429.5,58.9,2145.7,65.4,2675.8,115.8,426.7,2140.1,2670.6,189.1,80.8,17
0.041714,423.4,54.5,2156.9,67.2,2674.4,108.7,421.9,2147.9,2669.9,189.2,81.1,17.3
0.043714,417.1,48.9,2165.5,65.5,2672.8,102.7,417.3,2155.2,2668.8,189.3,81.5,17.6
0.045714,411.7,43.7,2169.3,62.2,2671.8,95.8,412.8,2161.8,2667.2,189.4,81.8,18.1
0.047714,407.2,39.1,2170.3,59.0,2670.4,88.2,408.7,2167.7,2665.2,189.5,82.1,18.9
0.049714,403.4,35.3,2170.6,56.2,2667.3,80.8,405,2172.7,2662.9,189.5,82.4,20
0.051714,400.5,32.4,2171.2,54.2,2662.5,75.7,401.7,2177.1,2660.5,189.5,82.7,21.2
0.053714,397.8,29.6,2172.6,53.8,2656.4,73.3,398.9,2180.8,2657.9,189.5,82.9,22.2
0.055714,395.7,27.2,2175.6,54.7,2651.1,73.3,396.5,2184.2,2655.4,189.5,83.2,22.9
0.057714,394.1,25.1,2180.3,56.2,2646.8,74.7,394.5,2187.3,2653,189.5,83.4,23.1
0.059714,392.8,23.3,2186.0,57.4,2643.3,76.6,393,2190.4,2651,189.5,83.6,22.9
0.061714,392.0,22.1,2191.2,57.6,2640.9,78.2,391.7,2193.7,2649.2,189.4,83.8,22.6
0.063714,391.3,21.1,2195.8,57.0,2639.6,79.5,390.7,2197.3,2647.8,189.3,83.9,22.4
0.065714,390.7,20.3,2200.2,56.3,2640.0,81.0,389.9,2201.2,2646.8,189.2,84,22.3
0.067714,390.0,19.7,2205.6,55.7,2642.6,83.8,389.2,2205.6,2646,189.1,84.1,22.4
0.069714,389.2,19.0,2212.7,54.8,2647.4,88.6,388.6,2210.3,2645.4,189,84.2,22.7
0.071714,388.4,18.4,2220.1,53.4,2652.7,94.7,388,2215.3,2644.9,188.9,84.3,23
0.073714,387.7,17.7,2227.2,51.7,2657.4,102.8,387.5,2220.3,2644.4,188.7,84.4,23.3
0.075714,387.0,17.0,2232.6,50.2,2659.2,111.5,386.8,2225.2,2643.8,188.6,84.5,23.6
0.077714,386.3,16.5,2236.2,49.1,2656.5,120.5,386.2,2229.8,2642.9,188.4,84.6,23.7
0.079714,385.5,16.1,2238.4,48.4,2648.4,130.4,385.5,2233.8,2641.9,188.2,84.6,23.8
0.081714,384.6,15.7,2239.7,47.9,2638.4,139.4,384.8,2237,2640.6,188,84.7,23.8
0.083714,383.7,15.3,2240.4,47.0,2630.7,146.1,384,2239.4,2639.2,187.8,84.7,23.9
0.085714,382.9,15.0,2240.6,45.9,2628.1,148.6,383.2,2240.7,2637.9,187.6,84.8,24
0.087714,382.1,14.7,2239.5,45.2,2628.6,147.8,382.4,2241.1,2636.7,187.4,84.8,24.1
0.089714,381.3,14.2,2235.6,45.6,2630.6,145.4,381.6,2240.5,2636,187.2,84.8,24.4
0.091714,380.4,13.6,2229.7,47.3,2632.7,143.8,380.7,2239,2636.1,187,84.8,24.6
0.093714,379.5,12.7,2224.0,49.7,2634.5,144.2,379.8,2236.9,2637.1,186.8,84.8,24.8
0.095714,378.7,11.8,2221.7,51.8,2636.3,146.5,378.9,2234.4,2639.4,186.6,84.8,25
0.097714,377.8,11.0,2223.2,52.2,2639.4,148.8,377.9,2231.6,2643.2,186.4,84.7,25
0.099714,376.9,10.3,2227.6,50.5,2645.6,149.6,377,2228.9,2648.5,186.2,84.6,25
0.101714,375.9,9.7,2232.4,48.1,2654.6,149.4,375.9,2226.5,2655.6,186,84.5,25
0.103714,374.9,9.3,2235.6,46.4,2667.1,149.2,374.9,2224.5,2664.2,185.8,84.4,24.8
0.105714,374.0,8.9,2235.8,46.4,2682.4,149.0,373.8,2223,2674.4,185.6,84.2,24.6
0.107714,373.0,8.6,2233.6,48.1,2699.0,147.9,372.6,2222.2,2685.7,185.4,84,24.2
0.109714,372.1,8.2,2230.3,51.4,2713.1,145.9,371.5,2222.1,2697.8,185.2,83.7,23.8
0.111714,371.1,7.8,2226.9,55.7,2720.1,145.7,370.4,2222.5,2710.3,185,83.4,23.2
0.113714,370.0,7.5,2223.3,61.3,2722.5,149.5,369.4,2223.3,2722.6,184.8,83.1,22.6
0.115714,368.9,7.4,2220.4,67.5,2724.2,155.9,368.4,2224.5,2734.2,184.6,82.7,21.9
0.117714,367.9,7.4,2219.1,74.2,2728.7,164.5,367.6,2225.9,2744.6,184.4,82.3,21.1
0.119714,366.8,7.6,2220.8,80.6,2738.1,176.9,366.9,2227.1,2753.3,184.2,81.8,20.2
0.121714,365.9,8.1,2225.2,83.9,2751.8,187.7,366.4,2228.1,2759.9,184.1,81.2,19.3
0.123714,365.2,9.2,2228.7,80.8,2768.2,185.9,366,2228.8,2763.9,183.9,80.5,18.2
0.125714,365.1,11.3,2227.4,71.3,2781.1,170.5,365.9,2229.1,2765.3,183.8,79.7,17.1
