time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025880,424.9,37.4,2142.3,260.4,3044.9,1127.2,426.2,2134.6,3061.6,239.6,72.3,19.6
0.027880,426.4,37.4,2136.0,248.4,3032.3,1055.3,427.6,2136.8,3063,239.7,72.7,20.1
0.029880,428.4,37.8,2129.8,244.5,3039.5,945.2,429.8,2140.3,3065.3,239.7,73.1,20.8
0.031880,431.2,38.9,2130.9,244.4,3071.6,835.6,432.8,2144.9,3068.3,239.8,73.5,21.6
0.033880,435.2,41.4,2143.4,238.3,3114.5,698.6,436.4,2150.5,3071.8,239.8,73.9,22.5
0.035880,440.6,45.3,2161.5,215.5,3128.7,545.7,440.4,2156.6,3075.6,239.9,74.3,23.3
0.037880,446.7,48.7,2174.9,184.7,3112.9,439.6,444.8,2163.1,3079.5,239.9,74.7,23.9
0.039880,452.5,50.0,2181.8,160.0,3088.4,384.0,449.2,2169.7,3083.1,239.9,75.1,24.5
0.041880,457.4,49.2,2185.2,142.6,3069.3,355.1,453.6,2175.9,3086.4,240,75.4,24.9
0.043880,461.1,47.1,2186.9,130.2,3063.4,334.1,457.8,2181.7,3089,240,75.7,25.2
0.045880,463.7,44.6,2187.6,122.1,3070.3,314.9,461.5,2186.7,3090.9,240,76,25.5
0.047880,465.2,41.9,2187.7,119.2,3080.4,301.0,464.8,2190.8,3091.9,240,76.3,25.8
0.049880,466.1,39.3,2187.8,119.8,3085.0,291.2,467.4,2193.9,3092,240,76.6,26
0.051880,467.0,37.1,2188.4,120.5,3084.7,276.1,469.5,2195.9,3091.1,239.9,76.8,26.1
0.053880,467.9,35.5,2190.0,119.8,3084.6,252.0,470.8,2197,3089.2,239.9,77,26.2
0.055880,468.8,34.1,2192.1,118.5,3086.2,223.8,471.6,2197.1,3086.4,239.9,77.2,26.3
0.057880,469.5,32.9,2193.8,119.0,3087.7,199.3,471.8,2196.5,3082.9,239.8,77.4,26.4
0.059880,469.7,31.8,2194.9,122.5,3088.1,184.3,471.6,2195.3,3078.6,239.8,77.6,26.6
0.061880,469.8,30.7,2195.2,127.4,3086.5,179.9,471,2193.8,3073.8,239.7,77.7,26.9
0.063880,469.7,29.6,2194.8,129.8,3081.5,181.8,470.2,2192,3068.5,239.6,77.8,27.1
0.065880,469.7,28.9,2193.8,127.0,3072.8,180.3,469.3,2190.3,3062.9,239.5,77.9,27.4
0.067880,469.8,28.6,2192.5,120.1,3061.6,169.0,468.5,2188.8,3057,239.5,78,27.8
0.069880,469.9,28.8,2191.0,111.9,3050.8,152.6,467.7,2187.6,3050.8,239.4,78.1,28.3
0.071880,470.0,29.3,2189.3,104.4,3040.5,138.0,467.2,2186.8,3044.5,239.3,78.1,29
0.073880,469.9,29.8,2187.7,98.9,3031.4,130.7,466.9,2186.4,3038.1,239.2,78.1,29.7
0.075880,469.6,30.2,2186.8,95.5,3023.1,132.0,466.8,2186.6,3031.5,239.1,78.1,30.3
0.077880,469.1,30.2,2186.8,93.4,3015.7,140.7,467.1,2187,3024.8,239,78.1,30.8
0.079880,468.4,30.1,2187.5,92.1,3008.8,154.1,467.5,2187.8,3017.9,238.8,78,31.1
0.081880,467.7,30.1,2188.4,90.3,3003.0,167.2,468.1,2188.7,3011,238.7,77.9,31.4
0.083880,467.1,30.5,2188.8,86.7,2998.4,174.9,468.8,2189.5,3003.9,238.6,77.9,31.6
0.085880,466.7,31.3,2188.5,81.3,2994.9,176.7,469.3,2190,2996.7,238.5,77.7,31.6
0.087880,466.5,32.4,2187.6,75.2,2991.5,176.8,469.7,2190.2,2989.5,238.3,77.6,31.4
0.089880,466.5,33.9,2186.5,69.8,2987.4,180.0,469.8,2189.8,2982.3,238.2,77.4,31
0.091880,466.5,35.6,2185.0,66.2,2982.6,188.1,469.5,2188.6,2975.2,238,77.2,30.2
0.093880,466.4,37.5,2183.4,64.7,2978.4,197.6,468.7,2186.7,2968.1,237.9,77,29.4
0.095880,466.2,39.8,2182.0,64.5,2974.7,205.8,467.5,2184,2961.3,237.7,76.7,28.5
0.097880,465.9,42.5,2180.6,65.4,2970.5,214.8,465.7,2180.5,2954.8,237.5,76.4,27.6
0.099880,465.3,45.3,2178.9,67.5,2964.7,229.7,463.4,2176.3,2948.7,237.4,76,26.8
0.101880,464.2,48.4,2175.8,71.1,2955.6,258.4,460.7,2171.6,2943,237.2,75.6,26.1
0.103880,462.4,51.7,2171.2,77.1,2941.3,309.5,457.7,2166.4,2937.8,237,75.1,25.4
0.105880,459.3,55.2,2165.5,86.4,2919.9,397.4,454.5,2161,2933.2,236.8,74.5,24.5
0.107880,454.5,58.7,2159.8,98.8,2891.0,536.8,451.3,2155.7,2929.1,236.6,73.9,23.3
0.109880,449.4,61.6,2154.8,106.0,2868.4,667.9,448.3,2150.6,2925.7,236.4,73.1,21.8
0.111880,445.0,64.0,2147.4,100.4,2875.4,675.4,445.5,2146.1,2922.9,236.2,72.2,20
0.113880,442.0,65.1,2139.2,84.7,2905.3,558.4,443.1,2142.3,2920.7,236,71.1,18.1
0.115880,439.5,63.8,2133.8,66.9,2935.3,415.5,441.3,2139.5,2919.2,235.8,69.9,16.1
0.117880,437.5,59.8,2132.9,54.3,2957.2,310.2,440.2,2137.7,2918.3,235.6,68.5,14.1
0.119880,436.2,54.3,2136.2,49.0,2975.4,250.4,439.9,2137.1,2917.9,235.4,67,12
