time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025941,444.4,116.7,2339.1,153.3,3127.5,244.3,467.6,2328.1,3102.3,193.1,65.6,6.2
0.027941,449.9,107.9,2339.9,149.2,3121.8,207.1,470.9,2329.4,3103.6,192.7,66.6,6
0.029941,452.3,109.3,2342.0,141.3,3113.0,170.3,476.2,2331.5,3105.5,192.3,67.3,5
0.031941,457.3,124.7,2342.3,134.8,3107.4,146.0,483.3,2334,3107.7,191.9,67.8,3.8
0.033941,474.1,151.4,2339.4,133.0,3106.4,136.7,492,2336.6,3109.8,191.5,68.3,2.9
0.035941,509.3,168.3,2333.5,134.7,3108.0,139.6,501.8,2338.9,3111,191,68.7,2.7
0.037941,543.8,154.8,2326.9,137.8,3109.2,153.4,512.5,2340.4,3110.9,190.6,69.1,3.4
0.039941,567.6,128.2,2322.1,139.3,3104.9,176.7,523.5,2340.6,3108.9,190.1,69.5,4.9
0.041941,580.9,103.2,2321.1,138.3,3090.1,203.2,534.5,2339,3104.3,189.6,69.9,6.6
0.043941,583.9,86.6,2323.2,137.9,3071.2,215.5,545,2335.2,3096.8,189.2,70.2,8.2
0.045941,580.4,74.3,2323.8,142.0,3056.5,220.7,554.7,2328.8,3085.8,188.7,70.4,9.3
0.047941,575.0,64.9,2317.8,150.1,3047.6,233.0,563.3,2319.5,3071.1,188.3,70.5,9.8
0.049941,570.1,56.8,2305.7,156.3,3039.5,250.0,570.5,2307.1,3052.6,187.8,70.6,10
0.051941,565.7,49.8,2290.8,153.9,3029.3,261.6,576,2291.6,3030.2,187.4,70.5,10
0.053941,562.2,44.7,2277.2,144.7,3016.4,264.4,579.8,2272.9,3004.3,187,70.3,10
0.055941,559.1,41.0,2261.7,135.6,2996.1,265.8,581.7,2251.1,2975.1,186.7,70,10.2
0.057941,556.9,38.1,2242.1,133.2,2964.4,271.4,581.9,2226.6,2943.1,186.3,69.7,10.7
0.059941,555.3,34.9,2213.9,136.7,2916.4,268.8,580.4,2199.7,2908.9,186,69.3,11.3
0.061941,554.3,31.2,2176.2,139.1,2868.3,241.8,577.4,2170.8,2873.2,185.7,68.8,12
0.063941,553.9,28.4,2142.6,137.4,2842.9,217.0,573,2140.3,2836.7,185.5,68.4,12.5
