time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025782,382.0,35.9,2346.7,156.6,2867.8,350.9,384,2337.7,2844.4,217.2,76.6,3.7
0.027782,385.4,29.6,2332.2,141.5,2847.0,342.1,385.1,2332.3,2834.2,217.7,78,17.4
0.029782,387.4,24.8,2318.8,135.9,2821.8,331.3,386.9,2323.6,2818.1,218.1,79,19.9
0.031782,389.8,21.5,2307.8,140.7,2794.1,332.1,389.4,2312.4,2797.2,218.6,79.9,16
0.033782,393.2,20.2,2300.9,156.9,2767.7,349.8,392.5,2299.3,2773.1,219.1,80.6,10.7
0.035782,396.9,20.1,2294.6,181.7,2738.0,367.4,396,2285.2,2747.4,219.6,81.2,8.8
0.037782,400.6,20.3,2281.3,205.9,2705.4,352.4,400,2271.1,2722,220.1,81.7,10.3
0.039782,404.1,19.7,2258.5,216.4,2678.6,305.9,404.2,2257.6,2698.3,220.6,82.1,12.1
0.041782,408.1,18.0,2234.1,210.0,2660.3,259.3,408.5,2245.3,2677.7,221.2,82.6,14
0.043782,412.3,16.0,2218.0,197.3,2649.7,233.0,413,2234.8,2661.4,221.8,82.9,15.8
0.045782,416.7,14.2,2210.8,185.4,2646.4,222.5,417.4,2226.3,2649.8,222.4,83.3,17.1
0.047782,421.3,12.8,2210.2,175.6,2650.5,218.2,421.6,2219.6,2643.2,223,83.7,18.1
0.049782,425.7,11.7,2212.8,168.1,2657.6,213.2,425.7,2214.5,2641.2,223.6,84,18.7
0.051782,430.0,10.8,2216.2,163.8,2663.4,208.2,429.6,2210.6,2643.1,224.2,84.4,19.2
0.053782,433.6,10.3,2218.5,164.4,2666.7,207.1,433.2,2207.3,2648,224.8,84.8,19.6
0.055782,436.8,10.0,2218.8,171.0,2668.6,209.6,436.4,2203.8,2654.8,225.4,85.1,20.1
0.057782,439.5,9.8,2215.8,183.8,2669.2,211.7,439.4,2199.5,2662.2,226,85.4,20.8
0.059782,441.9,9.6,2208.2,201.1,2668.9,209.5,442.1,2193.7,2669.1,226.7,85.8,21.6
0.061782,444.2,9.4,2194.4,219.4,2667.9,201.9,444.4,2186.1,2674.7,227.3,86.1,22.3
0.063782,446.3,9.1,2175.7,231.6,2666.0,192.6,446.6,2176.2,2678.1,228,86.3,23
0.065782,448.2,8.8,2153.5,233.6,2663.8,185.8,448.4,2163.8,2679,228.6,86.6,23.4
0.067782,450.0,8.7,2132.3,224.8,2663.4,185.7,450.1,2149,2677.5,229.2,86.8,23.6
0.069782,451.7,8.9,2115.5,210.1,2666.8,193.9,451.6,2132,2673.7,229.9,87,23.6
0.071782,453.3,9.1,2101.1,195.3,2672.4,208.7,453,2113.1,2668.2,230.5,87.1,23.5
0.073782,454.6,9.1,2085.8,187.8,2672.7,227.0,454.3,2092.7,2661.7,231.2,87.2,23.3
0.075782,455.8,8.8,2067.0,189.3,2662.1,250.0,455.6,2071.2,2655,231.9,87.3,23.2
0.077782,456.9,8.4,2047.1,196.7,2642.2,275.9,456.8,2049.1,2648.8,232.5,87.4,23.1
0.079782,458.1,8.1,2029.8,207.5,2623.4,302.7,458.1,2026.7,2643.9,233.2,87.4,22.9
0.081782,459.4,8.3,2015.6,223.3,2619.8,329.5,459.4,2004.2,2640.8,233.8,87.4,22.7
0.083782,460.7,8.8,2000.0,246.0,2635.6,342.2,460.7,1981.9,2639.8,234.5,87.4,22.5
0.085782,462.0,9.6,1976.1,280.2,2660.2,330.1,462.1,1959.9,2641.1,235.1,87.3,22.2
0.087782,463.3,11.0,1943.2,325.1,2679.6,301.5,463.5,1938,2644.5,235.7,87.3,21.8
0.089782,464.7,12.8,1911.5,372.7,2687.2,281.2,465.1,1916.3,2649.7,236.4,87.2,21.4
0.091782,466.4,15.4,1892.8,410.3,2681.7,281.9,466.6,1894.7,2656.2,237,87.1,20.9
0.093782,468.2,17.9,1880.6,420.6,2666.6,285.6,468.3,1873,2663.5,237.6,87,20.4
0.095782,469.9,19.7,1856.1,399.8,2651.3,264.3,469.9,1851.4,2671.1,238.2,86.9,20.1
0.097782,471.5,20.6,1822.8,355.6,2647.3,222.7,471.5,1829.9,2678.4,238.8,86.8,19.8
0.099782,473.2,20.9,1792.2,305.4,2654.1,182.9,473.2,1808.7,2685,239.3,86.6,19.8
0.101782,474.9,20.7,1768.4,259.0,2666.2,156.7,474.7,1788.2,2690.7,239.8,86.5,19.7
0.103782,476.4,20.2,1754.1,222.5,2680.2,145.4,476.1,1768.7,2695.2,240.4,86.2,19.5
0.105782,477.9,20.0,1745.5,191.5,2696.1,139.4,477.4,1751,2698.6,240.9,85.9,19.1
0.107782,479.1,20.4,1739.1,166.7,2710.6,135.5,478.6,1735.4,2701.1,241.3,85.4,18.4
0.109782,480.1,22.1,1733.5,151.1,2719.5,137.0,479.5,1722.6,2702.6,241.8,84.8,17.5
0.111782,480.6,25.7,1726.0,145.2,2720.5,149.3,480.2,1713,2703.6,242.2,84,16.5
0.113782,480.3,32.7,1716.0,146.7,2714.9,160.9,480.6,1707.1,2704.1,242.6,83,15.4
0.115782,479.0,46.1,1703.9,150.7,2702.1,147.9,480.7,1705.1,2704.2,242.9,81.9,14.3
