time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025290,422.5,27.6,2150.0,128.8,2905.8,221.7,423,2156.1,2895.2,227.1,80,8.7
0.027290,424.2,24.0,2148.1,113.6,2897.8,196.0,424.7,2155.3,2892.7,227.7,81.4,10.3
0.029290,426.6,22.4,2149.6,112.5,2892.5,188.5,427.3,2154,2888.8,228.5,82.5,10.8
0.031290,430.2,21.6,2152.8,122.5,2885.5,194.4,430.8,2152.2,2883.5,229.2,83.5,10.9
0.033290,435.0,21.2,2155.6,142.9,2873.6,207.9,434.8,2149.9,2877.3,230,84.3,10.9
0.035290,440.2,21.3,2155.5,171.9,2858.7,218.5,439.1,2147.1,2870.3,230.9,85,11
0.037290,445.1,21.9,2152.9,201.7,2848.0,217.7,443.5,2143.9,2863,231.8,85.5,11.7
0.039290,449.3,22.6,2149.4,218.0,2844.9,208.3,447.7,2140.5,2855.7,232.8,86,13.3
0.041290,452.6,22.9,2144.1,213.5,2845.0,194.7,451.6,2136.9,2848.6,233.8,86.5,15.7
0.043290,455.1,22.6,2135.3,196.3,2843.5,177.7,455,2133.3,2842.2,234.8,86.9,18.1
0.045290,457.3,21.6,2124.2,175.8,2840.2,158.5,458.1,2129.9,2836.6,235.9,87.1,20.1
0.047290,459.3,20.6,2114.3,155.8,2837.6,140.5,460.7,2126.7,2832,237,87.4,21.1
0.049290,461.4,20.0,2108.8,138.0,2837.0,127.7,463.2,2123.8,2828.3,238.2,87.5,20.7
0.051290,463.8,20.3,2108.7,125.2,2837.5,123.4,465.5,2121.2,2825.5,239.5,87.5,19.4
0.053290,466.6,21.9,2112.7,119.9,2836.9,129.8,467.9,2118.9,2823.5,240.7,87.4,17.6
0.055290,470.2,25.1,2118.3,123.1,2832.5,146.8,470.6,2116.5,2822,242,87.2,15.9
0.057290,474.4,29.5,2122.8,133.5,2822.8,171.1,473.8,2113.9,2820.7,243.3,87,14.7
0.059290,479.2,34.8,2124.0,146.7,2811.0,195.2,477.4,2110.7,2819.3,244.7,86.7,14.2
0.061290,484.3,39.9,2121.2,155.6,2802.4,207.8,481.5,2106.7,2817.6,246.1,86.4,14.1
0.063290,489.2,44.2,2113.9,156.8,2798.1,197.8,486.2,2101.4,2815.4,247.4,86.1,14.2
0.065290,493.4,47.4,2101.5,153.1,2795.5,169.1,491.4,2094.6,2812.4,248.8,85.8,14.2
0.067290,497.0,50.3,2084.3,147.9,2794.7,139.6,496.8,2086.3,2808.7,250.3,85.5,13.9
0.069290,500.1,54.0,2064.8,143.0,2797.2,121.4,502.5,2076.4,2804.3,251.7,85.1,13.3
0.071290,503.8,60.3,2047.3,140.4,2803.3,116.7,508.2,2065,2799.4,253.1,84.7,12.4
0.073290,508.7,71.0,2034.9,140.3,2811.8,123.3,513.7,2052.4,2794.2,254.4,84.2,11.4
0.075290,515.7,86.8,2027.9,140.1,2818.9,136.0,518.9,2038.9,2788.9,255.8,83.6,10.5
0.077290,524.8,105.9,2024.5,138.4,2817.7,148.2,523.7,2025,2784,257.2,83,9.9
0.079290,533.5,121.8,2022.0,137.7,2801.4,153.1,528,2011.1,2779.6,258.5,82.6,9.6
0.081290,537.9,125.0,2015.7,138.4,2773.5,144.9,531.6,1997.7,2776,259.7,82.3,9.5
0.083290,537.7,115.7,2001.9,135.2,2749.0,125.6,534.6,1985.2,2773.3,261,82.3,9.6
0.085290,536.3,103.1,1981.9,123.3,2739.1,103.6,537.1,1974,2771.6,262.2,82.4,9.7
0.087290,535.9,92.4,1961.2,104.6,2743.6,84.1,539,1964.3,2770.8,263.3,82.5,10
0.089290,536.7,83.7,1945.5,85.0,2755.3,67.9,540.4,1956.1,2770.7,264.4,82.7,10.4
0.091290,538.3,77.7,1937.4,69.1,2766.4,55.3,541.4,1949.6,2771.2,265.4,82.7,11.1
0.093290,540.3,75.7,1936.6,58.3,2774.0,47.1,542.1,1944.6,2771.9,266.4,82.6,11.8
0.095290,542.5,78.7,1939.8,52.4,2779.7,43.5,542.5,1941.2,2772.6,267.3,82.4,12.4
0.097290,544.6,87.5,1943.6,51.2,2786.4,43.2,542.7,1939.1,2773.2,268.1,82.1,12.6
0.099290,546.1,102.3,1946.0,54.7,2795.6,43.9,542.8,1938.5,2773.4,268.9,81.7,12.3
