time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025122,493.7,49.9,2316.8,105.9,3035.6,33.5,495,2314,3038.6,251.8,73,16.6
0.027122,495.7,45.5,2314.1,105.7,3034.2,31.0,495.7,2313.1,3035.1,252.2,73.4,18.5
0.029122,497.5,41.2,2310.0,108.0,3031.3,30.1,496.7,2311.5,3030.4,252.6,73.7,20.1
0.031122,498.8,37.6,2306.6,111.1,3028.3,29.9,497.9,2309.3,3026.1,252.9,74.1,21.6
0.033122,499.9,34.5,2304.4,113.0,3025.9,29.4,499.4,2306.6,3023.4,253.2,74.4,22.9
0.035122,500.9,31.8,2302.3,113.1,3024.7,28.3,500.8,2303.4,3022.7,253.5,74.7,24
0.037122,501.8,29.4,2300.0,113.4,3024.3,26.6,502.2,2299.8,3023.9,253.7,75,24.8
0.039122,502.7,27.3,2298.1,115.0,3024.8,24.8,503.4,2296.1,3026.1,253.9,75.3,25.3
0.041122,503.7,25.4,2296.0,117.1,3025.6,23.4,504.3,2292.3,3028.2,254,75.6,25.6
0.043122,504.7,23.6,2291.4,117.5,3026.3,22.6,505,2288.9,3029.2,254.2,75.9,25.7
0.045122,505.7,22.2,2285.4,116.3,3026.4,22.0,505.4,2285.9,3028.7,254.4,76.2,26
0.047122,506.2,21.2,2280.5,115.6,3026.7,21.1,505.7,2283.6,3027.2,254.5,76.5,26.3
0.049122,506.5,20.6,2278.0,116.4,3027.7,20.2,506,2281.9,3025.8,254.7,76.8,26.8
0.051122,506.6,20.2,2278.5,118.6,3030.0,19.4,506.2,2280.8,3025.7,254.8,77.1,27.4
0.053122,506.7,19.7,2280.8,121.0,3032.9,18.7,506.6,2279.9,3027.8,255,77.4,27.9
0.055122,506.9,19.0,2282.1,123.4,3035.5,18.2,507.1,2278.7,3032.3,255.1,77.7,28.3
0.057122,507.2,18.3,2280.2,126.2,3037.2,18.7,507.7,2276.8,3038.3,255.2,78,28.4
0.059122,507.8,17.5,2275.4,129.4,3038.0,20.7,508.4,2273.5,3043.9,255.4,78.3,28.3
0.061122,508.7,16.7,2268.1,131.1,3038.4,25.6,509.2,2268.7,3047.2,255.5,78.5,28.1
0.063122,509.9,16.0,2259.5,131.1,3038.6,35.2,509.9,2262.2,3046.4,255.6,78.8,27.9
0.065122,511.1,15.4,2250.2,133.5,3039.1,53.4,510.5,2254.5,3040.6,255.6,79.1,27.8
0.067122,511.9,15.2,2243.0,142.9,3041.0,81.4,510.9,2246.2,3030.6,255.7,79.3,27.9
0.069122,511.8,15.5,2241.0,156.2,3039.2,110.5,511.3,2238.2,3018.2,255.7,79.5,28.2
0.071122,511.3,15.7,2240.6,163.1,3022.2,138.2,511.5,2231.5,3006.3,255.6,79.8,28.6
0.073122,511.1,15.4,2232.2,165.2,2992.2,161.6,511.6,2227.1,2997.6,255.5,80,29
0.075122,511.3,15.0,2215.0,166.5,2968.7,169.7,511.7,2225.6,2994.5,255.3,80.1,29.4
