time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025478,759.5,1710.6,2580.1,611.7,3615.3,227.2,349.5,2628.3,3630.8,244.2,51.7,-187.1
0.027478,288.8,618.8,2584.9,554.2,3622.1,245.5,350.4,2627.6,3634.5,243.7,54.1,-147.9
0.029478,287.0,194.2,2592.4,455.8,3639.7,285.4,351.8,2626.4,3640.6,243.2,56.8,-99.1
0.031478,273.9,68.7,2614.4,349.3,3675.2,286.9,353.7,2624.8,3648.9,242.8,59.3,-50.1
0.033478,273.1,44.3,2628.9,272.7,3698.3,231.9,356.2,2622.8,3659.3,242.3,61.5,-10.5
0.035478,278.1,52.0,2621.9,213.4,3694.5,189.8,359.1,2620.5,3671.6,241.9,63.4,11.4
0.037478,288.6,75.5,2602.9,184.4,3679.9,192.3,362.6,2617.9,3685.4,241.4,64.9,19.2
0.039478,309.8,103.8,2587.5,179.3,3662.5,235.2,366.4,2615.2,3700.4,241,66.1,18.5
0.041478,338.3,115.6,2583.6,194.1,3647.6,311.1,370.7,2612.3,3716.4,240.6,67.1,13.8
0.043478,362.6,113.2,2594.2,224.0,3647.0,409.4,375.3,2609.5,3733,240.2,67.8,10
0.045478,382.1,109.4,2621.8,258.5,3679.2,545.1,380.2,2606.8,3749.8,239.9,68.2,10.5
0.047478,395.5,108.1,2651.1,273.5,3760.0,673.3,385.3,2604.2,3766.3,239.5,68.5,12.1
0.049478,405.4,107.0,2664.4,268.9,3867.9,626.1,390.7,2601.9,3782.3,239.3,68.7,13.7
0.051478,413.0,103.0,2659.0,252.9,3862.7,479.2,396.2,2599.9,3797.3,239,68.8,15.3
0.053478,419.8,95.1,2645.5,225.3,3828.8,414.9,401.9,2598.4,3811,238.9,68.8,16.6
0.055478,427.0,83.9,2629.6,189.7,3796.0,396.0,407.6,2597.3,3822.9,238.7,68.7,17.5
0.057478,433.5,73.8,2616.4,162.1,3774.9,412.4,413.3,2596.8,3832.8,238.6,68.7,18.2
0.059478,439.6,66.5,2606.4,147.2,3772.8,455.5,418.9,2596.8,3840.4,238.6,68.6,18.7
0.061478,445.2,62.2,2599.1,144.8,3791.8,513.3,424.5,2597.4,3845.4,238.6,68.5,19
0.063478,449.6,59.3,2593.4,146.7,3823.3,556.6,430,2598.7,3847.6,238.7,68.5,19.3
0.065478,452.9,57.5,2591.1,141.6,3869.2,552.0,435.3,2600.5,3846.7,238.9,68.5,19.5
0.067478,454.9,58.3,2595.0,126.2,3925.6,499.2,440.5,2602.9,3842.8,239.1,68.7,19.5
0.069478,455.8,62.7,2603.3,109.4,3979.2,428.9,445.4,2605.8,3835.6,239.3,68.9,19.4
