time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025760,358.5,365.4,2316.6,572.3,3594.1,205.1,276.2,2483.7,3613.2,200.3,52.2,-200
0.027760,281.2,274.1,2328.7,502.9,3591.5,231.8,277.6,2485.5,3614.7,199.9,54.5,-168.5
0.029760,256.0,148.7,2348.2,463.2,3595.3,280.1,279.9,2488.4,3617.2,199.5,57,-122.1
0.031760,255.4,84.6,2392.7,509.3,3640.6,327.0,283.1,2492.4,3620.5,199.1,59.4,-70.7
0.033760,263.5,74.1,2502.5,528.6,3694.4,261.3,287.2,2497.6,3624.5,198.6,61.5,-24.3
0.035760,276.1,91.9,2563.7,394.5,3705.1,211.3,292.1,2503.6,3629,198.1,63.3,7.3
0.037760,291.5,116.7,2580.8,335.0,3700.0,218.9,297.8,2510.6,3633.7,197.7,64.9,20.5
0.039760,307.6,131.5,2603.9,341.1,3676.8,260.6,304.3,2518.4,3638.4,197.2,66.1,22.2
0.041760,321.3,133.8,2629.7,376.6,3636.0,308.8,311.4,2526.9,3642.9,196.6,67.1,17.2
0.043760,332.5,129.8,2641.6,391.6,3596.8,342.6,319.1,2536,3646.7,196.1,67.9,10.9
0.045760,343.1,123.5,2629.9,331.5,3577.4,363.0,327.5,2545.4,3649.7,195.6,68.5,8.1
0.047760,351.7,115.1,2611.4,238.0,3578.4,384.8,336.3,2555.2,3651.6,195.1,69.1,9.1
0.049760,357.1,105.1,2601.2,172.6,3589.0,428.8,345.5,2565.1,3652,194.6,69.6,10.5
0.051760,360.4,96.0,2600.5,143.5,3605.7,518.6,355.1,2574.9,3650.7,194.1,69.9,12
0.053760,364.3,89.3,2609.4,140.2,3633.9,677.2,364.9,2584.6,3647.4,193.6,70.2,13.6
0.055760,369.3,84.8,2630.0,154.6,3684.5,894.3,375,2593.9,3641.8,193.1,70.5,14.9
0.057760,375.2,79.6,2654.2,175.8,3705.0,1057.7,385.3,2602.7,3633.9,192.7,70.6,16.1
0.059760,381.3,71.7,2659.4,177.8,3637.1,1058.2,395.6,2610.9,3623.4,192.3,70.6,17.4
0.061760,387.0,63.3,2636.9,137.2,3555.2,941.8,405.9,2618.2,3610.3,191.9,70.6,18.5
0.063760,393.1,58.4,2619.8,91.0,3527.3,900.0,416.2,2624.5,3594.4,191.5,70.4,19.3
0.065760,401.5,57.4,2615.6,63.7,3536.0,974.6,426.4,2629.6,3575.7,191.1,70.2,19.7
0.067760,412.3,58.5,2618.1,52.1,3547.0,1129.4,436.4,2633.6,3554.4,190.8,69.8,19.6
0.069760,425.7,59.9,2621.9,48.1,3541.1,1325.3,446.3,2636.1,3530.3,190.5,69.4,18.9
0.071760,441.2,60.1,2624.2,49.1,3515.6,1513.7,455.9,2637.1,3503.8,190.3,68.9,18
0.073760,457.9,58.8,2623.5,54.4,3490.8,1682.4,465.3,2636.5,3475,190.1,68.4,17
0.075760,475.2,55.9,2620.6,64.7,3499.7,1872.8,474.4,2634.3,3444,189.9,67.8,16.3
0.077760,490.6,52.1,2618.2,82.2,3542.3,2025.7,483.2,2630.3,3411.1,189.8,67.2,15.6
0.079760,504.3,47.0,2614.9,115.6,3506.0,1901.3,491.7,2624.6,3376.6,189.7,66.7,15
0.081760,516.5,39.7,2591.5,162.5,3353.1,1380.8,499.9,2617.1,3340.9,189.6,66.3,14.4
0.083760,527.2,32.3,2541.5,155.9,3277.9,870.5,507.7,2607.8,3304.2,189.6,66,13.9
0.085760,536.6,26.8,2514.5,107.9,3240.3,601.5,515.2,2596.7,3266.9,189.6,65.9,13.5
0.087760,543.6,23.6,2510.4,81.0,3198.6,490.7,522.3,2583.9,3229.4,189.6,66,13.3
0.089760,548.2,21.7,2513.4,73.2,3155.0,454.1,529.2,2569.5,3192,189.7,66.3,13.3
0.091760,551.3,20.0,2517.5,76.7,3116.0,456.6,535.7,2553.5,3155,189.8,66.8,13.3
0.093760,553.6,18.2,2517.5,84.6,3083.6,471.3,541.9,2536.1,3118.9,189.9,67.3,13.5
0.095760,556.3,16.1,2507.5,89.2,3052.1,478.4,547.9,2517.3,3083.8,190.1,67.8,13.7
0.097760,559.6,14.4,2489.9,87.5,3021.2,475.8,553.6,2497.3,3050.2,190.2,68.3,14
0.099760,563.5,13.2,2471.5,84.5,2997.1,461.7,559.1,2476.3,3018.2,190.4,68.7,14.4
0.101760,567.8,12.3,2456.5,81.7,2988.0,417.5,564.4,2454.3,2988.1,190.6,69.2,14.9
0.103760,571.9,11.3,2449.0,78.9,2984.4,354.5,569.4,2431.7,2960.1,190.8,69.6,15.4
0.105760,575.3,10.5,2448.6,79.3,2969.6,303.6,574.3,2408.6,2934.4,191,70,15.9
0.107760,577.8,10.2,2445.2,87.6,2938.5,276.8,579,2385.1,2911,191.2,70.4,16.3
0.109760,580.2,10.7,2426.4,104.6,2895.0,257.1,583.6,2361.4,2889.9,191.4,70.7,16.8
0.111760,582.5,11.4,2391.3,121.3,2853.0,234.6,588.1,2337.8,2871.4,191.6,71,17.4
0.113760,585.0,11.9,2352.0,131.9,2821.2,218.8,592.5,2314.4,2855.2,191.8,71.2,17.8
0.115760,587.4,12.5,2316.1,144.8,2798.2,215.5,596.7,2291.4,2841.4,192,71.3,18.3
0.117760,589.6,13.7,2284.5,164.3,2789.8,218.3,600.9,2268.9,2829.9,192.2,71.4,18.7
0.119760,591.8,15.9,2249.9,177.9,2800.8,216.9,605,2247.2,2820.5,192.4,71.3,19.1
0.121760,594.0,18.8,2213.9,168.8,2828.6,210.5,609,2226.2,2813.2,192.5,71.2,19.5
0.123760,596.6,22.1,2187.6,148.1,2859.0,205.1,612.9,2206.2,2807.7,192.6,71,19.7
0.125760,599.9,25.9,2177.8,136.0,2872.7,204.5,616.7,2187.3,2803.9,192.7,70.8,19.8
0.127760,603.8,30.0,2183.0,139.0,2858.9,209.0,620.5,2169.5,2801.5,192.8,70.5,19.5
0.129760,608.9,34.8,2188.8,147.6,2828.0,214.3,624.2,2152.9,2800.4,192.9,70.3,19
0.131760,615.6,40.4,2178.7,148.0,2798.4,215.9,627.8,2137.5,2800.4,193,70,18.4
0.133760,623.8,46.7,2154.6,134.4,2784.6,217.0,631.3,2123.4,2801.2,193,69.8,17.9
0.135760,632.7,54.0,2129.7,114.2,2793.4,223.9,634.8,2110.5,2802.6,193,69.6,17.7
0.137760,640.0,61.3,2110.9,97.6,2810.7,223.9,638.1,2098.8,2804.6,193,69.5,17.9
0.139760,645.4,69.7,2096.9,89.7,2813.8,208.7,641.3,2088.2,2806.9,193,69.4,18.3
0.141760,649.6,79.1,2085.4,92.7,2795.9,184.1,644.4,2078.7,2809.3,193,69.3,18.8
0.143760,653.8,88.3,2070.6,103.6,2772.5,160.5,647.3,2070.1,2811.8,193,69.2,19.3
0.145760,658.0,97.9,2047.6,113.7,2760.9,147.3,650.1,2062.5,2814.2,192.9,69.2,19.7
0.147760,662.1,110.2,2019.3,109.9,2772.9,149.3,652.8,2055.6,2816.5,192.8,69.2,20
0.149760,666.3,122.3,1998.9,92.4,2811.3,159.1,655.4,2049.3,2818.7,192.8,69.1,20.3
0.151760,672.0,132.3,1987.3,75.5,2854.2,154.6,657.7,2043.5,2820.6,192.7,69.1,20.4
0.153760,678.6,146.4,1981.9,69.0,2871.5,137.3,660,2038.1,2822.3,192.6,69,20.5
0.155760,683.9,169.2,1979.4,71.4,2864.6,124.7,662.1,2032.9,2823.8,192.5,69,20.5
0.157760,685.9,197.0,1975.1,76.3,2843.6,118.5,664,2027.7,2825.1,192.3,68.9,20.1
0.159760,683.9,218.9,1967.4,77.5,2821.4,115.1,665.7,2022.5,2826.3,192.2,68.8,19.6
0.161760,680.9,231.5,1960.1,75.0,2806.8,114.6,667.3,2017.1,2827.4,192.1,68.8,19
0.163760,679.5,234.9,1958.0,73.1,2802.5,119.9,668.8,2011.4,2828.6,192,68.7,18.5
0.165760,679.6,224.7,1961.3,74.0,2803.3,130.2,670.1,2005.4,2829.8,191.8,68.6,18.3
0.167760,679.3,196.1,1967.5,79.3,2802.8,139.5,671.2,1998.8,2831.2,191.7,68.6,18.5
0.169760,676.8,165.3,1974.8,91.9,2803.5,138.7,672.3,1991.7,2832.8,191.6,68.5,19.1
0.171760,672.9,146.0,1986.9,116.7,2814.0,133.7,673.2,1984,2834.7,191.4,68.5,19.7
