time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025982,424.9,52.8,2827.8,109.6,3261.0,159.3,429.4,2899.6,3371.7,181.4,75.9,15.5
0.027982,424.0,53.2,2851.6,98.4,3308.8,151.6,429.4,2899.6,3371.9,181.4,75.9,15.1
0.029982,424.1,53.5,2873.4,87.8,3348.4,143.6,429.3,2899.5,3372.4,181.4,76,15.3
0.031982,424.5,53.4,2888.2,76.6,3379.5,139.6,429.2,2899.4,3373,181.5,76,15.6
0.033982,424.9,53.0,2894.9,68.4,3401.5,140.7,429,2899.3,3373.8,181.5,76.1,16.2
0.035982,425.5,52.1,2897.3,65.0,3413.7,148.1,428.8,2899.2,3374.7,181.5,76.1,16.8
0.037982,426.5,50.8,2899.2,65.0,3415.9,164.7,428.6,2899,3375.7,181.6,76.1,17.4
0.039982,427.6,49.2,2901.9,66.0,3409.5,187.9,428.4,2898.8,3376.9,181.6,76.1,18.1
0.041982,428.5,47.7,2904.7,66.4,3397.2,214.2,428.1,2898.7,3378.2,181.6,76.2,18.8
0.043982,429.0,46.6,2907.0,66.0,3382.3,239.3,427.8,2898.5,3379.6,181.6,76.2,19.5
0.045982,429.1,45.8,2908.2,64.8,3369.1,262.0,427.6,2898.4,3381,181.6,76.2,20.3
0.047982,429.0,45.4,2908.6,62.7,3360.4,283.8,427.2,2898.3,3382.5,181.6,76.2,21.1
0.049982,428.9,45.4,2909.0,60.3,3358.2,303.1,426.9,2898.3,3384,181.6,76.2,22
0.051982,429.1,45.5,2910.2,57.8,3361.6,320.9,426.6,2898.2,3385.6,181.7,76.2,23.1
0.053982,429.5,45.7,2912.2,55.2,3369.7,338.5,426.3,2898.3,3387.1,181.6,76.2,24.2
0.055982,430.0,46.0,2914.1,52.4,3381.0,356.8,425.9,2898.3,3388.6,181.6,76.2,25.1
0.057982,430.6,46.4,2914.7,49.6,3394.0,377.9,425.6,2898.5,3390,181.6,76.2,25.5
0.059982,430.9,46.8,2914.1,47.7,3405.3,401.9,425.3,2898.7,3391.3,181.6,76.1,25.3
0.061982,430.7,47.4,2913.1,46.5,3413.3,429.6,424.9,2899,3392.6,181.6,76.1,24.5
0.063982,430.1,48.0,2912.5,46.0,3417.6,458.3,424.6,2899.3,3393.7,181.5,76,23.6
0.065982,429.2,48.7,2912.3,46.0,3419.7,484.9,424.3,2899.7,3394.7,181.5,76,22.8
0.067982,428.3,49.4,2912.0,46.7,3421.2,507.8,423.9,2900.2,3395.5,181.5,75.9,22.5
0.069982,427.8,49.8,2911.6,48.1,3421.9,523.6,423.6,2900.7,3396.2,181.4,75.9,22.9
0.071982,427.1,50.1,2911.0,50.3,3420.3,532.4,423.2,2901.3,3396.6,181.4,75.9,24
0.073982,426.1,50.4,2910.6,52.5,3416.0,535.4,422.8,2901.9,3396.9,181.3,75.9,25.1
0.075982,424.7,50.7,2910.8,54.3,3411.1,533.3,422.5,2902.6,3397,181.2,75.9,25.9
0.077982,423.1,51.1,2911.9,55.6,3408.5,525.1,422.1,2903.3,3396.8,181.2,75.9,25.9
0.079982,421.6,51.4,2913.8,56.8,3409.0,511.5,421.6,2903.9,3396.4,181.1,75.9,24.7
0.081982,420.2,51.6,2916.2,58.5,3408.6,494.7,421.2,2904.6,3395.8,181,76,22.5
0.083982,418.9,51.6,2918.5,61.2,3404.0,477.0,420.7,2905.2,3395,180.9,76,20.1
0.085982,417.8,51.5,2919.9,64.9,3395.8,458.0,420.2,2905.7,3393.9,180.8,76,18.1
0.087982,416.7,51.5,2920.3,69.5,3387.0,437.0,419.6,2906.2,3392.5,180.7,76,17
0.089982,415.7,51.6,2919.6,73.5,3381.9,417.5,419,2906.5,3391,180.6,76,17.2
0.091982,414.9,51.7,2917.4,76.5,3380.2,398.8,418.3,2906.7,3389.2,180.5,76,18.3
0.093982,414.5,52.0,2913.6,77.9,3380.6,381.7,417.6,2906.7,3387.2,180.4,76,19.9
0.095982,414.3,52.3,2908.9,76.7,3382.8,368.7,416.8,2906.6,3384.9,180.3,76,21.3
0.097982,413.7,52.6,2903.7,73.3,3386.8,359.9,415.9,2906.1,3382.5,180.2,76,22
0.099982,412.7,52.7,2898.8,69.7,3391.2,354.7,415,2905.4,3379.8,180.1,76.1,22
0.101982,411.4,52.6,2894.2,67.4,3394.7,352.0,414,2904.4,3377,180,76.1,21.5
