time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025941,313.3,161.7,2718.7,347.6,3865.6,378.0,329.1,2708.7,3817.7,200.2,79.9,27.8
0.027941,319.6,160.3,2723.8,312.0,3864.0,451.3,329.9,2703.4,3818.2,200.4,79.7,27.8
0.029941,325.6,158.4,2712.9,307.4,3835.2,510.4,331.3,2694.8,3818.6,200.6,79.7,28.1
0.031941,331.8,157.2,2687.0,301.0,3804.3,597.2,333.2,2683.5,3818.1,200.9,79.6,28.5
0.033941,337.2,156.4,2656.8,267.7,3785.6,712.2,335.6,2669.8,3815.9,201.1,79.6,28.8
0.035941,341.4,156.4,2633.6,212.9,3801.5,819.7,338.4,2654.6,3810.7,201.4,79.7,28.9
0.037941,345.9,155.4,2618.4,161.2,3828.9,790.8,341.8,2638.5,3801.5,201.7,79.7,28.8
0.039941,352.1,150.3,2610.0,129.4,3791.5,688.2,345.5,2622.2,3787.1,202,79.8,28.6
0.041941,359.3,142.2,2606.5,110.9,3747.5,653.9,349.7,2606.3,3766.4,202.3,79.9,28.3
0.043941,364.9,136.1,2602.6,98.0,3708.6,685.8,354.3,2591.5,3738.7,202.7,80,27.9
0.045941,368.2,135.4,2590.3,81.8,3658.2,716.1,359.3,2578.2,3703.3,203.1,80.1,27.4
0.047941,369.7,140.2,2572.9,66.0,3610.5,704.6,364.7,2566.6,3659.8,203.4,80.2,26.7
0.049941,371.8,145.7,2556.3,55.7,3563.8,671.9,370.4,2556.9,3608.5,203.8,80.4,25.9
0.051941,377.5,145.5,2540.5,52.3,3506.1,631.4,376.6,2549,3549.7,204.2,80.6,25
0.053941,386.2,137.9,2526.4,55.5,3451.9,600.3,383.1,2542.6,3484.3,204.7,80.7,24.2
0.055941,395.1,128.3,2515.6,66.5,3409.1,616.0,390.1,2537.1,3413.3,205.1,80.9,23.6
0.057941,402.9,123.4,2514.2,89.6,3363.3,731.5,397.6,2532.1,3338.3,205.5,81.1,23.3
0.059941,409.1,128.1,2526.0,118.5,3297.1,958.6,405.5,2526.8,3260.9,206,81.2,23.3
0.061941,414.0,144.1,2535.4,138.8,3212.1,1207.2,413.9,2520.3,3183,206.5,81.4,23.3
0.063941,416.6,168.3,2523.7,154.7,3156.6,1316.3,423,2511.8,3106.5,206.9,81.5,23.3
0.065941,417.2,196.1,2492.8,181.3,3126.8,1306.5,432.5,2500.6,3033.3,207.4,81.5,23.2
0.067941,420.3,215.5,2454.7,213.4,3096.9,1228.0,442.7,2485.9,2965.1,207.9,81.6,22.8
0.069941,430.4,224.8,2434.6,240.8,3039.0,1183.1,453.4,2467,2903.5,208.4,81.6,22.3
0.071941,449.0,224.3,2463.1,261.4,2903.6,1217.7,464.8,2443.6,2849.8,208.8,81.6,21.7
0.073941,471.5,211.6,2525.5,251.0,2723.1,1292.2,476.6,2415.4,2804.9,209.3,81.5,21.2
0.075941,493.1,195.6,2549.6,1367.3,2579.7,214.2,489,2382.3,2769.6,209.8,81.4,20.7
0.077941,510.0,189.6,2407.6,1354.1,2614.7,205.8,501.8,2344.4,2743.8,210.3,81.3,20.2
0.079941,524.2,191.2,2281.4,1200.5,2648.3,234.1,515,2302.2,2727.6,210.7,81.1,19.7
0.081941,537.9,190.8,2169.0,927.2,2687.8,276.7,528.4,2256.3,2720.3,211.2,80.9,19.3
0.083941,551.3,183.7,2092.2,681.6,2713.9,292.5,541.9,2207.2,2721,211.6,80.6,18.8
0.085941,565.2,172.6,2045.3,510.0,2720.7,282.4,555.3,2156,2728.7,212.1,80.3,18.4
0.087941,578.4,161.1,2018.6,410.9,2725.4,268.4,568.5,2103.6,2742.1,212.5,79.9,17.9
0.089941,590.8,151.2,2000.6,356.2,2743.8,269.1,581.4,2050.9,2759.6,212.9,79.5,17.4
0.091941,602.7,144.0,1983.6,330.6,2785.6,289.2,593.6,1999,2780,213.3,79,17
0.093941,613.0,138.6,1963.4,323.6,2847.6,310.0,605.1,1948.8,2801.7,213.6,78.5,16.5
0.095941,622.1,134.6,1940.6,338.0,2913.1,309.1,615.6,1901.2,2823.5,214,77.9,16.2
0.097941,629.2,134.9,1923.8,391.7,2947.7,295.8,625,1856.7,2844.4,214.3,77.3,15.9
0.099941,635.0,138.6,1909.6,495.3,2947.7,288.9,633,1816.1,2863.4,214.6,76.7,15.8
0.101941,639.0,145.2,1877.9,635.7,2925.0,288.0,639.7,1779.7,2880.1,214.9,76,15.7
0.103941,638.0,152.3,1815.4,731.5,2900.4,291.3,644.7,1747.7,2893.9,215.1,75.3,15.5
0.105941,632.7,147.5,1740.9,699.2,2881.7,297.6,648.1,1720,2905,215.4,74.5,15.2
0.107941,629.5,129.3,1694.0,590.5,2867.3,295.2,649.7,1696.6,2913.4,215.6,73.8,14.6
0.109941,628.8,109.3,1663.0,503.9,2859.0,271.8,649.6,1677.1,2919.5,215.7,73.1,13.8
0.111941,628.5,92.4,1628.4,458.5,2864.5,236.5,647.8,1661.2,2923.9,215.9,72.6,12.9
0.113941,628.2,80.5,1588.3,432.2,2880.1,212.1,644.3,1648.4,2927.2,216,72.1,12.2
0.115941,628.2,72.6,1558.0,391.8,2900.5,203.4,639.3,1638,2929.9,216.1,71.8,11.8
0.117941,628.1,69.6,1555.8,346.6,2919.0,215.1,632.9,1629.7,2932.9,216.1,71.6,11.9
0.119941,627.0,70.7,1572.1,316.0,2931.0,241.8,625.3,1622.8,2936.6,216.2,71.6,12.2
0.121941,623.4,74.2,1592.4,307.8,2936.1,264.2,616.6,1616.9,2941.4,216.2,71.7,12.7
0.123941,618.2,78.3,1608.0,313.9,2942.3,272.5,607.2,1611.6,2947.6,216.1,71.9,13.2
0.125941,612.4,83.1,1622.0,319.9,2957.2,280.4,597.3,1606.7,2955.3,216.1,72.2,13.8
