time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025810,588.6,554.2,2100.3,208.3,2853.9,393.5,556.5,2112.5,2807.6,0,47.2,-200
0.027810,579.0,504.7,2103.2,193.3,2859.7,373.2,554,2116.1,2812.4,0,50,-200
0.029810,572.2,452.7,2104.4,182.3,2863.5,355.2,549.9,2122,2820.4,0,52.1,-200
0.031810,565.7,401.3,2104.8,173.4,2866.1,335.6,544.3,2130.1,2831.5,0,53.6,-200
0.033810,558.3,348.8,2105.4,165.9,2868.8,310.4,537.2,2140.4,2845.6,0,54.6,-200
0.035810,550.3,302.4,2107.8,161.3,2872.4,278.5,528.8,2152.8,2862.3,0,55.1,-200
0.037810,541.7,265.4,2116.1,161.2,2878.8,237.7,519.2,2167.1,2881.7,0,55.2,-200
0.039810,532.7,247.1,2143.4,167.7,2891.6,191.8,508.5,2183.2,2903.3,0,54.8,-200
0.041810,524.0,259.6,2201.6,168.5,2913.4,155.9,497,2200.8,2927.1,0,54.1,-200
0.043810,513.7,316.6,2266.3,142.7,2943.0,124.6,484.8,2219.9,2952.6,0,53.2,-200
0.045810,501.3,439.5,2293.1,121.6,2968.9,104.3,472.1,2240.1,2979.5,0,52.6,-203.3
0.047810,480.4,591.0,2295.5,121.1,2994.0,96.1,459.2,2261.3,3007.7,230.4,52.8,-210
0.049810,413.8,630.1,2287.8,134.4,3020.6,90.1,446.1,2283.3,3036.6,230,54.5,-215
0.051810,339.9,426.4,2279.0,154.0,3041.6,81.2,433.2,2305.8,3066.1,229.5,57,-213.3
0.053810,318.2,181.7,2270.6,191.8,3050.9,79.5,420.6,2328.6,3095.8,229,59.7,-200
0.055810,312.8,94.5,2272.4,282.0,3043.7,110.6,408.6,2351.4,3125.3,228.5,62.2,-168.3
0.057810,317.2,79.4,2353.0,424.1,3032.4,226.7,397.2,2374.1,3154.3,228.1,64.3,-121.7
0.059810,327.3,85.3,2514.3,342.0,3100.7,433.8,386.7,2396.5,3182.6,227.6,66,-70.1
0.061810,338.9,88.2,2548.6,201.4,3204.0,470.1,377.2,2418.3,3209.8,227.2,67.3,-23.4
0.063810,349.5,84.2,2549.2,146.2,3261.0,447.9,368.9,2439.3,3235.8,226.8,68.4,8.3
0.065810,357.7,76.8,2542.8,122.8,3292.4,412.1,361.8,2459.3,3260.1,226.4,69.3,21.8
0.067810,361.4,70.5,2534.2,114.5,3311.0,375.4,356,2478.3,3282.8,226.1,70,23.6
0.069810,361.9,66.7,2525.7,113.1,3327.4,348.2,351.6,2496.1,3303.5,225.8,70.6,18.8
0.071810,363.0,65.7,2523.4,111.4,3342.9,339.6,348.7,2512.5,3322.1,225.5,71.1,12.5
0.073810,366.5,65.8,2529.9,102.2,3356.0,336.9,347.2,2527.4,3338.5,225.3,71.6,9.7
0.075810,370.4,65.6,2540.8,88.7,3363.7,321.7,347.1,2540.7,3352.6,225.2,72.1,10.4
0.077810,373.3,64.5,2551.5,78.0,3370.5,294.2,348.4,2552.5,3364.3,225.1,72.4,11.4
