time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025406,282.4,117.3,2610.2,93.0,3474.3,173.1,276.2,2643.6,3517.1,208,79.1,22.3
0.027406,283.5,119.0,2613.9,97.8,3483.4,152.2,277.7,2643.7,3516,208.3,79.4,22.2
0.029406,286.3,120.9,2626.2,101.0,3487.4,147.0,280.1,2643.8,3514.2,208.7,79.6,22.3
0.031406,290.7,122.4,2640.6,99.1,3485.8,156.8,283.4,2644,3511.7,209,79.8,22.5
0.033406,295.5,122.7,2649.5,95.0,3480.3,177.7,287.6,2644.2,3508.5,209.4,79.9,22.6
0.035406,298.8,121.8,2651.8,90.9,3478.9,203.4,292.7,2644.5,3504.8,209.9,80,22.8
0.037406,299.4,120.5,2651.2,86.0,3494.3,219.8,298.5,2644.9,3500.7,210.4,80.1,22.9
0.039406,297.0,118.6,2651.6,80.5,3524.5,224.8,305.1,2645.4,3496.1,210.9,80.1,23
0.041406,294.4,115.8,2654.5,78.2,3547.8,232.9,312.4,2645.9,3491.1,211.4,80.1,23
0.043406,295.1,114.4,2660.0,79.6,3554.1,255.9,320.2,2646.6,3486,212,80,23.1
0.045406,302.6,116.9,2666.3,81.8,3541.8,288.6,328.5,2647.3,3480.6,212.7,79.9,23
0.047406,317.6,119.9,2669.3,82.5,3516.6,316.0,337.3,2648.2,3475.2,213.4,79.8,22.8
0.049406,338.0,114.6,2665.8,81.7,3485.1,332.0,346.3,2649.2,3469.8,214.1,79.6,22.6
0.051406,355.1,103.4,2656.2,78.9,3460.0,331.5,355.7,2650.3,3464.4,214.9,79.3,22.3
0.053406,368.7,94.1,2647.1,72.5,3444.2,318.7,365.1,2651.4,3459.1,215.7,79,21.8
0.055406,381.3,87.0,2643.7,64.2,3431.7,308.5,374.7,2652.7,3453.9,216.6,78.6,21.1
0.057406,393.2,80.2,2645.2,58.2,3420.4,315.3,384.2,2654.1,3448.8,217.5,78.2,20.2
0.059406,405.5,73.4,2649.7,55.4,3413.7,344.8,393.6,2655.5,3444,218.5,77.6,18.9
0.061406,416.9,69.1,2656.2,55.2,3422.8,382.5,402.8,2656.9,3439.2,219.6,76.9,17.4
0.063406,427.8,67.3,2663.3,57.4,3451.9,393.3,411.8,2658.3,3434.5,220.6,76.2,15.8
0.065406,438.5,65.1,2668.9,64.6,3478.0,358.3,420.4,2659.6,3429.9,221.8,75.5,14.2
0.067406,448.1,58.8,2670.8,80.0,3477.2,315.6,428.6,2660.9,3425.3,222.9,74.8,12.7
0.069406,455.8,48.6,2668.1,107.8,3457.5,284.7,436.4,2662,3420.6,224.2,74.2,11
0.071406,459.6,39.7,2663.2,143.9,3433.2,270.7,443.7,2662.9,3415.7,225.4,73.9,9.2
0.073406,460.3,34.4,2664.9,176.8,3407.6,277.1,450.5,2663.6,3410.6,226.7,74,7.7
0.075406,459.5,32.5,2679.1,195.8,3384.8,298.9,456.7,2663.9,3405.1,228.1,74.4,6.6
0.077406,458.6,32.4,2693.7,201.3,3374.3,314.0,462.4,2663.8,3399.1,229.5,75,6.4
