time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025018,403.3,72.0,2640.5,105.7,3363.1,394.3,423.3,2628.8,3359,237.2,74,-36.1
0.027018,420.4,68.5,2627.9,88.6,3359.8,424.7,427.1,2626.9,3355.6,237.1,75.6,4.8
0.029018,438.3,70.1,2623.3,77.4,3356.4,428.5,433,2623.9,3349.9,237,76.9,18.4
0.031018,453.2,70.5,2620.1,70.1,3341.6,431.3,440.5,2620,3341.8,236.8,78.1,20.6
0.033018,463.0,70.5,2617.0,65.7,3323.5,431.2,449.1,2615.4,3331.2,236.7,79.1,16.4
0.035018,469.1,70.8,2612.8,63.6,3307.6,429.7,458.2,2610.5,3318.1,236.5,80,10.7
0.037018,472.8,69.9,2606.9,63.5,3292.9,430.6,466.8,2605.3,3302.3,236.4,80.8,8.2
0.039018,475.1,66.0,2597.8,64.5,3275.8,432.4,474.6,2600.1,3284,236.2,81.5,9.2
0.041018,476.2,59.2,2586.5,65.0,3258.2,434.3,480.8,2594.6,3263.2,236.1,82.1,10.4
0.043018,476.6,51.6,2575.9,63.9,3242.7,438.7,485.2,2588.7,3240,235.9,82.8,11.6
0.045018,476.8,44.4,2568.3,62.4,3226.6,448.2,487.5,2582.2,3214.6,235.8,83.4,12.5
0.047018,477.4,38.6,2564.0,63.2,3205.2,457.9,487.8,2574.3,3187.4,235.7,84,13.1
0.049018,478.2,33.5,2560.0,69.1,3174.0,460.8,486.4,2564.7,3158.9,235.6,84.6,13.1
0.051018,479.3,29.2,2553.8,81.9,3137.4,453.7,483.6,2552.6,3129.6,235.5,85.2,12.8
0.053018,480.3,25.7,2544.0,102.3,3101.9,439.5,480.1,2537.5,3100,235.5,85.7,12.3
0.055018,481.2,23.0,2528.5,132.4,3067.1,421.3,476.5,2518.9,3070.8,235.4,86.2,11.7
0.057018,482.2,21.9,2508.1,169.5,3035.7,407.4,473.6,2496.4,3042.7,235.4,86.6,11.2
0.059018,483.5,22.9,2483.4,214.8,3004.1,403.3,472.3,2469.8,3016.4,235.4,86.8,10.9
0.061018,485.3,26.6,2456.0,267.0,2974.9,403.9,473,2439.4,2992.4,235.4,86.8,10.4
0.063018,487.5,33.1,2423.3,322.3,2954.1,392.9,476.5,2405.4,2971.3,235.5,86.7,10
0.065018,490.3,43.5,2378.4,376.6,2942.9,361.6,483.1,2368.5,2953.5,235.5,86.4,9.8
0.067018,494.1,57.9,2328.8,420.0,2938.8,322.3,493.1,2329.3,2939.4,235.6,85.9,9.8
0.069018,500.1,80.0,2278.9,463.4,2935.9,284.9,506.4,2289,2929.1,235.8,85.3,10.1
0.071018,510.2,112.1,2231.6,516.5,2932.9,255.2,522.8,2248.5,2922.5,235.9,84.6,10.8
0.073018,525.4,150.9,2185.3,571.4,2932.0,233.0,542.2,2208.8,2919.6,236.1,83.9,11.5
0.075018,547.4,188.7,2137.8,607.8,2934.4,216.4,563.8,2170.8,2920.1,236.3,83.3,12.1
0.077018,575.0,211.7,2101.8,610.3,2938.6,209.7,587.2,2135.2,2923.4,236.5,82.7,12.5
0.079018,606.1,218.5,2085.0,595.8,2942.0,215.3,611.6,2102.5,2928.9,236.7,82.4,12.4
0.081018,640.9,213.6,2079.2,579.6,2944.0,230.5,636.5,2073,2936.2,237,82.1,12.1
0.083018,672.8,201.1,2073.1,566.6,2945.5,248.3,661.1,2046.4,2944.3,237.3,82.1,11.7
0.085018,700.8,185.5,2057.9,554.2,2947.1,266.1,684.9,2022.5,2952.7,237.6,82.1,11.4
0.087018,723.0,172.9,2033.5,542.1,2947.0,284.1,707.3,2000.6,2960.6,237.9,82.3,11.1
0.089018,740.1,166.3,2006.1,532.8,2944.4,303.2,728.1,1979.9,2967.4,238.2,82.5,11
0.091018,754.4,166.5,1976.9,525.6,2942.9,321.1,747,1959.7,2972.7,238.6,82.7,11
0.093018,765.2,173.0,1946.8,513.0,2948.9,328.6,763.8,1939.1,2975.9,238.9,82.9,11
0.095018,774.1,185.4,1910.8,484.0,2964.2,323.0,778.5,1917.4,2977,239.3,82.9,11.1
0.097018,781.5,202.7,1872.5,439.2,2982.6,311.9,791.2,1894.1,2975.8,239.6,82.9,11.4
0.099018,788.6,223.8,1839.2,391.7,2996.8,307.2,802,1869,2972.4,240,82.8,12
0.101018,797.5,250.9,1812.1,350.4,3003.0,313.5,811,1842.2,2967,240.4,82.6,13
0.103018,808.3,283.0,1792.5,324.9,2996.7,326.6,818.6,1814,2960.1,240.7,82.3,14
0.105018,821.0,322.4,1775.5,312.2,2974.8,336.5,824.8,1785.1,2952,241.1,82,14.8
0.107018,833.0,363.4,1758.8,305.6,2942.7,334.3,829.8,1756.6,2943.4,241.4,81.7,15.1
0.109018,841.9,398.8,1741.5,296.3,2914.5,324.7,833.9,1729.6,2934.8,241.7,81.4,14.9
0.111018,847.3,428.2,1722.2,279.8,2898.3,317.9,837,1705.4,2926.8,242.1,81.2,14.2
0.113018,848.6,445.9,1702.7,256.4,2897.5,317.2,839.4,1685,2919.9,242.4,81,13.3
0.115018,845.5,445.8,1682.3,224.6,2907.0,312.9,841,1669.6,2914.7,242.7,80.8,12.5
0.117018,839.7,426.4,1662.2,190.6,2918.2,299.3,842,1659.9,2911.4,242.9,80.7,11.9
0.119018,833.7,402.2,1642.4,163.6,2924.8,287.0,842.3,1656.7,2910.2,243.2,80.4,11.9
