time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025757,363.3,99.9,2651.1,103.0,3382.4,201.8,367.6,2677,3386,261.1,70.9,7.3
0.027757,374.0,98.1,2669.1,97.7,3389.6,182.0,369.3,2677.8,3389.2,262.3,72.2,8.6
0.029757,381.1,91.6,2682.5,97.0,3403.2,167.4,371.9,2679,3394.2,263.6,73.3,10.1
0.031757,385.7,85.1,2690.7,99.9,3416.0,154.9,375.5,2680.7,3400.8,264.9,74.2,11.6
0.033757,387.4,80.8,2694.5,107.7,3424.4,148.2,379.9,2682.8,3408.5,266.2,75,12.9
0.035757,387.5,78.1,2695.6,121.7,3428.4,147.9,384.8,2685.3,3417,267.5,75.6,13.7
0.037757,387.5,77.2,2694.0,139.7,3427.5,149.9,390.1,2688.2,3425.6,268.7,76.1,13.9
0.039757,388.5,78.6,2689.8,154.1,3424.6,147.3,395.5,2691.3,3433.9,269.9,76.6,13.2
0.041757,390.9,82.8,2685.8,157.3,3426.2,137.2,400.8,2694.6,3441.4,271,77,12
0.043757,394.5,89.0,2686.9,150.1,3433.6,125.9,405.7,2698,3447.5,272,77.4,10.8
0.045757,399.1,96.0,2694.4,140.9,3441.2,118.6,410.2,2701.4,3451.8,272.8,77.9,9.9
0.047757,404.6,102.8,2705.5,137.3,3443.5,115.3,413.9,2704.7,3454.1,273.5,78.3,9.8
0.049757,410.6,109.3,2716.4,141.1,3440.2,111.8,416.8,2707.8,3454.1,274,78.7,10.3
0.051757,416.6,116.3,2724.9,148.1,3436.2,105.9,418.8,2710.5,3451.7,274.2,79.2,11.2
0.053757,421.1,122.5,2729.1,147.5,3436.3,101.2,419.8,2712.7,3447.1,274.2,79.6,12.1
0.055757,423.5,127.2,2727.6,133.1,3439.1,100.4,419.7,2714.3,3440.3,274,79.9,12.8
0.057757,423.9,130.0,2722.1,112.6,3440.0,104.8,418.7,2715,3431.8,273.4,80.1,13
0.059757,423.9,131.1,2716.7,97.9,3435.1,113.7,416.9,2714.8,3421.8,272.5,80.2,12.8
0.061757,424.1,130.5,2713.1,93.4,3422.8,125.0,414.2,2713.6,3410.9,271.4,80.2,12.4
0.063757,423.5,127.5,2711.0,99.8,3408.7,134.5,411,2711.1,3399.6,269.9,80.2,11.9
0.065757,419.2,120.9,2707.2,115.2,3397.8,142.3,407.3,2707.2,3388.4,268.1,80.2,11.7
0.067757,409.9,109.8,2695.0,135.2,3389.4,150.1,403.4,2701.9,3377.8,266.1,80.3,11.8
0.069757,398.4,95.6,2671.6,149.3,3379.4,159.3,399.5,2695,3368.4,263.7,80.6,12.1
0.071757,388.7,82.0,2646.8,149.6,3363.2,170.8,395.7,2686.6,3360.6,261.2,81,12.7
0.073757,383.6,72.7,2633.1,141.1,3342.1,176.3,392.3,2676.4,3354.6,258.4,81.4,13.3
0.075757,381.7,65.7,2628.7,132.7,3330.8,166.4,389.5,2664.6,3350.7,255.5,81.9,13.8
0.077757,380.8,59.2,2632.0,132.7,3344.8,148.8,387.3,2651.1,3349,252.4,82.3,14.2
0.079757,381.4,54.4,2639.9,146.6,3368.4,137.5,385.9,2636,3349.3,249.2,82.7,14.6
0.081757,384.5,52.3,2650.2,176.0,3382.1,142.6,385.4,2619.3,3351.5,246,82.9,15
0.083757,388.9,51.5,2662.4,222.7,3378.3,166.3,385.8,2601.2,3355.3,242.7,83,15.3
0.085757,391.9,49.7,2672.8,289.0,3360.8,190.7,387,2581.8,3360.1,239.5,83.1,15.6
0.087757,392.2,45.5,2664.6,380.9,3341.6,195.5,389.1,2561.2,3365.4,236.4,83,15.7
0.089757,390.8,38.5,2596.1,444.0,3333.0,176.0,392,2539.7,3370.7,233.4,83,15.6
0.091757,390.7,31.7,2482.5,371.2,3341.6,154.8,395.6,2517.3,3375.3,230.5,82.9,15.5
0.093757,393.6,28.7,2413.0,244.2,3361.7,150.1,399.7,2494.3,3378.6,227.8,82.9,15.4
0.095757,399.3,29.6,2382.9,151.1,3388.6,157.0,404.1,2471,3380,225.3,82.7,15.4
0.097757,406.8,34.6,2372.3,95.3,3413.2,172.0,408.9,2447.6,3379,223,82.5,15.5
0.099757,415.1,42.6,2371.8,66.0,3418.9,200.5,413.7,2424.2,3375.2,221,82.3,15.9
0.101757,422.5,50.7,2378.1,55.0,3382.1,236.0,418.4,2401,3368.3,219.1,81.9,16.4
0.103757,427.5,55.8,2386.6,55.5,3321.2,226.3,422.9,2378.4,3358.1,217.6,81.5,16.8
0.105757,431.4,57.8,2393.4,64.1,3290.1,194.0,427.1,2356.4,3344.7,216.2,81,17
0.107757,435.9,58.8,2391.8,83.5,3284.2,181.5,430.9,2335.3,3328.2,215.1,80.5,16.8
0.109757,440.6,61.2,2373.3,116.6,3286.5,188.6,434.3,2315.2,3309,214.2,80.1,16
0.111757,442.8,65.0,2329.8,154.5,3288.2,204.2,437.1,2296.2,3287.4,213.5,79.8,15
0.113757,441.0,68.3,2280.7,167.9,3284.7,213.1,439.3,2278.5,3264.2,213,79.7,14
0.115757,437.8,71.3,2249.3,161.9,3278.0,219.1,441,2262,3239.8,212.7,79.7,13.3
0.117757,436.4,74.2,2234.4,154.0,3267.7,233.4,442.3,2246.9,3215.1,212.5,79.8,13.1
0.119757,437.4,75.6,2224.9,149.2,3250.6,260.4,443.1,2233.2,3190.8,212.4,79.8,13.2
0.121757,439.8,73.4,2214.9,145.2,3218.9,298.4,443.5,2220.8,3167.5,212.5,79.9,13.6
0.123757,441.5,67.3,2204.7,136.9,3169.9,320.8,443.6,2209.8,3146.1,212.7,79.9,14.1
0.125757,441.9,59.0,2194.3,120.7,3116.4,300.2,443.5,2200.1,3127.1,212.9,80,14.6
0.127757,441.8,50.6,2183.2,100.0,3078.1,249.0,443.3,2191.7,3110.9,213.2,80,15.1
0.129757,442.2,43.6,2171.5,80.5,3058.0,195.6,443,2184.5,3097.9,213.5,80.1,15.5
0.131757,443.2,38.0,2162.3,64.8,3051.0,155.0,442.8,2178.3,3088.3,213.8,80.2,16
0.133757,444.4,33.7,2160.2,52.5,3052.9,128.3,442.6,2173.2,3082.2,214.2,80.3,16.5
0.135757,445.1,30.4,2166.2,43.7,3059.6,112.3,442.5,2169,3079.4,214.6,80.4,16.9
0.137757,445.1,27.3,2174.2,37.1,3067.1,101.6,442.6,2165.5,3079.6,215,80.4,17.2
0.139757,444.2,24.3,2179.0,32.3,3072.7,95.7,442.7,2162.8,3082.5,215.4,80.3,17.6
0.141757,442.6,22.0,2178.9,28.6,3076.0,95.2,443,2160.7,3087.6,215.7,80,17.9
0.143757,441.3,20.2,2175.0,26.1,3080.8,102.1,443.4,2159,3094.1,216.1,79.5,18.1
0.145757,441.4,19.2,2169.7,25.6,3093.3,118.5,443.8,2157.8,3101.6,216.4,78.8,17.8
0.147757,444.0,19.4,2164.9,27.7,3116.8,142.5,444.3,2156.9,3109.3,216.7,77.9,16.8
0.149757,448.4,21.2,2161.5,33.7,3143.6,171.7,444.8,2156.3,3116.6,217,76.8,14.7
0.151757,450.7,24.5,2159.0,46.8,3164.4,215.8,445.2,2155.9,3122.9,217.2,75.7,12.2
0.153757,447.4,27.1,2154.1,69.6,3169.1,286.0,445.5,2155.6,3127.8,217.5,74.6,9.8
0.155757,442.6,27.1,2143.0,105.7,3145.7,393.2,445.7,2155.4,3130.9,217.7,73.7,8.1
0.157757,441.1,26.3,2126.2,155.7,3084.8,481.5,445.8,2155.4,3131.9,217.9,72.8,8.3
