time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025925,351.3,45.2,2832.2,262.6,3490.3,208.4,354.2,2825,3513.1,230.4,74.2,5.6
0.027925,356.9,41.3,2817.6,214.0,3511.8,257.4,354.3,2821.9,3504.3,231.5,75.4,7.8
0.029925,358.5,40.9,2809.3,183.9,3515.8,303.3,354.7,2816.9,3490,232.6,76.5,8.7
0.031925,356.3,42.8,2800.8,164.1,3496.3,326.9,355.3,2810.4,3471,233.8,77.4,9
0.033925,353.2,44.7,2791.8,151.4,3459.2,324.0,356.3,2802.7,3447.9,235.1,78.3,9.1
0.035925,352.2,45.9,2786.3,144.1,3416.0,311.6,357.8,2794.4,3421.7,236.5,79.1,9.2
0.037925,355.3,47.0,2787.5,143.5,3378.2,295.7,359.9,2785.8,3393.4,238,79.8,9.5
0.039925,361.3,48.9,2793.4,152.3,3348.7,283.0,362.9,2777.6,3364.1,239.5,80.4,10.3
0.041925,368.8,51.7,2798.7,172.2,3322.0,274.5,366.8,2770,3335,241.2,80.9,11.4
0.043925,376.3,55.5,2796.4,199.1,3295.8,261.2,371.7,2763.3,3306.8,242.9,81.3,12.4
0.045925,383.9,60.3,2780.3,224.5,3270.0,235.4,377.7,2757.6,3280.6,244.7,81.6,13.3
0.047925,390.9,65.7,2753.2,232.2,3248.4,204.5,384.9,2752.8,3257,246.6,81.9,13.6
0.049925,397.4,71.6,2727.6,218.2,3231.1,178.7,393.2,2748.9,3236.5,248.5,82,13.3
0.051925,403.8,77.8,2712.7,191.3,3218.2,160.8,402.5,2745.3,3219.3,250.5,82.1,12.5
0.053925,410.6,83.8,2708.8,161.6,3210.7,150.6,412.8,2741.6,3205.6,252.6,82,11.5
0.055925,419.1,90.1,2711.3,133.8,3207.2,148.1,423.9,2737.1,3195.3,254.8,82,10.4
0.057925,429.4,96.4,2716.0,114.9,3205.2,155.4,435.6,2731.2,3188,256.9,81.9,9.4
0.059925,441.4,103.8,2720.1,109.4,3202.3,173.9,447.8,2723,3183.3,259.2,81.7,8.4
0.061925,454.6,113.9,2721.7,120.6,3195.8,198.4,460.3,2711.8,3180.7,261.4,81.5,7.3
0.063925,468.4,126.7,2715.9,149.9,3184.6,209.0,472.8,2697,3179.5,263.7,81.2,6.2
0.065925,483.8,139.2,2692.8,191.1,3172.9,187.3,485.2,2678,3179.2,266,81,5.3
0.067925,500.0,143.4,2654.1,211.4,3170.3,149.2,497.3,2654.5,3179.1,268.2,80.8,4.6
0.069925,515.9,134.8,2620.9,201.9,3174.3,123.8,508.9,2626.3,3178.8,270.5,80.8,4.2
0.071925,529.3,118.8,2601.7,189.0,3178.9,118.2,520,2593.3,3177.9,272.7,80.8,4
0.073925,538.6,104.9,2588.5,191.8,3180.5,130.4,530.5,2555.9,3176,274.8,81,3.9
0.075925,545.4,97.1,2567.1,218.4,3175.5,155.9,540.3,2514.4,3173,276.9,81.3,4
0.077925,551.0,94.7,2519.3,267.3,3160.1,172.0,549.4,2469.5,3168.9,278.8,81.6,4.3
0.079925,556.0,91.2,2431.0,305.7,3142.2,151.0,558,2422.1,3163.9,280.6,82,5
0.081925,561.0,83.4,2332.2,295.7,3135.1,115.1,566,2372.9,3158.1,282.3,82.3,6
0.083925,566.9,75.9,2265.9,267.8,3135.8,95.9,573.5,2323,3151.9,283.8,82.6,7.1
0.085925,574.6,72.6,2226.0,254.1,3139.5,96.0,580.7,2273.4,3145.5,285,82.9,8.1
0.087925,583.1,74.1,2195.2,258.4,3145.4,113.4,587.7,2224.9,3139.5,286,83.1,8.9
0.089925,591.8,77.2,2158.9,265.5,3151.8,142.0,594.4,2178.3,3134,286.8,83.2,9.3
0.091925,600.2,77.5,2116.2,257.0,3153.4,166.2,601.1,2134.5,3129.4,287.2,83.3,9.5
0.093925,608.0,72.4,2077.8,229.3,3145.4,168.0,607.6,2093.8,3125.9,287.4,83.4,9.5
0.095925,616.1,62.6,2049.3,192.4,3131.2,148.2,614.1,2056.5,3123.5,287.2,83.4,9.5
0.097925,623.9,52.4,2032.8,163.2,3120.6,123.1,620.5,2022.9,3122.3,286.6,83.5,9.6
0.099925,631.0,45.4,2023.2,150.4,3119.6,106.2,626.8,1992.7,3122.2,285.7,83.6,9.8
0.101925,637.0,42.7,2014.3,153.6,3126.2,103.0,632.9,1965.8,3122.9,284.5,83.6,10
0.103925,642.0,43.4,2000.3,164.5,3134.5,112.9,638.8,1941.7,3124.1,282.8,83.7,10.2
0.105925,646.6,46.8,1975.6,175.0,3139.3,135.5,644.3,1919.8,3125.6,280.8,83.7,10.4
0.107925,650.9,53.9,1938.6,180.8,3133.7,163.7,649.3,1899.7,3126.8,278.4,83.7,10.4
0.109925,654.5,65.5,1890.7,178.7,3114.6,173.5,653.7,1880.7,3127.4,275.7,83.7,10.2
0.111925,656.8,80.1,1838.1,162.4,3095.2,147.0,657.5,1862.2,3127.1,272.7,83.6,9.9
0.113925,657.2,92.2,1793.5,134.9,3088.8,110.0,660.6,1843.8,3125.6,269.4,83.5,9.6
