time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025832,341.4,223.2,2465.4,481.2,3743.1,299.1,386.2,2721.6,3840.2,265.4,59.7,-168.4
0.027832,337.6,118.9,2478.5,478.8,3751.3,322.6,386,2723,3840.7,265.3,61.9,-121.8
0.029832,332.3,74.3,2534.8,521.7,3768.8,351.7,385.6,2725.3,3841.6,265.2,63.7,-70.2
0.031832,329.6,58.1,2651.7,580.7,3801.8,346.1,385.1,2728.5,3842.8,265.1,65.2,-23.6
0.033832,331.7,60.0,2801.4,512.4,3832.9,279.3,384.4,2732.6,3844.3,265,66.4,8.2
0.035832,341.3,76.4,2869.1,352.9,3841.6,220.4,383.6,2737.5,3846,265,67.4,21.7
0.037832,359.6,101.2,2876.3,248.4,3844.4,203.2,382.7,2743.1,3847.9,264.9,68.2,23.5
0.039832,383.3,122.7,2866.9,196.6,3854.9,216.4,381.7,2749.5,3849.9,264.9,68.8,18.8
0.041832,405.4,133.9,2857.5,174.0,3885.0,243.4,380.7,2756.5,3852,264.9,69.3,12.6
0.043832,420.5,138.5,2852.5,166.3,3932.4,268.7,379.7,2764,3854.1,264.9,69.9,10
0.045832,427.3,142.2,2853.5,165.6,3973.5,286.5,378.6,2772.1,3856.1,265,70.4,11.1
0.047832,427.9,146.4,2857.6,165.5,3982.0,294.9,377.5,2780.5,3857.9,265,71,12.6
0.049832,426.8,150.5,2855.8,161.1,3944.4,283.7,376.5,2789.4,3859.5,265.1,71.6,14.2
0.051832,426.7,153.0,2844.0,151.9,3883.8,244.0,375.6,2798.4,3860.8,265.2,72.1,15.7
0.053832,425.1,153.5,2829.6,141.5,3836.0,200.0,374.8,2807.7,3861.7,265.3,72.6,17
0.055832,419.9,153.4,2821.9,134.8,3809.7,176.5,374,2817,3862.1,265.5,73,18.1
0.057832,412.9,152.5,2823.6,132.6,3799.1,175.6,373.4,2826.4,3862,265.6,73.4,19.1
0.059832,407.4,150.9,2830.6,133.3,3798.5,191.9,372.9,2835.7,3861.3,265.8,73.7,20
0.061832,404.1,149.6,2838.5,135.6,3806.2,216.4,372.6,2844.9,3860,266,74,20.8
0.063832,400.8,148.9,2845.3,138.0,3822.0,238.0,372.4,2854,3858,266.3,74.2,21.7
0.065832,395.8,148.4,2850.6,137.9,3843.0,255.0,372.4,2862.8,3855.3,266.5,74.4,22.7
0.067832,389.6,147.5,2856.5,134.1,3864.6,282.4,372.6,2871.3,3851.8,266.8,74.7,23.7
0.069832,381.9,145.5,2866.7,129.0,3889.4,333.0,372.9,2879.4,3847.6,267,74.9,24.7
0.071832,372.4,140.6,2881.5,125.8,3924.4,395.4,373.3,2887.2,3842.6,267.3,75.1,25.5
0.073832,362.1,131.8,2897.4,124.5,3960.3,428.2,373.9,2894.7,3836.8,267.6,75.3,26.2
0.075832,354.6,122.2,2910.3,126.1,3978.6,441.2,374.7,2901.7,3830.2,267.8,75.5,26.5
0.077832,351.1,117.0,2918.9,133.4,3977.3,481.2,375.5,2908.2,3823,268.1,75.6,26.5
0.079832,350.1,116.5,2924.9,147.4,3942.2,570.1,376.4,2914.4,3815,268.4,75.7,26.4
0.081832,349.9,118.8,2928.6,168.0,3846.5,655.9,377.3,2920.1,3806.4,268.7,75.8,26.4
0.083832,349.3,121.3,2927.1,193.5,3733.4,640.0,378.3,2925.3,3797.1,269,75.9,26.4
0.085832,348.1,122.3,2918.6,216.7,3660.0,577.8,379.3,2930.1,3787.3,269.2,76,26.6
0.087832,347.2,122.1,2906.2,229.1,3631.1,530.3,380.3,2934.5,3777,269.5,76,26.9
0.089832,347.1,121.4,2897.7,231.0,3639.4,514.1,381.2,2938.6,3766.3,269.8,76,27.2
0.091832,347.9,120.8,2896.7,231.3,3667.8,520.1,382,2942.2,3755.2,270,76,27.5
0.093832,349.8,121.2,2900.4,235.2,3687.7,536.2,382.7,2945.5,3743.8,270.3,76,27.8
0.095832,352.7,122.9,2906.9,238.9,3686.1,555.1,383.2,2948.4,3732.3,270.5,75.9,28.1
0.097832,356.2,125.5,2916.6,236.0,3673.8,566.6,383.6,2951.1,3720.5,270.8,75.9,28.5
0.099832,360.1,128.6,2927.8,225.5,3665.0,563.2,383.8,2953.4,3708.8,271,75.8,28.8
0.101832,364.2,131.3,2936.7,210.3,3661.9,542.7,383.7,2955.5,3697,271.2,75.7,29.1
0.103832,368.5,133.7,2941.3,193.6,3658.3,513.9,383.5,2957.3,3685.3,271.5,75.7,29.3
