time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025345,447.5,110.7,2660.8,66.9,3500.9,758.5,440.5,2677.1,3472.4,241.7,70.8,17.7
0.027345,445.0,116.0,2671.9,73.5,3469.2,775.8,440.4,2677,3470.3,241.9,71.2,18.4
0.029345,441.0,121.9,2681.8,77.8,3457.5,819.7,440.3,2676.8,3466.9,242,71.6,19.2
0.031345,435.7,127.6,2687.9,77.9,3470.4,852.3,440.2,2676.5,3462.2,242.2,72,19.9
0.033345,431.3,132.2,2689.6,76.4,3481.6,817.6,440.1,2676.2,3456.3,242.4,72.4,20.5
0.035345,429.5,135.1,2687.6,75.8,3467.8,731.4,439.9,2675.9,3449.3,242.6,72.6,20.8
0.037345,430.4,135.8,2684.1,75.9,3443.1,662.3,439.8,2675.5,3441.4,242.8,72.8,20.8
0.039345,433.3,134.5,2680.1,75.7,3421.9,621.7,439.8,2675.1,3432.6,243,72.8,20.9
0.041345,437.5,131.8,2676.4,74.7,3405.7,593.5,439.8,2674.8,3423.2,243.2,72.8,21
0.043345,442.1,128.5,2672.5,73.9,3387.0,556.7,440,2674.4,3413.2,243.4,72.8,21.2
0.045345,446.2,125.8,2668.2,74.7,3366.3,508.6,440.2,2674.1,3402.9,243.7,72.7,21.7
0.047345,448.3,124.9,2664.3,77.4,3353.0,467.7,440.5,2673.8,3392.3,243.9,72.7,22.4
0.049345,448.7,125.8,2660.9,81.9,3350.8,444.3,441,2673.6,3381.6,244.1,72.7,23.1
0.051345,447.6,127.9,2659.5,87.2,3359.0,444.6,441.6,2673.5,3371.1,244.4,72.8,23.9
0.053345,445.8,130.5,2660.3,92.8,3373.0,462.3,442.3,2673.5,3360.6,244.6,73,24.5
0.055345,444.5,132.5,2662.7,98.3,3385.3,485.6,443.1,2673.6,3350.5,244.8,73.1,25.2
0.057345,444.8,132.5,2665.2,102.9,3383.6,492.4,443.9,2673.7,3340.7,245.1,73.3,25.8
0.059345,447.2,129.6,2667.2,106.2,3362.7,470.5,444.9,2674,3331.4,245.3,73.5,26.5
0.061345,450.4,125.4,2669.9,107.5,3335.9,433.6,445.9,2674.3,3322.6,245.6,73.6,27
0.063345,452.9,122.1,2675.5,108.2,3317.6,408.4,446.8,2674.8,3314.3,245.8,73.7,27.3
0.065345,453.5,121.6,2683.7,112.0,3312.5,415.3,447.8,2675.3,3306.6,246,73.7,27.2
0.067345,452.7,122.4,2691.9,120.1,3308.2,448.9,448.7,2675.9,3299.4,246.2,73.7,26.9
0.069345,450.9,122.8,2697.3,130.7,3294.5,492.6,449.5,2676.6,3292.7,246.5,73.6,26.5
0.071345,449.1,122.4,2698.6,137.3,3274.4,529.8,450.2,2677.3,3286.5,246.7,73.6,26.3
0.073345,447.9,121.5,2696.8,136.0,3254.2,562.1,450.7,2678,3280.8,246.9,73.6,26.3
0.075345,447.0,120.8,2693.2,126.9,3241.1,598.6,451.1,2678.7,3275.5,247.1,73.6,26.7
0.077345,445.3,121.0,2689.3,115.0,3242.3,642.6,451.4,2679.5,3270.5,247.3,73.7,27.5
0.079345,443.1,121.4,2684.5,104.2,3254.7,683.0,451.4,2680.2,3265.9,247.5,73.7,28.4
0.081345,441.6,121.3,2678.6,97.3,3266.1,692.1,451.3,2680.9,3261.5,247.7,73.8,29.2
0.083345,441.4,120.8,2672.6,92.5,3272.3,671.6,451.1,2681.5,3257.3,247.8,73.8,29.6
0.085345,441.9,119.6,2668.1,88.1,3276.8,642.8,450.8,2682,3253.3,248,73.8,29.5
0.087345,442.7,118.0,2666.3,84.0,3278.4,617.5,450.4,2682.5,3249.4,248.1,73.8,29
0.089345,444.0,115.9,2666.7,80.9,3272.2,578.0,450,2682.9,3245.6,248.3,73.7,28.5
0.091345,446.0,113.8,2667.9,78.8,3257.4,512.5,449.6,2683.2,3241.9,248.4,73.7,28
