time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025812,390.0,156.6,2584.9,86.2,3230.2,224.6,310.9,2569.9,3220.6,204.2,67.1,11.5
0.027812,373.6,170.3,2568.9,97.7,3222.3,201.7,310.8,2570.6,3222.3,204.3,67.9,13.2
0.029812,361.5,172.5,2560.1,101.4,3215.4,191.1,310.6,2571.6,3225.3,204.4,68.6,14.7
0.031812,355.4,171.9,2563.8,98.0,3209.3,190.6,310.4,2573.1,3229.3,204.5,69.3,16.2
0.033812,349.2,174.0,2576.3,92.3,3207.2,194.9,310.1,2575,3234.5,204.6,69.9,17.6
0.035812,337.7,175.9,2591.1,88.1,3209.7,198.0,309.8,2577.2,3240.8,204.7,70.5,18.9
0.037812,323.2,169.7,2603.7,88.0,3214.1,196.8,309.4,2579.9,3248.2,204.8,71.1,20
0.039812,315.4,156.8,2609.7,93.8,3216.0,193.7,309,2582.9,3256.5,204.9,71.6,20.9
0.041812,313.1,145.0,2607.9,106.2,3214.7,195.4,308.6,2586.3,3265.9,205.1,72.1,21.6
0.043812,310.3,137.1,2599.3,119.9,3211.5,207.0,308.1,2590,3276.1,205.2,72.5,22.2
0.045812,304.7,132.0,2590.4,125.4,3208.9,232.8,307.7,2594,3287.2,205.4,73,22.8
0.047812,297.9,127.6,2587.8,123.2,3209.3,274.9,307.2,2598.3,3299.1,205.5,73.4,23.7
0.049812,293.6,124.2,2589.6,121.7,3216.0,318.0,306.8,2602.9,3311.8,205.7,73.7,24.8
0.051812,292.8,120.6,2589.6,122.2,3232.3,348.3,306.4,2607.7,3325,205.8,74.1,26.2
0.053812,294.4,115.4,2583.6,121.6,3257.5,363.6,306,2612.8,3338.9,206,74.5,27.6
0.055812,296.2,108.2,2572.1,118.6,3285.9,377.6,305.7,2618,3353.3,206.1,74.8,28.8
0.057812,296.7,100.7,2558.8,115.2,3311.3,411.5,305.5,2623.4,3368,206.3,75.1,29.7
0.059812,295.3,95.7,2550.5,115.4,3327.7,473.1,305.4,2628.9,3383.2,206.5,75.4,30.2
0.061812,292.9,93.6,2550.6,121.5,3338.4,549.3,305.3,2634.5,3398.5,206.7,75.7,30.5
0.063812,290.2,93.7,2561.5,133.1,3354.4,613.5,305.4,2640.2,3414.1,206.9,75.9,30.6
0.065812,288.2,93.8,2583.7,147.7,3379.0,669.1,305.6,2646,3429.7,207.1,76.1,30.6
0.067812,287.9,91.9,2615.6,163.0,3393.6,744.1,305.9,2651.7,3445.4,207.3,76.3,30.5
0.069812,289.1,87.9,2650.4,172.6,3381.5,835.0,306.4,2657.5,3460.9,207.5,76.5,30.3
0.071812,290.1,83.1,2684.7,170.1,3361.7,936.3,307.1,2663.2,3476.3,207.7,76.7,30
0.073812,289.5,80.1,2713.8,153.0,3372.3,1083.3,307.9,2668.8,3491.5,207.9,76.8,29.6
0.075812,287.1,79.9,2735.0,128.2,3437.5,1352.9,308.9,2674.3,3506.3,208.1,76.8,29.3
0.077812,283.7,82.0,2749.7,103.4,3563.7,1945.8,310.1,2679.8,3520.8,208.4,76.9,29.1
0.079812,280.5,84.8,2758.1,84.6,3725.3,2912.0,311.5,2685,3534.7,208.6,76.9,29.1
0.081812,278.9,87.0,2762.6,72.1,3998.5,4146.2,313.1,2690.1,3548.2,208.9,76.9,29.1
0.083812,279.2,88.4,2764.3,63.3,4139.5,349.6,315,2695,3561,209.1,76.9,29.3
0.085812,280.5,89.6,2763.7,56.3,4164.1,291.9,317.1,2699.6,3573.1,209.4,76.9,29.4
0.087812,281.5,91.0,2761.7,52.9,4183.7,271.3,319.4,2704.1,3584.6,209.7,76.8,29.4
0.089812,282.6,92.4,2758.7,55.7,4197.1,284.7,321.9,2708.3,3595.2,210,76.7,29.3
0.091812,285.3,93.3,2754.3,64.7,3839.9,5150.4,324.6,2712.2,3605.1,210.4,76.6,29.3
0.093812,290.9,93.1,2748.5,77.3,3613.8,3873.4,327.6,2715.8,3614.1,210.7,76.5,29.2
0.095812,298.7,90.9,2743.4,90.0,3548.5,3021.8,330.8,2719.1,3622.2,211.1,76.3,29
0.097812,307.0,88.2,2740.6,102.9,3561.0,2398.7,334.3,2722.1,3629.4,211.4,76.1,28.7
