time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025821,379.2,145.2,2765.4,283.1,3745.7,257.4,430.6,2732.6,3793.5,191.1,61.8,20.6
0.027821,405.3,135.4,2735.9,221.0,3754.0,241.0,429.7,2731.7,3792.3,191.1,62.4,22.2
0.029821,418.9,131.3,2706.6,164.4,3772.1,230.7,428.2,2730.1,3790.4,191.2,62.9,17.2
0.031821,414.1,143.6,2689.7,126.0,3787.2,225.0,426.1,2728.1,3787.7,191.2,63.4,10.8
0.033821,396.9,166.2,2684.1,102.8,3793.0,225.5,423.4,2725.5,3784.2,191.3,63.8,7.8
0.035821,383.3,181.0,2685.2,88.2,3789.3,234.5,420.2,2722.5,3780.1,191.5,64.1,8.5
0.037821,388.1,182.1,2690.1,77.7,3777.7,247.1,416.4,2719.1,3775.4,191.6,64.3,9.4
0.039821,407.8,177.9,2695.4,69.6,3762.7,258.1,412,2715.4,3770.2,191.8,64.3,10.5
0.041821,426.4,182.2,2697.3,65.6,3753.7,271.6,407.1,2711.6,3764.5,192.1,64.3,11.5
0.043821,437.7,201.4,2696.8,66.0,3751.1,297.6,401.7,2707.7,3758.4,192.3,64.4,12.3
0.045821,442.6,230.3,2697.8,69.5,3749.5,334.2,395.9,2703.9,3751.9,192.6,64.5,12.9
0.047821,444.1,258.3,2703.6,73.3,3743.9,364.7,389.5,2700.2,3745.3,193,64.7,13.3
0.049821,442.3,281.4,2713.0,74.4,3735.7,367.4,382.7,2696.7,3738.4,193.3,65.1,13.7
0.051821,432.5,301.7,2719.7,72.6,3733.2,337.4,375.6,2693.5,3731.5,193.7,65.5,14.1
0.053821,410.0,322.0,2721.6,69.7,3734.8,296.5,368,2690.8,3724.6,194.2,66.1,14.6
0.055821,377.8,331.5,2720.6,66.7,3733.0,264.8,360.2,2688.5,3717.7,194.6,66.6,15.3
0.057821,347.1,321.0,2718.9,63.6,3725.0,246.2,352.1,2686.9,3710.9,195.1,67.3,16.2
0.059821,325.1,297.7,2717.0,61.0,3712.6,237.4,343.7,2685.8,3704.3,195.6,67.9,17.1
0.061821,311.5,275.7,2714.9,59.4,3702.4,236.3,335.2,2685.4,3697.9,196.1,68.5,18
0.063821,301.6,258.2,2713.2,58.0,3698.8,239.4,326.5,2685.6,3691.8,196.6,69.1,18.8
0.065821,293.7,243.9,2712.4,56.4,3701.8,240.0,317.8,2686.6,3686,197.2,69.7,19.4
0.067821,287.5,229.8,2712.1,54.8,3707.1,230.8,309,2688.2,3680.5,197.7,70.2,19.8
0.069821,282.4,213.9,2711.4,53.6,3710.1,211.0,300.3,2690.4,3675.3,198.2,70.8,20.2
0.071821,278.9,199.7,2708.9,53.2,3709.7,191.3,291.8,2693.2,3670.4,198.7,71.3,20.7
0.073821,277.2,189.5,2704.4,54.8,3708.5,180.3,283.4,2696.5,3665.8,199.3,71.9,21.2
0.075821,276.8,182.8,2699.7,60.3,3707.4,182.2,275.3,2700.3,3661.4,199.8,72.5,22
0.077821,274.7,175.7,2697.4,71.0,3704.4,197.4,267.5,2704.4,3657.3,200.3,73,22.9
0.079821,267.4,163.3,2701.2,86.3,3695.6,225.3,260,2708.7,3653.3,200.8,73.6,23.7
