time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025710,213.5,23.0,2568.5,1038.5,2713.7,322.0,214.6,2306.8,2757.8,207.9,81.4,29.1
0.027710,214.8,23.0,2396.9,828.5,2758.2,345.4,214.9,2312.2,2765.2,208.2,81.5,29
0.029710,215.9,21.7,2282.2,632.8,2794.7,339.1,215.4,2320.9,2777.2,208.4,81.5,28.5
0.031710,216.7,20.2,2236.0,487.7,2823.2,345.2,216.2,2332.7,2793.6,208.7,81.5,27.8
0.033710,217.7,19.5,2237.9,410.7,2843.4,354.1,217.3,2347.5,2814.1,209,81.5,27.1
0.035710,219.3,20.0,2267.5,373.9,2853.8,350.2,218.8,2364.7,2838.2,209.3,81.5,26.3
0.037710,221.8,21.4,2307.4,354.0,2861.8,340.9,220.8,2384.1,2865.5,209.6,81.4,25.6
0.039710,224.7,23.7,2350.8,339.8,2878.2,339.3,223.4,2405.1,2895.2,210,81.3,25
0.041710,228.1,27.2,2400.3,330.1,2909.4,348.1,226.6,2427.2,2926.8,210.3,81.2,24.5
0.043710,231.9,31.5,2452.6,317.1,2952.2,354.7,230.5,2450,2959.7,210.7,81,24
0.045710,236.7,36.3,2502.9,291.8,2998.7,346.7,235.3,2472.9,2993.3,211.1,80.9,23.4
0.047710,242.1,40.3,2538.9,263.1,3036.3,332.3,241,2495.4,3026.8,211.4,80.7,22.8
0.049710,248.1,43.7,2562.8,234.3,3068.9,314.2,247.5,2517.1,3059.7,211.8,80.4,22.1
0.051710,255.0,46.9,2578.4,206.9,3098.2,293.2,254.9,2537.5,3091.4,212.2,80.2,21.2
0.053710,262.3,50.0,2588.4,185.5,3121.9,280.7,263.3,2556.2,3121.5,212.6,79.9,20.3
0.055710,270.5,54.0,2595.4,165.6,3143.0,278.2,272.5,2573,3149.5,213,79.5,19.5
0.057710,278.9,59.7,2599.7,142.5,3162.0,276.7,282.5,2587.6,3175.1,213.4,79.1,18.9
0.059710,288.1,68.2,2601.7,113.8,3181.5,265.0,293.2,2599.8,3198.1,213.8,78.6,18.6
0.061710,298.6,79.8,2602.0,84.2,3202.9,243.9,304.4,2609.6,3218.2,214.1,78,18.6
0.063710,310.0,91.6,2601.8,62.8,3224.3,225.6,316.1,2617,3235.5,214.5,77.4,18.6
0.065710,323.0,101.2,2602.3,49.3,3246.0,215.7,328,2622,3249.9,214.8,76.8,18.6
0.067710,335.9,105.8,2603.5,42.5,3264.0,214.4,340,2624.7,3261.5,215.2,76,18.6
0.069710,348.9,105.9,2604.6,39.2,3277.3,217.0,351.9,2625.5,3270.5,215.5,75.3,18.5
0.071710,362.5,101.9,2604.9,37.2,3285.9,218.9,363.5,2624.5,3277.2,215.8,74.4,18.4
0.073710,375.9,94.9,2604.8,35.7,3289.1,217.7,374.6,2622,3281.8,216,73.6,18.2
