time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025467,312.5,128.8,2595.4,451.2,3122.2,277.4,387.5,2648.9,3162.3,242.4,71.8,11.1
0.027467,328.3,155.7,2632.0,486.4,3144.2,362.6,387.9,2648.1,3165.1,242.5,72,12.8
0.029467,353.3,183.2,2686.2,427.2,3176.1,497.1,388.7,2646.7,3169.8,242.7,72.1,14.6
0.031467,379.0,195.1,2704.7,313.4,3221.6,609.7,389.7,2644.8,3176.2,242.8,72.2,16.3
0.033467,396.8,197.5,2691.2,242.0,3246.8,643.0,391,2642.5,3184.4,243,72.2,17.8
0.035467,408.7,200.5,2669.8,207.3,3235.4,639.3,392.6,2639.8,3194.1,243.1,72.3,19
0.037467,418.3,204.6,2651.1,188.2,3202.7,636.0,394.3,2636.8,3205.3,243.3,72.5,19.8
0.039467,426.4,207.1,2636.3,172.9,3177.3,634.8,396.4,2633.7,3217.9,243.5,72.8,20.5
0.041467,433.0,204.7,2623.9,154.8,3180.5,628.2,398.6,2630.5,3231.6,243.7,73.1,20.9
0.043467,437.1,195.8,2615.5,136.9,3207.4,609.7,400.9,2627.3,3246.4,243.9,73.5,21.3
0.045467,438.3,183.4,2610.7,123.0,3243.2,577.8,403.4,2624.3,3262,244.2,73.9,21.7
0.047467,436.0,174.0,2608.7,114.7,3285.7,539.9,406,2621.6,3278.3,244.4,74.2,21.8
0.049467,430.4,172.3,2608.8,112.0,3335.2,511.8,408.7,2619.2,3295.1,244.6,74.5,21.8
0.051467,423.3,177.0,2609.4,114.6,3372.9,510.0,411.5,2617.3,3312.2,244.9,74.7,21.8
0.053467,418.0,182.1,2607.8,121.8,3384.2,525.2,414.3,2616,3329.4,245.1,74.7,21.9
0.055467,417.8,183.0,2600.7,134.7,3367.7,519.8,417.1,2615.3,3346.5,245.4,74.7,22.2
0.057467,421.9,180.4,2588.0,153.5,3350.4,477.3,419.8,2615.4,3363.5,245.7,74.7,22.6
0.059467,426.6,178.2,2572.5,175.8,3353.6,429.1,422.5,2616.3,3380.1,245.9,74.5,23
0.061467,428.4,179.0,2563.4,190.0,3373.4,411.5,425.1,2618,3396.3,246.2,74.4,23.5
0.063467,426.8,183.7,2568.4,185.7,3397.5,433.4,427.6,2620.6,3411.8,246.5,74.3,24.1
0.065467,422.5,191.5,2587.2,168.3,3413.7,488.0,430,2624,3426.6,246.8,74.2,24.8
0.067467,417.4,199.3,2612.5,150.1,3419.6,553.9,432.3,2628.3,3440.5,247,74.1,25.7
0.069467,414.3,203.3,2638.0,134.5,3426.7,607.1,434.4,2633.4,3453.6,247.3,74,26.8
0.071467,414.5,203.5,2660.5,122.2,3445.1,635.8,436.4,2639.2,3465.8,247.6,74,27.7
0.073467,417.0,202.7,2676.5,117.4,3464.2,636.7,438.1,2645.8,3477,247.8,73.9,28.2
0.075467,421.5,202.5,2687.9,120.7,3473.2,605.7,439.7,2652.9,3487.2,248.1,73.7,28.2
0.077467,428.6,201.4,2696.7,127.1,3478.2,543.3,441.2,2660.6,3496.5,248.3,73.6,27.6
0.079467,437.3,198.2,2705.2,128.8,3491.8,476.9,442.4,2668.7,3504.8,248.5,73.3,26.7
0.081467,446.0,193.3,2714.1,122.3,3514.1,428.0,443.5,2677.1,3512.3,248.7,73.1,25.6
0.083467,452.3,188.4,2719.4,109.5,3531.5,404.8,444.4,2685.6,3518.9,248.9,72.8,24.8
0.085467,456.3,185.9,2719.9,94.4,3535.6,407.2,445.1,2694.2,3524.7,249.1,72.6,24.3
0.087467,457.2,188.9,2718.5,81.3,3526.9,439.2,445.7,2702.7,3529.8,249.3,72.4,24
0.089467,454.5,198.1,2719.0,72.0,3514.9,497.0,446.1,2711,3534.3,249.5,72.2,23.9
0.091467,449.6,209.1,2721.9,66.3,3513.2,547.1,446.4,2719,3538.3,249.6,72.1,23.9
0.093467,446.0,217.6,2726.1,62.3,3525.5,557.4,446.6,2726.5,3541.8,249.8,72,24
0.095467,445.3,222.3,2730.6,59.1,3545.3,520.4,446.7,2733.5,3545,249.9,71.8,24.3
0.097467,446.5,224.8,2735.2,56.4,3565.1,450.0,446.7,2739.9,3548,250,71.7,24.9
0.099467,447.3,226.2,2739.5,53.5,3578.1,361.1,446.6,2745.6,3550.7,250.1,71.6,25.7
0.101467,447.0,225.9,2742.2,50.4,3581.5,287.3,446.4,2750.5,3553.4,250.2,71.5,26.5
0.103467,446.1,223.9,2743.4,47.8,3583.1,240.2,446.3,2754.7,3556,250.2,71.4,27.1
0.105467,444.8,220.5,2744.2,46.5,3589.2,217.8,446,2758.1,3558.7,250.3,71.2,27.2
0.107467,443.3,216.3,2745.8,46.3,3599.4,208.9,445.8,2760.7,3561.4,250.3,71.1,27
0.109467,442.3,211.2,2748.7,46.5,3609.1,205.3,445.5,2762.5,3564.2,250.3,71.1,26.5
0.111467,442.4,205.9,2751.7,47.1,3612.9,207.2,445.3,2763.6,3567.1,250.4,71,26
0.113467,443.3,200.3,2754.1,48.1,3608.6,217.0,445,2764.1,3570.1,250.3,70.9,25.7
0.115467,444.5,194.0,2755.3,50.0,3595.9,230.2,444.8,2763.9,3573.2,250.3,70.9,25.8
0.117467,445.5,187.6,2755.3,52.6,3580.1,234.3,444.6,2763.3,3576.3,250.3,70.8,26.2
0.119467,445.0,184.0,2754.5,56.3,3571.2,225.8,444.4,2762.3,3579.5,250.3,70.7,26.9
0.121467,443.7,184.5,2753.4,60.3,3571.4,216.1,444.2,2761.1,3582.6,250.2,70.7,27.5
0.123467,443.6,186.4,2752.9,63.3,3573.7,211.1,444.1,2759.6,3585.6,250.2,70.6,28
0.125467,445.8,186.4,2753.5,63.8,3572.7,209.3,444,2758.2,3588.4,250.1,70.5,28.1
0.127467,448.5,185.0,2754.5,62.3,3568.1,205.7,443.9,2756.8,3590.9,250.1,70.5,28
0.129467,449.0,185.3,2754.7,60.7,3563.8,195.8,443.9,2755.6,3593,250,70.4,27.7
0.131467,446.4,189.3,2754.0,60.7,3563.9,181.1,443.9,2754.7,3594.6,250,70.4,27.4
0.133467,442.9,195.0,2753.4,62.4,3566.6,166.3,443.9,2754.3,3595.6,249.9,70.4,27.2
0.135467,441.2,200.1,2753.1,65.1,3568.8,157.1,443.9,2754.3,3595.9,249.8,70.3,27.1
0.137467,441.5,204.8,2753.0,68.5,3569.4,155.6,443.9,2754.9,3595.4,249.8,70.3,27.1
0.139467,441.8,209.7,2753.3,72.1,3569.2,160.8,444,2756.1,3593.9,249.7,70.2,27.2
0.141467,441.5,213.5,2755.1,76.8,3569.2,172.0,444.1,2758,3591.4,249.7,70.2,27.3
0.143467,443.8,213.5,2759.2,83.1,3567.6,189.0,444.2,2760.5,3587.9,249.6,70.1,27.4
0.145467,450.7,208.3,2765.8,91.8,3560.9,217.5,444.3,2763.6,3583.1,249.6,70.1,27.5
0.147467,458.7,199.8,2773.6,103.6,3547.2,263.7,444.4,2767.3,3577.1,249.5,70.1,27.6
0.149467,462.7,194.1,2781.8,119.3,3529.6,323.0,444.5,2771.5,3569.8,249.5,70.2,27.8
0.151467,461.4,194.2,2790.3,138.7,3515.2,375.4,444.6,2776.2,3561.2,249.5,70.2,27.9
0.153467,456.6,197.0,2797.3,156.6,3510.6,388.9,444.7,2781.2,3551.3,249.5,70.3,28.1
0.155467,450.5,199.0,2802.6,171.4,3513.5,366.0,444.9,2786.3,3539.9,249.5,70.4,28.2
0.157467,444.1,199.8,2807.9,182.8,3520.6,331.1,445.1,2791.5,3527.3,249.6,70.5,28.3
0.159467,437.6,200.1,2816.1,191.2,3529.6,304.3,445.3,2796.6,3513.3,249.6,70.7,28.5
0.161467,432.6,199.5,2826.4,194.7,3537.2,294.8,445.5,2801.3,3498,249.7,70.8,28.5
0.163467,429.8,197.4,2836.1,192.7,3541.0,299.0,445.8,2805.5,3481.5,249.7,70.9,28.6
0.165467,429.6,193.6,2841.1,187.8,3537.3,312.8,446.1,2809.1,3463.9,249.8,71.1,28.7
0.167467,430.0,188.7,2839.2,183.3,3522.2,326.1,446.5,2811.7,3445.3,249.9,71.2,28.7
0.169467,430.3,183.3,2830.3,181.6,3496.1,329.5,446.9,2813.2,3425.7,250,71.4,28.8
