time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025113,234.8,91.2,2430.5,247.6,2821.6,201.4,254.3,2490.4,2900.4,211.4,72,19.7
0.027113,232.9,81.2,2438.2,264.3,2819.9,206.8,255.9,2491.9,2905.5,212.3,72.7,19.6
0.029113,233.2,75.5,2452.2,260.6,2830.9,227.6,258.5,2494.5,2914,213.2,73.4,19.8
0.031113,235.3,73.1,2476.5,228.7,2864.9,261.3,262,2498,2925.8,214.2,74.1,20.1
0.033113,239.6,74.4,2499.8,178.1,2925.8,274.3,266.5,2502.5,2940.7,215.3,74.8,20.2
0.035113,245.6,80.1,2515.2,138.7,2983.5,251.2,271.8,2507.8,2958.6,216.4,75.3,20.1
0.037113,253.9,90.0,2526.9,113.6,3025.4,222.0,277.8,2514,2979.2,217.5,75.7,19.5
0.039113,264.1,101.8,2537.0,98.7,3053.7,208.2,284.3,2521,3002.4,218.6,76,18.8
0.041113,275.2,113.4,2546.4,88.0,3077.1,208.5,291.3,2528.6,3028,219.8,76.1,17.9
0.043113,289.4,127.1,2555.6,78.1,3101.3,215.5,298.6,2536.8,3055.6,221,76.1,16.9
0.045113,308.1,143.3,2563.8,70.8,3121.3,225.9,306.1,2545.6,3085.1,222.3,75.8,15.9
0.047113,334.4,159.9,2573.0,66.3,3134.5,241.8,313.5,2554.8,3116,223.5,75.4,14.6
0.049113,364.4,169.5,2584.4,63.1,3140.4,265.1,320.9,2564.3,3148.2,224.7,74.8,13.2
0.051113,392.4,170.1,2596.9,57.9,3146.2,297.7,328,2574.1,3181.3,226,74.1,11.6
0.053113,416.2,162.9,2609.2,49.0,3167.6,343.0,334.6,2584,3215.1,227.2,73.3,10.3
0.055113,429.4,153.8,2618.8,39.1,3221.1,384.5,340.7,2593.9,3249.2,228.4,72.8,9.3
0.057113,430.7,155.3,2626.5,30.1,3309.4,377.3,346.2,2603.8,3283.4,229.6,72.7,8.6
0.059113,417.8,173.1,2633.3,23.9,3385.3,308.4,350.9,2613.7,3317.4,230.7,73.2,8.2
0.061113,394.1,189.7,2640.3,20.6,3430.7,245.7,354.8,2623.3,3351.1,231.8,74.1,8
0.063113,363.0,193.5,2647.9,18.5,3462.4,203.6,357.8,2632.6,3384.1,232.9,75,8.1
0.065113,335.1,184.4,2655.0,17.0,3488.4,180.3,359.9,2641.7,3416.3,234,75.8,8.4
0.067113,317.3,172.5,2660.6,15.6,3512.4,171.2,360.9,2650.3,3447.5,235,76.4,9.2
0.069113,307.5,163.4,2664.8,14.3,3536.6,171.9,361,2658.5,3477.6,236,76.9,10.4
0.071113,304.2,159.6,2667.8,13.1,3557.8,176.3,360.2,2666.3,3506.4,236.9,77,11.9
0.073113,305.6,160.4,2670.0,12.2,3576.6,178.2,358.4,2673.5,3533.8,237.8,77,13.2
0.075113,310.5,164.7,2671.6,11.6,3589.7,177.1,355.8,2680.2,3559.8,238.7,76.8,14.1
0.077113,318.3,170.8,2672.9,11.6,3596.9,177.6,352.3,2686.4,3584.3,239.5,76.5,14.6
0.079113,327.2,176.2,2674.5,12.0,3598.8,183.2,348.1,2692,3607.3,240.3,76.2,14.7
0.081113,335.4,179.8,2676.8,12.6,3597.6,194.5,343.4,2697.1,3628.8,241,75.8,14.7
0.083113,341.0,180.7,2680.3,13.7,3593.1,212.5,338,2701.7,3648.7,241.8,75.7,14.8
0.085113,340.4,176.6,2685.0,15.0,3584.6,231.2,332.3,2705.7,3667.2,242.5,75.7,15.1
0.087113,332.3,166.4,2691.0,16.4,3574.6,244.8,326.4,2709.3,3684.1,243.1,76,15.8
0.089113,319.7,151.8,2696.4,17.0,3570.2,255.5,320.2,2712.3,3699.7,243.8,76.3,16.8
0.091113,307.7,136.7,2699.3,16.6,3575.1,275.9,314.1,2715,3713.8,244.5,76.7,17.8
0.093113,297.8,122.6,2700.6,15.8,3591.8,318.4,308,2717.2,3726.6,245.1,77,18.7
0.095113,291.6,111.8,2702.1,15.3,3625.3,377.3,302.1,2719.1,3738.1,245.7,77.1,19.3
0.097113,288.4,104.4,2704.5,15.3,3671.7,418.8,296.6,2720.7,3748.4,246.3,77.2,19.6
0.099113,286.6,98.5,2707.5,15.8,3716.9,414.4,291.4,2722,3757.4,247,77.1,19.5
0.101113,285.6,93.5,2710.5,16.7,3745.5,385.3,286.8,2723,3765.3,247.6,76.9,19.4
0.103113,285.6,89.1,2713.6,18.7,3770.9,363.7,282.7,2723.8,3772,248.2,76.7,19.4
0.105113,286.5,86.1,2717.3,22.1,3801.4,357.4,279.2,2724.4,3777.6,248.8,76.4,19.6
0.107113,287.6,83.9,2722.3,28.0,3838.9,360.5,276.3,2724.8,3782,249.5,76.2,20.4
0.109113,287.9,81.8,2727.8,37.7,3871.2,376.8,274.2,2725.1,3785.3,250.1,76.1,21.5
0.111113,286.8,79.5,2732.2,50.2,3890.5,417.2,272.7,2725.4,3787.4,250.8,76.1,22.7
0.113113,285.1,77.1,2735.1,60.4,3902.2,488.3,271.9,2725.5,3788.3,251.4,76,23.7
0.115113,283.7,75.8,2737.4,60.6,3911.7,578.7,271.7,2725.6,3787.9,252.1,76.1,24.3
