time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.024977,402.3,93.6,2365.0,93.3,2839.5,187.5,402.3,2363.8,2833.1,0,79.8,9
0.026977,398.8,100.4,2376.4,103.2,2852.1,206.5,397.9,2375.8,2851.5,244.2,79.8,9
0.028977,393.2,106.0,2393.2,114.2,2860.0,235.9,392,2393.3,2867.3,245.5,79.6,9
0.030977,385.2,108.6,2413.2,128.8,2859.1,278.5,386.2,2413.7,2866.2,246.8,79.3,9
0.032977,378.5,107.4,2432.7,153.1,2841.1,335.2,381.9,2435,2840.8,248,79,9.1
0.034977,377.4,103.8,2452.3,192.1,2801.0,395.6,379.4,2456.6,2794.9,249.1,78.6,9.1
0.036977,381.1,100.0,2476.8,240.2,2749.5,440.2,378.8,2478,2742.6,250.1,78.2,9.2
0.038977,385.3,98.9,2506.6,280.0,2704.4,466.0,380.2,2498.9,2702.2,251,77.8,9.3
0.040977,386.7,102.7,2528.9,303.3,2682.8,465.3,383.7,2517.6,2688.9,251.8,77.4,9.4
0.042977,386.9,111.2,2529.0,312.0,2701.1,430.4,390.1,2531,2708,252.5,77.2,9.5
0.044977,392.6,122.6,2520.4,282.1,2752.5,394.5,399.8,2535.6,2754.2,253.1,77,9.6
0.046977,410.0,130.0,2518.4,226.5,2818.0,356.3,412.4,2528.9,2814,253.6,76.9,9.8
0.048977,430.8,123.7,2515.8,182.9,2878.6,306.9,425.7,2510.9,2872.9,254,76.8,10
0.050977,441.1,115.9,2500.5,168.6,2923.7,256.0,436.3,2484.8,2921.1,254.2,76.7,10.2
0.052977,441.1,116.2,2466.7,172.9,2953.5,205.4,440.5,2456.1,2956.5,254.3,76.6,10.3
0.054977,433.9,122.6,2423.3,179.8,2977.3,168.9,435.2,2430.8,2983.3,254.3,76.6,10.2
0.056977,418.3,133.5,2398.3,188.3,3007.0,151.8,420.4,2413.4,3007.6,254.1,76.4,9.8
0.058977,395.7,141.6,2401.0,204.5,3037.3,140.2,399,2405.1,3032.9,253.8,76.3,9.3
0.060977,375.1,138.2,2411.3,229.3,3059.1,127.4,376.5,2403.8,3057.7,253.4,75.9,8.6
0.062977,361.8,125.5,2413.8,261.9,3073.3,119.3,359.5,2405.6,3076.5,252.7,75.5,7.8
0.064977,355.2,109.3,2401.8,290.0,3084.9,126.4,353.2,2406.7,3083.6,252.4,74.9,7
