time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025871,263.0,230.3,2449.9,231.1,3271.7,111.7,264.3,2636.4,3316.9,230,57.2,-0.8
0.027871,274.3,105.5,2478.4,306.6,3261.2,146.9,265,2636.1,3320.3,229.3,58.8,-0.2
0.029871,277.7,62.6,2519.8,431.0,3264.9,192.1,266,2635.5,3325.9,228.7,60.4,1.2
0.031871,280.4,51.2,2605.5,606.6,3279.7,261.6,267.5,2634.8,3333.7,228,62,2.8
0.033871,283.2,54.8,2737.0,570.8,3324.9,335.4,269.3,2633.9,3343.6,227.3,63.2,4.4
0.035871,286.9,68.1,2739.7,348.9,3371.1,316.4,271.6,2632.9,3355.4,226.7,64.3,6
0.037871,292.1,90.4,2702.9,207.4,3382.2,288.1,274.3,2631.8,3369.2,226,65.2,7.2
0.039871,298.6,118.8,2678.2,138.0,3381.0,278.8,277.4,2630.6,3384.6,225.4,65.9,8.3
0.041871,303.1,143.5,2665.0,111.4,3382.5,282.1,280.9,2629.5,3401.7,224.8,66.6,9.2
0.043871,302.6,155.6,2657.3,108.5,3396.8,304.8,284.7,2628.4,3420.1,224.3,67.4,10.1
0.045871,300.0,155.8,2651.0,119.3,3430.3,347.4,289,2627.5,3439.7,223.8,68.1,11
0.047871,300.2,152.3,2642.3,132.9,3476.9,382.2,293.6,2626.8,3460.4,223.3,68.8,12.1
0.049871,303.4,149.7,2630.7,135.4,3511.5,382.3,298.5,2626.3,3481.8,222.9,69.5,13.3
0.051871,306.0,148.0,2621.9,124.8,3523.8,370.3,303.8,2626.1,3503.9,222.5,70.2,14.6
0.053871,305.7,146.1,2618.9,111.4,3534.4,370.6,309.4,2626.3,3526.3,222.3,70.7,15.9
0.055871,302.6,143.1,2622.6,98.6,3567.9,362.1,315.3,2626.9,3548.9,222,71.2,16.9
0.057871,299.8,140.5,2630.9,85.7,3617.5,311.2,321.5,2628,3571.5,221.9,71.6,17.6
0.059871,300.7,141.2,2639.5,74.2,3659.5,248.3,327.9,2629.6,3593.8,221.7,72,18
0.061871,304.8,144.6,2647.0,68.3,3689.1,204.2,334.6,2631.7,3615.6,221.7,72.2,18.1
0.063871,309.1,148.4,2655.2,69.8,3708.5,182.5,341.5,2634.3,3636.9,221.7,72.4,18.2
0.065871,312.4,152.9,2665.5,75.9,3724.2,173.8,348.6,2637.5,3657.2,221.8,72.6,18.2
0.067871,316.1,158.4,2676.1,81.3,3739.0,169.0,355.8,2641.3,3676.6,221.9,72.6,18.2
0.069871,321.5,164.9,2682.8,84.0,3751.4,169.1,363.1,2645.6,3694.8,222,72.6,18.1
0.071871,328.5,171.7,2684.0,84.8,3760.7,176.6,370.6,2650.5,3711.7,222.2,72.5,17.9
0.073871,336.9,178.3,2681.3,83.5,3767.0,186.1,378,2655.9,3727.2,222.5,72.3,17.8
0.075871,347.2,184.0,2678.0,79.6,3769.0,189.0,385.5,2661.8,3741.2,222.7,72,17.7
0.077871,360.6,188.0,2675.8,73.9,3765.6,186.4,393,2668.1,3753.6,223,71.7,17.8
0.079871,378.3,188.8,2675.9,68.5,3757.1,187.1,400.3,2674.8,3764.3,223.4,71.2,18.2
0.081871,398.7,185.0,2678.9,65.4,3743.0,197.0,407.6,2681.8,3773.3,223.7,70.7,18.7
0.083871,419.0,177.9,2685.3,65.0,3726.1,211.9,414.7,2689.1,3780.6,224.1,70,19.1
0.085871,437.5,169.6,2694.0,65.8,3715.1,222.9,421.7,2696.5,3786.2,224.4,69.3,19.2
0.087871,454.6,158.8,2702.8,64.7,3715.9,226.7,428.4,2704,3790,224.8,68.6,18.7
0.089871,470.8,143.6,2709.4,59.8,3725.1,226.2,434.8,2711.6,3792.2,225.2,67.9,17.5
0.091871,484.7,126.4,2713.0,52.5,3735.4,226.6,440.9,2719,3792.8,225.6,67.2,16.1
0.093871,494.9,112.7,2715.4,46.1,3739.2,229.2,446.7,2726.3,3791.9,226,66.7,14.6
0.095871,500.8,106.0,2718.6,43.5,3732.1,232.2,452,2733.4,3789.5,226.4,66.3,13.5
0.097871,503.8,105.7,2722.4,45.1,3717.5,233.4,457,2740.1,3785.8,226.8,66.2,13.2
0.099871,505.1,108.6,2726.0,50.6,3705.4,227.2,461.5,2746.4,3781,227.2,66.2,13.3
