time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025408,285.2,62.9,2567.2,493.4,3193.9,441.2,350.3,2637.1,3446.4,221.4,65.2,8.5
0.027408,288.4,64.7,2581.3,501.0,3203.3,504.6,350.4,2637.2,3447.7,221.6,66.1,9.8
0.029408,292.8,66.3,2599.0,466.6,3232.7,575.4,350.5,2637.4,3450,221.8,66.9,11
0.031408,297.7,67.2,2625.4,384.7,3289.2,712.9,350.7,2637.7,3453.1,222,67.6,12.1
0.033408,301.7,68.4,2646.1,278.2,3423.4,898.9,351,2638,3457.1,222.2,68.2,13.1
0.035408,305.7,72.4,2651.8,183.9,3637.1,793.0,351.3,2638.4,3461.9,222.4,68.8,14
0.037408,311.6,82.2,2648.1,121.4,3674.1,504.8,351.7,2638.8,3467.5,222.7,69.2,14.7
0.039408,320.4,97.4,2642.6,90.4,3639.9,348.5,352.1,2639.3,3473.8,222.9,69.6,15.4
0.041408,332.7,114.9,2638.2,77.2,3598.0,255.9,352.5,2640,3480.9,223.1,69.9,16
0.043408,344.4,125.9,2636.0,75.5,3573.2,205.0,353,2640.7,3488.5,223.4,70.1,16.5
0.045408,352.6,128.5,2635.7,78.9,3564.6,175.1,353.6,2641.4,3496.8,223.7,70.2,17.2
0.047408,358.4,126.4,2637.0,82.2,3562.5,158.4,354.2,2642.3,3505.6,223.9,70.2,18.1
0.049408,363.6,123.5,2640.4,82.6,3561.0,154.7,354.8,2643.2,3514.8,224.2,70.1,19.2
0.051408,369.9,121.2,2646.3,81.4,3560.5,163.9,355.5,2644.3,3524.4,224.5,70,20.2
0.053408,377.3,119.6,2652.9,80.2,3564.5,184.4,356.2,2645.4,3534.3,224.7,69.8,21.1
0.055408,385.8,118.7,2657.9,79.2,3573.8,207.6,357,2646.6,3544.4,225,69.5,21.5
0.057408,395.6,118.2,2659.9,77.9,3582.6,218.0,357.8,2647.9,3554.7,225.3,69.3,21.5
0.059408,404.4,117.7,2658.6,76.6,3585.0,208.2,358.6,2649.4,3565.1,225.6,69.1,21
0.061408,411.0,117.2,2655.2,75.4,3586.1,190.3,359.5,2650.9,3575.5,225.9,69,20.3
0.063408,414.2,117.8,2650.7,73.9,3591.6,178.9,360.3,2652.5,3585.7,226.2,69,19.8
0.065408,414.9,119.8,2645.4,72.2,3602.1,176.1,361.2,2654.2,3595.9,226.5,69,19.6
0.067408,413.9,123.4,2639.9,70.3,3616.4,178.6,362.1,2656,3605.7,226.8,69.2,20
0.069408,412.0,127.7,2636.2,69.1,3630.5,179.8,363.1,2657.9,3615.3,227.1,69.5,20.6
0.071408,409.4,132.6,2636.2,69.3,3640.9,175.6,364,2659.9,3624.5,227.4,69.8,21.4
0.073408,406.6,136.9,2641.1,70.7,3643.7,169.7,364.9,2662,3633.2,227.7,70.2,22.2
0.075408,404.2,140.0,2650.0,71.6,3641.1,168.5,365.9,2664.2,3641.5,228,70.5,22.8
0.077408,402.6,141.8,2662.2,70.3,3635.4,179.1,366.8,2666.5,3649.1,228.3,70.7,23
0.079408,400.9,142.7,2676.4,66.2,3628.5,207.9,367.7,2668.9,3656.1,228.6,70.9,23.1
0.081408,398.0,144.3,2692.8,59.6,3621.3,259.9,368.6,2671.3,3662.4,229,71.1,23.1
0.083408,395.1,146.2,2708.3,51.4,3619.7,305.3,369.5,2673.8,3667.9,229.3,71.1,23.3
0.085408,393.4,147.2,2720.9,42.6,3627.6,295.7,370.4,2676.4,3672.7,229.6,71.2,23.6
0.087408,392.5,147.8,2730.5,35.0,3639.2,239.8,371.3,2679,3676.7,230,71.1,24.2
0.089408,390.9,149.3,2736.9,30.3,3647.7,190.6,372.1,2681.7,3679.8,230.3,71.1,25
0.091408,388.0,152.3,2741.7,27.5,3655.1,160.0,372.9,2684.5,3682,230.7,71,25.9
0.093408,384.1,155.5,2745.2,26.4,3662.7,148.2,373.6,2687.2,3683.4,231.1,70.9,26.6
0.095408,378.9,158.2,2748.5,26.2,3672.5,151.1,374.4,2690,3683.9,231.4,70.8,27.2
0.097408,372.3,159.9,2751.6,26.8,3685.4,167.0,375,2692.8,3683.4,231.8,70.7,27.4
0.099408,366.2,160.9,2753.5,27.8,3696.9,185.6,375.6,2695.6,3682.1,232.2,70.7,27.5
0.101408,361.7,162.6,2752.9,29.7,3697.9,189.6,376.2,2698.4,3679.9,232.6,70.7,27.4
0.103408,359.9,165.3,2748.8,32.7,3686.2,173.9,376.7,2701.2,3676.8,233.1,70.7,27.4
0.105408,360.0,167.6,2741.3,37.2,3671.6,155.6,377.1,2704,3672.8,233.5,70.8,27.3
0.107408,360.7,168.0,2730.6,44.2,3660.3,147.4,377.5,2706.7,3668.1,233.9,70.9,27.4
0.109408,360.6,166.3,2717.8,54.6,3653.6,154.6,377.8,2709.3,3662.5,234.4,70.9,27.4
0.111408,358.9,163.7,2704.5,69.0,3648.8,181.9,378,2711.9,3656.2,234.9,71,27.5
0.113408,355.5,160.8,2699.1,83.2,3642.8,233.2,378.2,2714.3,3649.2,235.4,71.1,27.5
0.115408,350.5,157.0,2705.5,92.0,3633.0,308.4,378.2,2716.7,3641.5,235.9,71.2,27.5
0.117408,344.9,151.8,2714.9,95.1,3619.1,389.6,378.2,2719,3633.2,236.4,71.2,27.4
