time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025236,195.1,732.4,2498.2,863.5,3255.1,572.5,282,2653,3551,210.5,53.7,-200
0.027236,279.4,340.7,2494.9,865.9,3308.7,549.8,281.4,2653,3551.7,210.1,55.8,-186.5
0.029236,285.9,168.3,2444.2,887.3,3343.6,502.7,280.5,2653.1,3552.7,209.6,57.7,-145.7
0.031236,285.0,101.2,2427.2,940.8,3366.2,493.7,279.1,2653.2,3554.1,209.2,59.3,-94.7
0.033236,285.5,79.2,2501.7,1062.1,3390.0,558.0,277.5,2653.3,3556,208.7,60.8,-43.7
0.035236,287.0,76.0,2719.9,959.4,3515.0,695.0,275.5,2653.6,3558.3,208.3,61.9,-2.6
0.037236,287.5,82.5,2762.3,555.9,3651.2,472.7,273.3,2654,3561,207.8,62.9,19.8
0.039236,284.9,94.6,2732.9,339.9,3672.4,311.7,270.8,2654.6,3564.1,207.4,63.7,27.2
0.041236,278.1,110.9,2709.1,227.6,3674.8,237.4,268.2,2655.3,3567.5,207.1,64.5,25.5
0.043236,269.2,127.3,2696.3,169.8,3670.6,209.5,265.4,2656.3,3571.4,206.7,65.2,19.7
0.045236,260.6,137.8,2693.6,139.0,3661.2,212.8,262.5,2657.5,3575.7,206.4,65.9,14.9
0.047236,254.2,134.7,2701.7,129.8,3653.6,249.9,259.6,2659,3580.4,206.1,66.6,15.1
0.049236,250.2,123.3,2718.2,133.7,3659.7,316.3,256.7,2660.9,3585.5,205.9,67.2,16.6
0.051236,248.8,115.4,2737.5,136.8,3685.0,388.9,254,2663.1,3590.9,205.7,67.9,18.3
0.053236,249.9,114.9,2751.0,129.8,3716.2,435.1,251.3,2665.8,3596.7,205.5,68.5,20
0.055236,252.6,118.2,2754.3,117.4,3732.1,438.5,248.9,2668.9,3602.9,205.4,69.1,21.5
0.057236,254.9,120.3,2749.1,110.5,3722.0,395.9,246.7,2672.4,3609.4,205.3,69.7,22.5
0.059236,255.3,117.3,2741.4,114.5,3708.4,334.5,244.9,2676.4,3616.2,205.3,70.2,23.1
0.061236,253.6,108.5,2737.6,131.3,3713.2,292.1,243.4,2680.8,3623.4,205.3,70.7,23.5
0.063236,251.5,98.4,2741.8,157.4,3734.3,279.5,242.3,2685.7,3630.9,205.4,71.2,23.8
0.065236,250.1,91.0,2752.5,183.6,3761.1,285.2,241.7,2691.1,3638.6,205.5,71.7,24.2
0.067236,249.9,89.3,2760.2,195.3,3779.6,296.2,241.5,2697,3646.6,205.7,72.1,24.6
0.069236,250.9,92.2,2759.7,188.7,3782.3,303.3,241.9,2703.2,3654.9,205.9,72.5,25.1
0.071236,252.7,97.9,2755.0,169.3,3768.1,303.0,242.9,2709.9,3663.4,206.1,72.9,25.7
0.073236,255.0,103.7,2751.7,147.5,3743.8,293.8,244.3,2716.8,3672.1,206.3,73.2,26.2
0.075236,257.1,108.1,2751.1,131.1,3717.5,278.2,246.4,2724.1,3680.9,206.6,73.5,26.5
0.077236,257.9,109.8,2752.6,128.8,3696.9,266.3,249.1,2731.6,3689.9,207,73.8,26.5
0.079236,257.2,108.9,2755.2,145.5,3678.6,264.1,252.3,2739.3,3699,207.3,74.1,26.2
0.081236,256.2,106.7,2756.8,182.5,3655.2,270.1,256.1,2747,3708.1,207.7,74.3,25.8
0.083236,255.7,104.2,2755.8,229.4,3630.7,280.4,260.4,2754.8,3717.3,208,74.5,25.2
0.085236,255.8,101.8,2754.8,266.4,3613.7,292.6,265.3,2762.5,3726.6,208.4,74.7,24.7
0.087236,256.6,100.8,2756.0,268.1,3609.7,298.3,270.6,2770.1,3735.8,208.8,74.8,24.3
0.089236,259.0,102.1,2757.8,235.6,3615.1,288.0,276.5,2777.4,3744.9,209.3,74.9,23.9
0.091236,263.6,106.1,2757.4,187.9,3619.4,263.2,282.7,2784.3,3753.9,209.7,75,23.5
0.093236,270.8,112.8,2754.7,144.3,3616.2,238.6,289.4,2790.9,3762.8,210.2,75,23.1
0.095236,281.1,121.3,2752.5,109.0,3609.2,227.2,296.3,2796.9,3771.5,210.6,74.9,22.8
0.097236,292.6,127.4,2753.8,85.2,3610.7,241.3,303.6,2802.4,3780,211.1,74.8,22.5
0.099236,302.6,130.0,2758.6,70.2,3637.2,287.3,311,2807.2,3788.2,211.5,74.6,22.3
0.101236,311.6,131.1,2764.5,60.3,3700.9,354.1,318.6,2811.3,3796.1,212,74.4,22.2
0.103236,321.3,131.6,2769.5,53.5,3784.1,403.6,326.3,2814.5,3803.7,212.5,74.1,22.1
0.105236,332.6,131.1,2774.2,49.4,3856.9,425.2,334,2817,3810.9,213,73.7,22.1
0.107236,343.7,130.8,2778.7,48.7,3896.5,446.0,341.7,2818.5,3817.6,213.4,73.3,22.1
0.109236,353.0,132.5,2782.2,51.1,3911.0,485.4,349.4,2819.2,3824,213.9,72.9,22.5
0.111236,360.1,136.8,2784.1,56.4,3910.4,525.0,356.8,2818.9,3829.8,214.4,72.4,22.9
0.113236,365.5,141.2,2784.1,63.4,3893.3,541.5,364.1,2817.7,3835.1,214.8,71.8,23.3
0.115236,371.7,144.0,2782.1,71.3,3860.3,539.0,371.1,2815.5,3839.8,215.3,71.2,23.3
0.117236,379.9,144.4,2778.8,77.6,3832.6,519.3,377.8,2812.5,3844,215.8,70.5,22.9
0.119236,390.4,142.6,2775.6,80.6,3830.3,473.9,384.2,2808.6,3847.5,216.2,69.7,22
0.121236,401.7,138.5,2773.3,82.2,3850.2,397.6,390.2,2803.9,3850.4,216.7,69,20.9
0.123236,410.8,133.4,2771.1,87.3,3869.9,319.2,395.7,2798.5,3852.6,217.1,68.3,19.6
0.125236,417.1,128.0,2767.5,101.2,3881.5,263.0,400.8,2792.4,3854.1,217.5,67.6,18.4
0.127236,420.8,123.5,2761.3,124.9,3886.2,236.4,405.4,2785.8,3854.9,218,67.1,17.3
0.129236,423.1,121.1,2751.1,153.8,3884.0,234.7,409.6,2778.6,3854.9,218.4,66.8,16.2
0.131236,423.8,121.2,2738.0,175.6,3873.0,256.1,413.2,2771.2,3854.2,218.8,66.7,15
0.133236,422.4,123.9,2729.4,179.7,3852.4,299.6,416.3,2763.5,3852.8,219.2,66.9,14
0.135236,419.2,128.9,2735.5,165.3,3838.5,340.1,419,2755.7,3850.5,219.6,67.2,13.7
0.137236,415.6,135.3,2752.5,141.3,3854.8,336.6,421.1,2748,3847.6,220,67.6,14.1
0.139236,414.5,140.8,2767.6,119.0,3883.4,303.0,422.8,2740.4,3843.8,220.4,68,15.4
0.141236,416.5,142.7,2775.4,107.2,3900.2,295.3,423.9,2733.1,3839.2,220.8,68.4,17.3
0.143236,418.5,141.9,2777.5,105.5,3902.7,329.0,424.7,2726.3,3833.9,221.1,68.8,19.4
0.145236,418.7,141.7,2774.9,108.9,3895.5,398.3,425.1,2720,3827.8,221.5,69.1,21.2
0.147236,416.7,144.2,2767.8,110.9,3887.0,482.3,425,2714.4,3820.9,221.9,69.4,22.4
0.149236,413.7,148.5,2759.2,108.6,3885.4,563.0,424.7,2709.6,3813.3,222.2,69.6,23.4
0.151236,410.9,152.6,2753.0,104.2,3887.7,652.2,424,2705.8,3804.9,222.6,69.8,24.3
0.153236,409.8,154.0,2748.6,102.3,3871.8,793.8,423.1,2702.9,3795.9,222.9,69.9,24.9
0.155236,411.7,151.7,2742.0,106.1,3772.8,965.8,422,2701.2,3786.1,223.2,70,25.3
0.157236,416.4,145.3,2730.7,114.2,3650.9,960.3,420.8,2700.6,3775.6,223.5,70.1,25.5
0.159236,422.3,135.8,2717.3,120.4,3597.3,838.1,419.4,2701.3,3764.4,223.8,70.2,25.1
0.161236,426.8,125.7,2711.2,121.3,3606.2,697.8,418,2703.1,3752.6,224.1,70.3,24.5
0.163236,427.9,120.2,2721.9,121.2,3646.5,602.0,416.5,2706.2,3740.2,224.4,70.5,23.9
0.165236,425.7,119.5,2748.5,121.7,3699.3,551.2,415.1,2710.6,3727.1,224.7,70.7,23.6
0.167236,422.0,120.1,2777.2,120.8,3743.9,520.0,413.7,2716.2,3713.5,225,70.9,23.8
0.169236,418.7,118.9,2797.4,121.4,3755.0,501.7,412.4,2722.9,3699.4,225.2,71.2,24.4
0.171236,416.5,115.4,2807.7,128.1,3725.1,503.3,411.2,2730.7,3684.7,225.5,71.4,25.3
