time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025880,437.2,37.7,2067.9,32.8,2992.9,169.9,438.3,2073.8,3000.5,213.5,75.8,9.6
0.027880,438.6,36.8,2075.4,38.3,3014.3,146.7,438.7,2075.6,3003.2,213.3,76.6,10.8
0.029880,440.3,38.4,2081.6,45.9,3016.0,129.6,439.5,2078.4,3007.1,213.1,77.2,11.2
0.031880,442.2,42.4,2086.6,53.2,3010.2,119.8,440.8,2081.9,3011.9,212.9,77.6,11.3
0.033880,443.2,49.5,2090.9,55.5,3008.4,113.5,443,2085.6,3016.7,212.7,77.9,11.3
0.035880,443.4,61.0,2093.7,50.3,3013.5,108.6,446.4,2089.2,3020.7,212.5,78.1,11.3
0.037880,445.1,77.6,2094.0,40.4,3021.5,104.6,451,2092.3,3023.1,212.3,78.2,11.7
0.039880,452.2,98.1,2092.5,30.7,3026.5,103.1,457.1,2094.5,3023.2,212.1,78.3,12.5
0.041880,464.4,114.4,2090.3,24.1,3024.0,106.6,464.6,2095.5,3020.4,211.9,78.4,13.6
0.043880,478.2,123.6,2088.2,20.1,3013.9,116.8,473.6,2095.4,3014.3,211.7,78.6,14.8
0.045880,491.3,127.6,2086.8,18.0,2999.6,134.0,483.8,2094.1,3004.7,211.5,78.7,16
0.047880,503.9,128.6,2086.0,17.1,2986.3,159.5,494.9,2091.8,2991.9,211.3,78.8,17.2
0.049880,514.4,127.9,2085.7,17.1,2977.8,191.2,506.4,2088.9,2976.1,211.2,79,18.2
0.051880,522.5,126.4,2085.7,18.1,2968.9,224.8,518,2085.7,2957.9,211,79.1,19.3
0.053880,528.8,122.8,2085.7,19.6,2949.8,238.9,529.2,2082.6,2938.1,210.9,79.3,20.3
0.055880,534.5,115.6,2085.5,21.3,2919.3,215.1,539.5,2080.1,2917.4,210.7,79.4,21.2
0.057880,540.4,107.6,2085.4,22.8,2890.3,175.0,548.6,2078.5,2896.7,210.6,79.6,21.9
0.059880,546.3,101.4,2086.1,24.2,2869.7,150.2,556.2,2078.1,2876.9,210.5,79.7,22.4
0.061880,552.6,95.3,2087.0,25.4,2853.2,142.2,562.2,2078.7,2858.5,210.4,79.8,22.7
0.063880,559.6,88.4,2087.2,25.8,2838.5,146.9,566.7,2080.5,2842.1,210.3,79.9,22.8
0.065880,566.7,80.8,2085.6,25.4,2824.4,161.3,569.9,2083.1,2828,210.2,80,22.9
0.067880,572.9,74.2,2083.1,24.9,2812.3,185.2,572,2086,2816.3,210.2,80.1,23
0.069880,577.9,69.6,2081.1,25.3,2805.2,219.7,573.5,2088.8,2806.9,210.1,80.1,23
0.071880,581.4,66.8,2080.7,26.8,2804.7,259.9,574.7,2090.7,2799.5,210,80.2,23.1
0.073880,584.1,64.7,2081.2,29.4,2806.6,306.1,576.1,2091.2,2793.6,210,80.2,23.1
0.075880,586.6,62.8,2081.1,32.6,2805.7,352.7,577.9,2089.7,2788.8,209.9,80.3,23.1
0.077880,588.9,60.5,2079.4,36.0,2796.6,378.9,580.4,2085.7,2784.5,209.8,80.3,23.3
0.079880,590.3,57.4,2076.4,39.9,2780.4,360.4,583.7,2078.9,2780.3,209.7,80.3,23.8
0.081880,591.1,54.0,2071.8,45.2,2763.0,306.8,587.5,2069.3,2775.9,209.7,80.2,24.4
0.083880,591.4,51.8,2064.4,52.7,2750.2,248.4,591.5,2056.8,2770.9,209.6,80.2,25.1
0.085880,591.3,52.1,2051.9,61.5,2744.0,204.9,595.3,2042,2765.3,209.5,80.1,25.7
0.087880,590.9,54.7,2034.1,69.4,2744.8,177.8,598.3,2025.2,2759.2,209.4,80,26.1
0.089880,589.7,57.9,2014.9,75.5,2750.6,164.4,599.8,2007.2,2752.7,209.3,79.9,26.3
0.091880,587.8,60.4,1993.9,80.6,2757.8,156.8,599.2,1988.8,2746.2,209.1,79.7,26.6
0.093880,584.7,62.1,1971.3,81.5,2761.9,149.4,595.9,1970.7,2740,209,79.6,26.6
0.095880,580.3,63.4,1951.2,74.1,2758.4,139.8,589.4,1953.7,2734.6,208.9,79.4,26.5
0.097880,574.2,64.7,1935.8,60.8,2745.7,128.3,579.6,1938.5,2730.2,208.7,79.2,26
0.099880,566.7,66.0,1923.4,49.0,2731.6,119.1,566.5,1925.5,2727.2,208.5,79,25.2
0.101880,557.0,68.3,1911.7,40.4,2721.8,115.7,550.3,1915.2,2725.6,208.4,78.7,24
0.103880,544.4,73.1,1901.9,34.8,2716.7,119.1,531.7,1907.4,2725.5,208.2,78.4,22.6
0.105880,527.9,81.6,1895.3,31.7,2713.1,125.6,511.4,1902.3,2726.8,208,78.1,21.1
0.107880,506.4,94.1,1892.1,30.9,2710.2,131.0,490.5,1899.4,2729.1,207.8,77.9,19.8
0.109880,483.8,106.0,1891.9,32.7,2712.6,135.3,470,1898.2,2732.2,207.6,77.7,18.3
0.111880,463.5,114.2,1894.2,38.1,2722.5,143.1,451.3,1898.4,2735.5,207.4,77.5,16.6
0.113880,446.5,118.8,1899.3,49.4,2736.3,156.4,435.3,1899.2,2738.7,207.2,77.5,15
0.115880,427.6,122.7,1906.2,68.6,2748.1,174.7,423.2,1900.3,2741.3,207,77.6,13.8
0.117880,401.0,129.2,1910.8,95.1,2756.9,195.5,415.5,1901.1,2743,206.8,77.7,13.3
0.119880,367.8,138.5,1908.8,121.6,2765.9,210.8,412.9,1901.4,2743.6,206.6,77.9,14.6
