time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025551,465.6,63.6,2352.0,55.1,3298.5,197.6,476.9,2357,3299,182.6,79.2,9.8
0.027551,475.9,70.5,2352.6,56.8,3300.7,198.1,480,2356.4,3300.2,182.8,79.5,9.7
0.029551,485.7,77.2,2353.3,57.5,3305.0,200.5,485,2355.8,3301.9,183.1,79.7,9.8
0.031551,495.6,84.0,2354.4,57.2,3308.3,204.4,491.8,2355.3,3303.8,183.4,79.9,9.9
0.033551,505.6,91.0,2356.2,57.0,3308.0,209.4,500.2,2355.4,3305.5,183.7,80.1,10.1
0.035551,515.4,99.1,2359.0,58.1,3304.3,215.8,510,2356.6,3306.5,184,80.2,10.3
0.037551,525.6,109.7,2363.1,61.3,3299.9,225.0,520.7,2359.1,3306.3,184.3,80.3,10.5
0.039551,535.5,121.8,2368.4,66.3,3297.5,238.1,532,2363.1,3304.5,184.7,80.3,10.7
0.041551,545.3,134.8,2375.0,73.0,3296.6,256.3,543.7,2368.7,3300.9,185,80.4,10.9
0.043551,555.1,147.1,2381.8,81.4,3294.4,276.8,555.4,2375.5,3295.1,185.4,80.4,11.1
0.045551,564.9,157.4,2388.0,91.0,3288.9,291.9,566.7,2383.3,3287.2,185.8,80.4,11.3
0.047551,574.9,166.0,2393.4,102.0,3280.2,297.6,577.4,2391.4,3277.3,186.2,80.4,11.2
0.049551,584.2,171.7,2397.4,111.2,3270.2,297.4,587.2,2399.2,3265.8,186.6,80.5,11
0.051551,592.9,174.0,2400.0,116.4,3258.5,296.8,596,2406.1,3252.9,187,80.5,10.7
0.053551,600.8,173.0,2401.7,117.5,3244.1,297.8,603.6,2411.2,3239.2,187.5,80.6,10.3
0.055551,607.9,170.0,2403.3,117.7,3227.6,299.1,610.1,2414.2,3225.2,187.9,80.7,9.8
0.057551,614.1,166.3,2405.3,120.9,3209.9,300.9,615.4,2414.6,3211.4,188.4,80.7,9.4
0.059551,619.2,163.2,2406.6,129.4,3193.6,302.7,619.7,2412.4,3198.3,188.8,80.8,9
0.061551,623.4,160.4,2405.9,142.8,3180.4,301.9,623,2407.7,3186.3,189.3,80.8,8.4
0.063551,626.8,158.2,2403.4,159.0,3171.9,297.4,625.8,2400.9,3175.8,189.7,80.9,7.9
0.065551,629.8,157.6,2400.1,175.2,3166.2,291.9,628,2392.3,3166.8,190.2,81,7.6
0.067551,632.8,158.9,2395.8,189.7,3160.3,286.5,629.9,2382.8,3159.6,190.6,81.1,7.5
0.069551,635.5,160.6,2389.0,200.7,3154.4,279.3,631.7,2373,3154,191.1,81.2,7.8
0.071551,637.6,160.6,2377.5,208.3,3150.3,268.7,633.4,2363.4,3149.9,191.5,81.3,8.4
0.073551,638.8,157.7,2361.2,212.5,3148.5,257.3,635.3,2354.7,3147.1,191.9,81.3,9.2
0.075551,639.3,153.0,2344.2,212.8,3147.7,249.9,637.2,2347.1,3145.3,192.3,81.4,9.9
0.077551,639.2,148.3,2330.9,207.9,3146.4,250.0,639.1,2340.8,3144.4,192.7,81.5,10.6
0.079551,638.5,144.9,2323.5,198.9,3144.7,257.4,640.9,2335.7,3144,193.1,81.6,11.2
0.081551,637.7,142.5,2319.2,188.3,3143.5,267.6,642.6,2331.4,3143.9,193.5,81.7,11.8
0.083551,637.2,141.0,2315.7,178.8,3143.5,275.3,643.9,2327.6,3144,193.9,81.7,12.4
0.085551,637.3,140.8,2313.1,172.9,3144.1,279.5,644.6,2323.7,3144.1,194.2,81.8,12.8
0.087551,638.4,143.3,2312.7,171.9,3144.6,284.1,644.8,2319.2,3144.1,194.5,81.8,13.2
0.089551,640.5,149.7,2314.2,175.3,3144.5,291.9,644.3,2313.7,3144.1,194.8,81.7,13.3
0.091551,643.2,160.3,2314.9,179.9,3143.9,300.0,643.1,2306.9,3143.9,195.1,81.7,13.2
0.093551,645.7,173.0,2311.4,182.3,3142.3,302.4,641.2,2298.7,3143.6,195.4,81.6,13.1
0.095551,647.1,184.5,2303.4,181.3,3140.2,296.5,638.8,2289.4,3143.3,195.7,81.5,13
0.097551,646.9,192.3,2292.3,176.8,3139.7,281.6,636,2279.3,3142.9,195.9,81.3,13
0.099551,644.6,195.2,2280.2,169.6,3141.7,260.6,633.1,2269,3142.6,196.1,81.1,13.3
0.101551,640.0,193.7,2267.0,159.4,3144.5,236.5,630.3,2259.2,3142.3,196.3,80.9,13.8
0.103551,633.2,188.4,2253.5,147.1,3146.0,213.7,627.8,2250.5,3142,196.5,80.7,14.2
0.105551,624.7,180.3,2240.4,134.8,3145.2,194.1,625.8,2243.8,3141.9,196.7,80.4,14.4
0.107551,614.8,170.6,2227.6,124.2,3142.1,176.9,624.5,2239.5,3141.8,196.9,80,13.9
0.109551,603.8,160.7,2215.5,117.1,3137.8,161.8,624.1,2238,3141.7,197,79.6,11.9
