time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025698,425.2,50.9,2231.8,133.4,3020.4,135.2,427.3,2293.2,3025.8,209.3,75.5,13.8
0.027698,429.3,53.5,2254.0,147.1,3021.8,146.1,427.3,2297.6,3025.9,209.4,75.9,11.4
0.029698,431.3,57.3,2288.2,164.4,3025.5,171.1,427.4,2304.8,3026.1,209.5,76.2,11
0.031698,432.0,61.2,2328.9,180.0,3027.3,206.2,427.5,2314.6,3026.4,209.6,76.5,11.2
0.033698,431.7,65.9,2366.5,193.2,3025.7,246.1,427.7,2326.6,3026.7,209.8,76.7,12
0.035698,431.1,72.6,2392.7,205.3,3021.6,277.7,428.1,2340.5,3027.3,209.9,76.9,13
0.037698,430.2,81.8,2405.4,215.2,3018.0,290.5,428.7,2355.8,3027.9,210.1,77,13.9
0.039698,429.4,94.0,2409.8,225.5,3012.6,296.4,429.6,2372.1,3028.8,210.3,77.1,15.1
0.041698,430.0,107.2,2411.8,240.0,3003.0,315.0,430.9,2388.8,3029.8,210.6,77.2,16.6
0.043698,433.0,120.2,2417.0,253.8,2997.8,354.5,432.5,2405.4,3031.1,210.9,77.4,18.1
0.045698,436.8,131.6,2421.9,252.1,3013.0,392.9,434.7,2421.4,3032.6,211.2,77.5,19.4
0.047698,439.8,138.6,2418.7,236.8,3044.0,386.6,437.4,2436.2,3034.4,211.5,77.6,20.3
0.049698,441.5,140.3,2410.2,222.2,3068.6,333.9,440.6,2449.3,3036.4,211.8,77.8,20.6
0.051698,442.1,137.9,2407.1,216.8,3074.3,279.6,444.4,2460.4,3038.8,212.2,77.9,20.6
0.053698,442.9,133.6,2416.1,219.6,3068.3,251.7,448.9,2469,3041.5,212.6,78,20.2
0.055698,444.9,128.6,2433.8,225.1,3062.1,246.5,453.9,2474.7,3044.5,213.1,78.2,19.8
0.057698,448.4,123.6,2451.7,229.5,3065.0,247.5,459.5,2477.4,3047.7,213.5,78.3,19.5
0.059698,453.7,119.5,2466.8,234.7,3079.0,242.0,465.7,2476.8,3051.2,214,78.3,19.2
0.061698,460.6,115.7,2477.7,246.0,3094.6,230.0,472.3,2472.9,3055,214.5,78.3,19
0.063698,469.5,110.9,2487.4,271.0,3102.2,222.5,479.4,2465.7,3058.9,215.1,78.3,18.6
0.065698,480.5,104.9,2498.4,313.8,3097.7,225.5,486.8,2455.3,3063.1,215.7,78.2,18.3
0.067698,492.5,99.2,2503.8,362.8,3081.9,227.9,494.4,2441.9,3067.3,216.2,78,17.8
0.069698,505.5,93.9,2490.2,402.7,3061.7,209.3,502.1,2425.6,3071.6,216.8,77.8,17.3
0.071698,518.2,89.2,2458.3,429.8,3048.7,173.4,509.9,2406.9,3075.8,217.5,77.5,16.7
0.073698,529.3,85.1,2415.0,459.7,3043.4,137.9,517.6,2386,3080,218.1,77.2,16.1
0.075698,538.6,81.8,2361.1,485.1,3043.4,110.2,525.1,2363.5,3084,218.7,76.8,15.5
0.077698,545.5,79.0,2306.7,477.2,3046.4,93.0,532.3,2339.7,3087.7,219.4,76.4,14.9
0.079698,551.5,76.3,2265.6,428.0,3049.3,85.7,539.2,2315.1,3091.2,220.1,76,14.3
0.081698,556.5,75.2,2248.2,369.7,3051.1,88.3,545.5,2290.2,3094.2,220.7,75.5,13.8
0.083698,559.9,76.7,2243.6,332.1,3054.9,98.8,551.4,2265.5,3096.8,221.4,75.1,13.2
0.085698,561.3,78.7,2237.6,318.0,3064.0,115.6,556.7,2241.3,3098.8,222.1,74.8,12.7
0.087698,562.1,77.9,2222.1,313.6,3076.8,136.3,561.4,2218.1,3100.3,222.8,74.4,12.3
0.089698,563.7,74.8,2197.2,308.0,3090.6,164.9,565.5,2196.3,3101.1,223.5,74.2,12
0.091698,565.7,71.8,2170.8,302.3,3103.4,208.6,569,2176.1,3101.2,224.2,74.1,11.8
0.093698,567.3,70.3,2146.4,300.8,3117.3,271.6,571.9,2157.7,3100.6,224.9,74,11.6
0.095698,568.5,70.2,2122.9,302.9,3135.5,335.8,574.4,2141.5,3099.2,225.5,74.1,11.5
0.097698,570.1,70.7,2101.7,304.7,3152.2,375.6,576.4,2127.4,3097.2,226.2,74.1,11.6
0.099698,572.3,71.3,2091.4,307.0,3158.0,404.2,578,2115.6,3094.4,226.9,74.2,12
0.101698,574.6,72.4,2097.7,312.6,3146.7,443.5,579.3,2106,3090.8,227.6,74.3,12.6
0.103698,576.0,74.1,2112.9,313.4,3117.8,463.9,580.5,2098.5,3086.7,228.3,74.4,13.3
0.105698,576.3,75.9,2118.5,293.0,3090.2,438.4,581.6,2093.1,3081.9,228.9,74.5,14
0.107698,576.2,77.6,2111.2,254.4,3077.0,408.6,582.7,2089.5,3076.6,229.6,74.6,14.6
0.109698,576.4,79.4,2102.0,212.5,3070.9,409.2,583.9,2087.5,3070.8,230.2,74.6,15.2
0.111698,577.3,81.8,2100.5,183.7,3058.6,434.1,585.3,2087,3064.8,230.9,74.5,15.7
0.113698,579.4,84.3,2104.6,170.7,3033.6,435.5,587,2087.5,3058.4,231.5,74.3,16.3
0.115698,583.4,85.3,2107.8,167.1,3012.2,393.2,589,2088.9,3052,232.1,74.1,16.7
0.117698,589.2,84.5,2107.4,167.8,3007.5,346.2,591.3,2090.9,3045.6,232.7,73.9,17
0.119698,596.6,82.3,2104.5,167.6,3016.3,315.1,593.9,2093.3,3039.3,233.3,73.6,17.1
0.121698,604.2,79.2,2102.1,160.0,3031.5,303.1,597,2095.8,3033.3,233.9,73.4,17
0.123698,611.0,76.2,2101.9,145.9,3044.6,304.0,600.3,2098.2,3027.7,234.5,73.2,16.9
0.125698,616.2,74.3,2102.3,134.3,3049.3,310.4,603.9,2100.4,3022.6,235,73.1,16.8
0.127698,619.0,74.5,2101.2,132.2,3046.5,314.3,607.7,2102.2,3018.2,235.5,73,16.9
0.129698,619.8,76.6,2097.9,139.0,3042.4,305.2,611.6,2103.5,3014.6,236.1,73,17.3
0.131698,619.9,79.6,2092.6,149.0,3038.3,277.2,615.5,2104.3,3012,236.6,73.1,17.7
0.133698,620.7,81.8,2088.1,155.8,3030.3,242.1,619.2,2104.6,3010.3,237,73.2,18.3
0.135698,622.5,82.5,2087.1,161.2,3015.7,217.1,622.6,2104.4,3009.6,237.5,73.4,18.9
0.137698,625.0,81.9,2089.6,170.0,2996.7,208.9,625.6,2103.8,3010.2,237.9,73.6,19.5
0.139698,628.4,79.2,2092.7,183.3,2975.9,214.4,628.1,2102.9,3011.9,238.4,73.8,20.2
0.141698,631.8,74.7,2093.2,197.9,2959.3,229.8,629.9,2101.8,3014.8,238.8,73.9,21
