time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025469,417.0,46.7,1678.0,137.0,2820.5,94.0,412.4,1681.8,2818.2,198.2,74.5,23
0.027469,419.2,43.9,1677.6,124.4,2824.4,91.4,415.4,1678.3,2819.6,198.1,75.8,25
0.029469,423.3,42.3,1675.4,118.7,2829.1,89.7,420.4,1672.7,2821.9,198,77,20.4
0.031469,429.0,41.6,1670.9,117.0,2833.1,89.1,427.3,1665.1,2824.8,197.9,78,14.1
0.033469,435.3,41.8,1663.4,117.5,2834.4,89.9,435.8,1655.9,2828.2,197.7,78.7,11.1
0.035469,442.4,42.8,1652.1,119.1,2832.5,92.5,445.8,1645.5,2831.7,197.6,79.3,11.3
0.037469,450.9,44.2,1636.7,120.8,2828.2,97.4,457.1,1634.1,2835.1,197.4,79.8,11.5
0.039469,461.3,45.5,1619.2,121.6,2823.7,105.4,469.4,1622.4,2838.1,197.3,80.1,11.6
0.041469,474.9,46.2,1601.2,120.8,2821.4,118.7,482.4,1610.6,2840.5,197.1,80.3,11.7
0.043469,491.5,45.3,1586.4,116.6,2823.5,136.6,495.7,1599.2,2841.9,196.9,80.5,11.9
0.045469,509.6,42.0,1576.5,108.0,2831.1,154.3,509.1,1588.5,2842.2,196.7,80.7,12.2
0.047469,527.0,36.9,1570.9,95.4,2841.6,164.5,522.1,1578.8,2841.4,196.5,81,12.5
0.049469,541.2,31.6,1568.0,82.5,2848.9,164.8,534.5,1570.2,2839.3,196.2,81.3,12.9
0.051469,553.0,27.0,1566.2,71.0,2849.9,157.5,546,1563,2835.9,196,81.7,13.3
0.053469,561.8,23.7,1564.3,62.7,2845.3,145.5,556.2,1557,2831.4,195.8,82.2,13.8
0.055469,568.3,21.3,1561.4,57.0,2837.6,131.6,565.1,1552.3,2826,195.5,82.7,14.5
0.057469,572.9,19.5,1557.8,53.0,2828.6,118.4,572.4,1548.7,2819.7,195.3,83.3,15.3
0.059469,576.3,18.3,1554.5,50.3,2819.4,108.2,578.1,1546,2812.8,195,83.8,16.1
0.061469,579.1,17.1,1551.2,48.3,2809.1,100.5,582.2,1543.9,2805.5,194.7,84.2,16.8
0.063469,581.1,16.0,1547.3,46.8,2797.6,96.1,584.7,1542.1,2798.1,194.4,84.7,17.3
0.065469,582.5,15.0,1542.3,45.7,2785.6,94.1,585.9,1540.2,2790.9,194.1,85.1,17.5
0.067469,583.1,14.2,1536.3,45.4,2775.1,92.2,585.9,1537.9,2783.9,193.8,85.5,17.6
0.069469,583.2,13.9,1530.2,46.2,2768.3,88.4,585,1534.9,2777.4,193.5,85.9,17.5
0.071469,582.6,13.9,1523.6,47.9,2763.9,82.0,583.3,1531,2771.6,193.2,86.3,17.4
0.073469,581.4,13.8,1516.4,49.5,2760.2,75.4,581.3,1525.9,2766.5,192.9,86.6,17.5
0.075469,579.8,13.4,1508.6,50.3,2756.2,70.9,579,1519.4,2762.1,192.6,87,17.5
0.077469,578.0,12.6,1500.3,49.8,2752.5,69.7,576.9,1511.5,2758.5,192.3,87.3,17.5
0.079469,576.2,11.7,1492.9,47.8,2751.0,71.3,574.9,1502.1,2755.6,192,87.6,17.5
0.081469,574.6,10.7,1486.5,44.8,2752.5,75.9,573.3,1491.4,2753.4,191.7,87.9,17.7
0.083469,573.6,10.0,1480.9,42.6,2756.2,83.9,572.1,1479.6,2751.8,191.4,88.1,18.2
0.085469,572.9,9.6,1474.9,42.4,2759.7,96.4,571.3,1466.7,2750.6,191.1,88.3,19.1
0.087469,572.4,9.4,1467.4,44.7,2761.3,113.5,570.8,1453,2749.9,190.8,88.5,20.3
0.089469,571.7,9.4,1457.2,49.1,2761.0,133.3,570.6,1439,2749.5,190.5,88.7,21.6
0.091469,570.9,9.6,1442.1,55.1,2759.6,154.5,570.4,1424.7,2749.4,190.2,88.8,22.8
0.093469,569.7,9.9,1422.1,61.2,2757.6,171.9,570.1,1410.6,2749.4,189.9,88.8,23.5
0.095469,568.3,10.3,1399.1,65.9,2754.2,179.9,569.6,1396.9,2749.5,189.6,88.8,23.7
0.097469,566.8,10.8,1376.8,67.8,2748.6,176.1,568.8,1383.8,2749.7,189.4,88.7,23.5
0.099469,565.2,11.2,1359.2,67.1,2742.2,166.5,567.5,1371.7,2749.9,189.1,88.6,23.1
0.101469,563.4,11.6,1346.3,65.1,2736.6,158.7,565.6,1360.6,2750.1,188.9,88.4,22.7
0.103469,561.6,12.1,1338.1,62.9,2733.9,157.3,563.3,1350.6,2750.2,188.6,88.2,22.3
0.105469,559.7,12.6,1332.9,60.8,2736.0,160.6,560.5,1341.9,2750.4,188.4,87.9,22
0.107469,557.9,13.0,1329.3,58.7,2742.7,165.0,557.4,1334.4,2750.6,188.1,87.5,21.8
0.109469,556.0,13.3,1326.6,57.0,2750.6,170.0,554.2,1328.1,2750.7,187.9,87.1,21.5
0.111469,554.0,13.8,1324.3,56.0,2757.1,178.8,551,1322.9,2750.8,187.7,86.5,21.1
0.113469,551.8,14.6,1322.9,56.0,2760.2,196.0,547.9,1318.9,2750.9,187.5,85.9,20.2
0.115469,549.2,15.8,1321.9,56.9,2760.8,228.1,545.4,1315.8,2750.9,187.3,85.2,19
0.117469,545.7,18.0,1320.3,58.5,2758.7,282.2,543.4,1313.7,2751,187.2,84.3,17.4
0.119469,540.9,21.3,1317.3,60.9,2753.3,358.6,542.1,1312.5,2751,187,83.3,15.6
0.121469,533.3,26.8,1311.9,63.8,2744.0,466.9,541.7,1312.1,2751,186.9,82.2,13.7
