time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025946,460.2,53.7,2431.9,158.4,3318.1,385.3,499.5,2451.4,3279.5,195.8,78.4,18.6
0.027946,464.7,66.6,2426.8,154.5,3318.2,379.5,501.2,2448.9,3276.2,195.2,79.1,19.2
0.029946,475.2,83.1,2420.8,153.4,3318.9,396.6,504.1,2444.7,3270.8,194.6,79.5,13.3
0.031946,495.1,98.5,2415.3,156.7,3310.5,418.7,508,2438.9,3263.4,194,79.7,5.9
0.033946,520.7,103.0,2409.4,168.1,3280.4,440.7,513,2431.6,3254.1,193.3,80,2.4
0.035946,544.4,94.6,2400.6,184.7,3223.4,442.9,518.9,2422.9,3243.2,192.6,80.3,3.1
0.037946,561.6,80.7,2392.2,196.5,3172.2,407.7,525.8,2412.8,3230.7,191.8,80.8,4.3
0.039946,571.8,67.7,2390.5,202.1,3148.7,378.8,533.5,2401.6,3217,191,81.4,5.8
0.041946,577.4,56.5,2395.2,210.0,3142.2,374.0,541.9,2389.4,3202.3,190.1,82.1,7.1
0.043946,580.3,48.7,2401.0,227.2,3142.2,385.1,551,2376.2,3186.9,189.2,82.8,8
0.045946,582.0,44.2,2400.4,252.8,3140.1,393.9,560.6,2362.4,3171,188.2,83.4,8.3
0.047946,583.5,42.2,2389.3,276.7,3134.3,388.4,570.7,2347.9,3154.9,187.3,84,8.2
0.049946,584.3,41.6,2372.7,288.3,3129.0,374.6,581.2,2333.1,3138.9,186.2,84.3,7.9
0.051946,583.9,42.1,2355.0,291.6,3124.8,363.8,591.9,2318,3123.2,185.2,84.5,7.5
0.053946,582.7,44.6,2337.2,297.3,3119.5,362.3,602.7,2302.8,3108.1,184.1,84.5,7.2
0.055946,582.5,49.7,2317.9,313.2,3111.5,370.0,613.6,2287.7,3093.9,183,84.3,6.8
0.057946,586.4,58.3,2296.7,340.2,3102.6,387.1,624.4,2272.8,3080.6,181.9,83.9,6.2
0.059946,596.6,70.4,2276.1,373.4,3096.6,416.2,635,2258.2,3068.5,180.8,83.4,5.7
0.061946,615.6,85.5,2257.7,411.3,3092.9,460.4,645.5,2244.1,3057.7,179.7,82.8,5.2
0.063946,641.2,98.7,2243.3,454.0,3082.0,511.2,655.7,2230.5,3048.4,178.6,82.1,4.8
0.065946,667.4,108.5,2229.8,506.4,3053.3,548.6,665.5,2217.5,3040.4,177.5,81.5,4.4
0.067946,689.5,119.9,2214.1,568.1,3020.1,542.1,674.8,2205.3,3034,176.4,80.9,4.1
0.069946,707.3,137.4,2194.4,626.7,3008.0,492.9,683.8,2193.8,3028.9,175.4,80.4,3.9
0.071946,723.6,164.0,2169.1,675.4,3014.0,427.1,692.2,2183.1,3025.3,174.3,80,3.7
0.073946,735.6,191.1,2140.1,691.5,3022.8,364.0,700.2,2173.2,3023,173.3,79.7,3.7
0.075946,739.3,204.1,2111.4,654.7,3027.5,304.5,707.6,2164.2,3021.9,172.4,79.5,3.7
0.077946,735.1,200.1,2089.1,580.4,3026.7,253.2,714.4,2155.9,3021.9,171.4,79.4,3.9
0.079946,728.0,186.6,2077.6,510.5,3023.1,221.9,720.8,2148.5,3022.7,170.6,79.5,4.1
0.081946,721.1,167.0,2076.0,460.9,3021.2,213.3,726.6,2142,3024.2,169.8,79.7,4.4
0.083946,716.5,144.2,2082.0,431.7,3024.1,225.8,731.9,2136.1,3026.1,169,79.9,4.5
0.085946,714.8,123.0,2092.2,411.6,3029.8,249.3,736.7,2131,3028.4,168.3,80.1,4.5
0.087946,715.7,108.8,2105.6,391.0,3033.5,272.9,741,2126.6,3030.7,167.6,80.1,4.4
0.089946,719.0,104.7,2121.1,368.7,3033.8,294.7,744.9,2122.9,3032.9,167.1,80.1,4.3
0.091946,726.1,110.9,2137.4,351.6,3033.2,323.4,748.4,2119.7,3034.7,166.5,79.9,4.4
0.093946,738.1,123.3,2152.2,348.8,3033.8,365.9,751.5,2117.1,3036.1,166,79.6,4.8
0.095946,752.8,135.7,2164.9,355.9,3034.8,423.6,754.3,2115,3036.7,165.6,79.3,5.7
0.097946,764.7,144.9,2172.8,360.1,3034.9,483.0,756.8,2113.4,3036.5,165.3,79.1,7
0.099946,770.6,148.3,2173.9,353.4,3033.9,528.6,758.9,2112.2,3035.4,165,79,8.4
0.101946,771.3,146.1,2170.2,336.0,3032.4,568.4,760.9,2111.4,3033.3,164.7,78.9,9.7
0.103946,769.1,141.2,2164.6,314.8,3029.2,606.5,762.5,2111,3030.1,164.5,78.9,10.7
0.105946,767.4,137.2,2157.3,296.0,3020.4,633.2,764,2110.9,3025.8,164.3,78.9,11.3
0.107946,768.1,137.3,2146.0,282.7,3004.3,639.3,765.2,2111.1,3020.4,164.2,79,11.6
0.109946,770.3,141.9,2131.7,275.8,2987.6,624.1,766.3,2111.7,3013.9,164.1,79,11.8
0.111946,772.3,149.0,2116.5,273.2,2980.9,585.2,767.1,2112.5,3006.4,164,79,12
0.113946,773.2,156.9,2102.7,273.0,2988.1,530.2,767.8,2113.6,2998.1,164,79,12.3
0.115946,773.1,165.3,2090.9,273.6,2998.7,479.9,768.3,2115,2989,164,79,12.9
