time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025200,449.1,110.3,2473.9,250.9,3351.9,344.5,462.1,2461.8,3374.4,276.3,77.1,3.6
0.027200,469.0,103.4,2471.2,218.5,3341.0,370.1,469.3,2463.3,3362,277,78,4.9
0.029200,486.2,110.2,2472.2,185.5,3334.2,369.8,480.3,2465.7,3342.9,277.8,78.7,5.6
0.031200,501.4,130.1,2472.7,156.0,3329.8,351.7,494.3,2468.6,3319.2,278.6,79.2,6
0.033200,515.8,154.3,2468.9,140.6,3321.7,372.0,509.8,2471.7,3293.3,279.6,79.6,6.2
0.035200,528.9,173.5,2463.2,133.7,3298.8,422.7,525.3,2474.5,3267.9,280.5,80,6.4
0.037200,540.6,185.8,2458.8,129.6,3259.0,456.1,539.7,2476.7,3245.5,281.6,80.3,6.7
0.039200,549.3,193.1,2457.8,129.0,3224.3,453.7,551.8,2477.9,3228.3,282.7,80.6,7.1
0.041200,555.3,203.2,2461.5,134.4,3208.1,442.5,560.9,2478,3217.5,283.9,80.9,7.5
0.043200,560.2,222.0,2470.2,146.2,3206.1,436.0,566.7,2476.8,3213.7,285.1,81.3,7.9
0.045200,564.5,247.7,2481.0,161.3,3212.7,432.6,569.4,2474.5,3216.4,286.4,81.6,8.2
0.047200,567.9,278.9,2489.4,177.2,3224.6,427.0,569.5,2471.1,3224.6,287.6,82,8.1
0.049200,570.2,315.7,2489.8,190.5,3237.9,413.1,567.9,2466.9,3236.3,289,82.2,7.6
0.051200,570.7,359.5,2480.6,194.8,3248.8,390.5,565.4,2462.3,3249.2,290.3,82.5,6.8
0.053200,569.3,409.1,2467.1,184.7,3256.5,370.5,563.2,2457.8,3261.1,291.6,82.6,5.9
0.055200,566.7,454.0,2456.6,165.5,3261.1,365.4,561.9,2453.6,3269.6,292.9,82.7,5
0.057200,564.2,490.3,2448.4,143.9,3263.2,372.5,562,2450.3,3273.2,294.1,82.7,4.3
0.059200,563.0,514.7,2440.5,123.4,3262.1,382.3,563.6,2448,3270.8,295.2,82.5,4
0.061200,563.9,524.8,2433.8,106.1,3257.3,389.0,566.3,2447.1,3262.1,296.2,82.3,3.8
0.063200,566.3,518.3,2431.1,94.0,3249.2,393.6,569.6,2447.5,3247.8,297.1,82,3.6
0.065200,568.3,497.6,2433.8,89.1,3237.6,395.4,572.3,2449.3,3229.2,297.8,81.5,3.6
0.067200,568.1,467.7,2441.2,90.6,3220.7,385.0,573.4,2452.3,3208.3,298.3,81,3.5
0.069200,565.1,433.4,2452.6,97.7,3200.8,357.0,571.6,2456.4,3187.4,298.6,80.4,3.4
0.071200,560.5,392.1,2467.3,109.6,3182.9,327.3,566.1,2461.3,3168.6,298.6,79.8,3.3
0.073200,556.1,336.8,2482.2,126.6,3169.1,325.7,556.1,2466.8,3154.3,298.3,79.4,3.3
0.075200,550.7,285.0,2491.0,147.1,3159.2,372.6,541.6,2472.6,3145.9,297.7,79.2,3.3
0.077200,538.9,254.9,2493.0,168.3,3146.3,462.1,522.8,2478.6,3144.4,296.8,79.2,3.5
0.079200,516.9,254.4,2490.9,186.5,3128.9,551.9,500.5,2484.5,3150.1,295.5,79.5,3.7
0.081200,484.6,282.6,2488.6,202.3,3125.5,595.6,476.1,2490.3,3162.6,293.8,79.9,4.1
0.083200,445.0,331.8,2489.4,217.5,3151.2,584.9,450.9,2495.9,3180.6,291.7,80.3,4.6
0.085200,409.2,379.2,2494.1,230.0,3190.3,538.9,426.7,2501.4,3202.5,289.2,80.6,5.1
0.087200,383.4,408.2,2501.0,236.8,3230.1,481.2,405.2,2506.8,3226.4,286.4,80.8,5.7
0.089200,371.4,408.8,2506.7,239.4,3263.6,423.6,387.6,2512.1,3250.3,283.1,80.9,6.4
0.091200,371.1,380.1,2510.4,244.7,3286.3,376.1,374.9,2517.4,3272.6,279.5,80.8,7.2
0.093200,376.5,330.8,2514.1,259.5,3299.6,347.5,367.6,2522.5,3291.9,275.6,80.7,8
0.095200,381.6,280.9,2521.0,284.4,3308.3,344.7,365.5,2527.6,3307.2,271.4,80.4,8.9
0.097200,384.4,239.4,2535.3,313.9,3322.4,359.8,367.9,2532.5,3318.4,266.9,80.2,9.6
0.099200,385.5,205.6,2554.8,330.8,3346.5,367.4,373.8,2537,3325.7,262.2,79.8,10.4
0.101200,385.9,171.6,2561.8,327.8,3365.5,357.8,381.6,2541.1,3329.8,257.3,79.4,11.3
0.103200,386.7,136.1,2549.0,314.9,3363.9,347.0,389.8,2544.4,3331.4,252.3,79,12
0.105200,389.5,111.6,2538.5,294.4,3338.4,330.1,396.9,2547,3331.7,247.2,78.4,12.6
0.107200,393.9,99.1,2539.8,274.2,3299.9,299.6,401.8,2548.6,3331.5,242.1,77.7,12.7
0.109200,397.4,96.0,2544.1,256.1,3272.6,267.7,403.5,2549.1,3331.4,237,76.9,12
