time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025764,426.3,87.9,2302.8,282.7,3240.2,369.8,554.2,2313.6,3200.4,197.9,72.8,10.9
0.027764,443.4,104.2,2304.2,226.3,3242.9,223.9,554.8,2313.3,3199.8,197.9,73.4,10.8
0.029764,465.3,119.8,2303.9,203.9,3253.1,164.4,555.9,2312.8,3198.8,197.9,73.8,10.6
0.031764,490.8,132.9,2305.3,195.3,3264.9,141.0,557.3,2312.1,3197.3,198,74,10.5
0.033764,518.1,140.8,2312.6,189.4,3274.9,135.3,559.1,2311.3,3195.5,198,74.1,10.7
0.035764,547.5,140.5,2325.6,184.0,3281.9,140.6,561.3,2310.2,3193.2,198,74.2,11.2
0.037764,573.8,132.8,2337.3,184.7,3282.5,154.5,563.9,2308.9,3190.6,198.1,74.2,11.8
0.039764,593.6,122.1,2340.5,197.8,3273.3,173.8,566.9,2307.5,3187.5,198.1,74.3,12.6
0.041764,605.0,111.0,2330.3,224.0,3253.2,195.9,570.2,2305.8,3184.1,198.1,74.4,13.4
0.043764,609.0,100.8,2310.0,250.2,3226.3,217.9,573.9,2304,3180.4,198.2,74.6,14.1
0.045764,608.9,90.7,2292.3,266.0,3195.9,247.5,577.9,2302,3176.2,198.2,74.8,14.9
0.047764,607.5,81.8,2294.4,274.9,3166.2,295.3,582.3,2299.8,3171.7,198.2,75.2,15.7
0.049764,606.5,73.0,2317.0,283.2,3137.6,359.2,587,2297.4,3166.9,198.3,75.6,16.5
0.051764,606.7,63.3,2344.1,284.0,3114.4,403.6,591.9,2294.8,3161.8,198.3,76,17.2
0.053764,607.5,54.0,2355.5,275.1,3104.5,390.7,597.2,2292,3156.4,198.3,76.5,17.6
0.055764,608.2,46.4,2347.9,264.0,3106.7,337.0,602.7,2289.1,3150.7,198.3,77,17.8
0.057764,608.6,41.4,2330.8,258.2,3113.2,289.7,608.5,2285.9,3144.7,198.4,77.4,17.8
0.059764,609.2,38.4,2314.8,258.5,3116.9,270.9,614.5,2282.6,3138.4,198.4,77.8,17.6
0.061764,610.4,36.7,2303.3,263.1,3115.8,279.2,620.7,2279.2,3132,198.4,78.1,17.3
0.063764,612.4,35.8,2293.4,269.7,3112.7,301.9,627.1,2275.5,3125.3,198.4,78.3,17
0.065764,615.4,35.9,2279.0,277.3,3110.6,326.8,633.7,2271.7,3118.4,198.4,78.4,16.6
0.067764,619.1,37.5,2258.7,280.0,3113.2,347.0,640.4,2267.7,3111.3,198.4,78.4,16.1
0.069764,623.9,41.5,2240.8,268.9,3122.2,367.9,647.3,2263.5,3104.1,198.4,78.2,15.5
0.071764,630.8,49.0,2233.4,246.7,3131.7,384.2,654.2,2259.2,3096.7,198.4,77.9,15
0.073764,640.9,59.7,2232.9,228.4,3129.3,367.4,661.2,2254.7,3089.2,198.4,77.6,14.7
0.075764,657.1,73.2,2235.1,221.4,3111.1,315.6,668.3,2250.1,3081.6,198.3,77.2,14.6
0.077764,678.5,86.0,2240.3,225.8,3083.6,269.0,675.5,2245.3,3074,198.3,76.9,14.7
0.079764,700.5,95.1,2246.3,237.7,3048.8,250.7,682.6,2240.4,3066.3,198.3,76.6,14.9
0.081764,718.9,98.8,2247.5,253.6,3003.8,258.6,689.8,2235.3,3058.5,198.3,76.4,15.1
0.083764,733.1,97.2,2241.8,272.0,2952.9,280.1,696.9,2230.1,3050.8,198.3,76.2,15.3
0.085764,746.4,92.1,2233.9,295.9,2908.5,307.3,703.9,2224.7,3043,198.3,76.1,15.4
0.087764,758.7,86.4,2229.8,322.8,2894.0,330.8,710.9,2219.3,3035.3,198.3,76.1,15.5
0.089764,769.1,81.6,2224.2,348.7,2909.9,331.6,717.8,2213.7,3027.7,198.3,76.1,15.6
0.091764,777.1,78.7,2208.7,374.1,2934.7,307.3,724.6,2207.9,3020.1,198.3,76.1,15.9
0.093764,783.0,78.4,2187.6,390.4,2954.3,283.7,731.3,2202.1,3012.6,198.3,76.1,16.3
0.095764,787.8,80.0,2168.0,386.1,2968.8,272.2,737.8,2196.2,3005.2,198.3,76.1,17.1
0.097764,791.3,82.3,2151.2,361.9,2979.5,263.4,744.1,2190.1,2998,198.4,76.1,18.1
0.099764,793.7,84.5,2131.8,331.2,2988.8,239.8,750.2,2184,2990.9,198.4,76.1,19.1
0.101764,795.5,86.6,2108.6,303.9,2996.5,205.2,756.2,2177.7,2984,198.4,76.1,20.1
0.103764,797.3,88.9,2088.8,286.7,3000.1,179.8,761.9,2171.4,2977.2,198.5,76.1,20.8
0.105764,799.3,92.8,2079.5,286.1,2998.5,174.4,767.4,2165,2970.7,198.5,76.1,21.3
0.107764,801.0,98.7,2084.1,309.1,2990.3,193.5,772.6,2158.5,2964.4,198.5,76.2,21.5
0.109764,802.3,105.1,2093.4,348.9,2975.0,224.4,777.6,2152,2958.3,198.6,76.2,21.6
0.111764,803.5,109.7,2095.6,387.2,2957.1,238.6,782.3,2145.4,2952.5,198.6,76.2,21.7
0.113764,804.9,111.9,2089.3,408.7,2944.6,224.9,786.7,2138.7,2947,198.7,76.3,21.7
0.115764,806.6,113.0,2082.9,420.0,2937.0,199.7,790.8,2132,2941.7,198.8,76.3,21.8
0.117764,807.9,114.5,2082.9,429.7,2930.8,182.8,794.6,2125.3,2936.7,198.8,76.3,21.8
0.119764,808.7,117.2,2087.8,427.1,2924.2,181.9,798.1,2118.5,2932,198.9,76.4,21.9
0.121764,809.0,121.3,2093.2,395.9,2918.3,195.5,801.2,2111.7,2927.6,199,76.4,21.9
0.123764,809.2,125.5,2095.1,352.8,2914.7,212.1,804.1,2104.9,2923.5,199,76.4,22.1
0.125764,809.4,128.0,2092.8,318.8,2915.0,220.2,806.6,2098.1,2919.8,199.1,76.4,22.4
0.127764,809.7,126.3,2085.2,305.5,2920.4,214.4,808.8,2091.3,2916.4,199.2,76.4,22.8
0.129764,809.8,120.0,2071.2,308.0,2927.7,200.1,810.6,2084.5,2913.3,199.3,76.5,23.3
0.131764,809.7,111.4,2055.0,311.0,2932.7,188.7,812.2,2077.8,2910.6,199.4,76.5,23.7
0.133764,809.6,104.3,2047.3,304.5,2932.2,192.7,813.4,2071,2908.2,199.5,76.6,24.1
0.135764,809.1,101.1,2050.0,294.5,2922.9,219.9,814.2,2064.3,2906.2,199.6,76.6,24.4
0.137764,807.6,104.0,2058.2,290.2,2901.7,273.9,814.8,2057.6,2904.5,199.6,76.7,24.8
0.139764,805.1,112.4,2068.3,291.5,2866.8,352.5,815,2051,2903.2,199.7,76.7,25
0.141764,802.4,124.3,2079.5,294.8,2819.4,437.2,814.9,2044.4,2902.2,199.8,76.8,25.3
0.143764,799.6,136.2,2088.8,297.5,2776.6,492.4,814.5,2037.9,2901.6,199.9,76.8,25.5
0.145764,796.2,145.7,2094.3,295.3,2764.6,511.5,813.9,2031.4,2901.3,200,76.9,25.7
0.147764,792.3,150.2,2092.3,285.3,2796.6,500.7,812.9,2025.1,2901.3,200.1,76.9,25.9
0.149764,788.2,152.1,2080.8,274.8,2848.7,468.1,811.7,2018.8,2901.7,200.2,77,26
0.151764,784.8,156.3,2063.2,273.4,2889.0,434.8,810.2,2012.6,2902.4,200.3,77.1,26.1
0.153764,782.3,164.1,2047.9,286.7,2900.3,413.3,808.4,2006.5,2903.4,200.4,77.1,26.1
0.155764,779.8,176.2,2039.6,316.9,2884.3,393.5,806.4,2000.6,2904.8,200.5,77.2,25.8
0.157764,776.0,192.6,2038.7,348.4,2864.5,368.2,804.2,1994.7,2906.4,200.6,77.3,25.4
0.159764,769.8,213.0,2037.9,349.9,2870.8,339.6,801.8,1989,2908.3,200.7,77.3,25
0.161764,761.5,231.0,2027.0,315.0,2901.7,304.5,799.2,1983.3,2910.5,200.8,77.4,24.6
0.163764,754.2,241.3,2009.0,274.0,2932.5,271.2,796.4,1977.9,2913,200.9,77.5,24.3
0.165764,749.4,246.9,1992.1,240.8,2951.3,250.7,793.4,1972.5,2915.8,200.9,77.5,24.3
0.167764,747.4,248.3,1982.5,212.8,2956.7,247.5,790.3,1967.3,2918.7,201,77.6,24.5
0.169764,746.8,241.0,1978.6,183.2,2959.0,254.2,787.1,1962.3,2921.9,201.1,77.7,24.7
0.171764,747.3,221.5,1975.7,156.0,2968.8,260.5,783.8,1957.4,2925.4,201.2,77.8,24.9
0.173764,750.2,197.8,1971.0,140.6,2986.1,263.4,780.4,1952.6,2929,201.2,77.9,25.1
0.175764,757.2,180.1,1962.6,141.8,3000.9,268.5,776.9,1948,2932.8,201.3,77.9,25.3
0.177764,766.4,174.5,1950.3,159.4,3005.5,276.3,773.4,1943.6,2936.7,201.3,78,25.4
0.179764,773.9,175.0,1931.9,179.6,3007.6,274.6,769.8,1939.4,2940.9,201.4,78.1,25.5
0.181764,777.7,170.9,1907.9,182.3,3016.5,254.3,766.3,1935.3,2945.1,201.4,78.1,25.7
0.183764,778.1,159.7,1887.2,166.1,3029.4,224.1,762.7,1931.4,2949.5,201.4,78.2,25.9
0.185764,776.8,148.2,1877.4,147.0,3039.1,195.1,759.2,1927.7,2953.9,201.5,78.3,26.4
0.187764,774.4,145.5,1881.4,138.6,3039.5,174.4,755.7,1924.1,2958.5,201.5,78.3,27.1
0.189764,770.7,154.4,1895.6,141.3,3034.7,162.2,752.3,1920.7,2963.1,201.5,78.3,27.7
0.191764,765.7,172.8,1912.9,149.0,3031.5,159.3,748.9,1917.5,2967.8,201.5,78.4,28.3
0.193764,760.8,190.2,1924.1,152.7,3029.1,165.3,745.7,1914.5,2972.5,201.5,78.4,28.6
0.195764,758.0,195.3,1925.3,149.1,3027.1,174.4,742.5,1911.7,2977.2,201.5,78.4,28.6
0.197764,755.9,188.8,1919.4,142.8,3030.2,178.3,739.5,1909,2981.8,201.5,78.5,28.3
0.199764,751.6,178.8,1910.7,141.6,3038.8,166.4,736.6,1906.5,2986.5,201.5,78.5,27.9
0.201764,743.7,175.0,1903.4,154.7,3043.8,141.4,733.9,1904.2,2991.1,201.5,78.5,27.6
0.203764,734.8,180.2,1899.5,185.9,3042.0,122.3,731.4,1902.1,2995.7,201.5,78.6,27.5
0.205764,726.7,189.0,1897.2,229.6,3037.8,115.5,729,1900.1,3000.2,201.5,78.6,27.7
0.207764,721.3,193.6,1896.7,264.7,3033.9,122.1,726.9,1898.3,3004.6,201.5,78.6,28.2
0.209764,719.1,191.6,1902.0,288.7,3030.4,142.5,724.9,1896.6,3008.9,201.4,78.6,28.8
0.211764,720.4,187.0,1914.7,318.3,3026.5,169.7,723.2,1895.1,3013,201.4,78.6,29.3
0.213764,723.8,181.2,1924.4,346.9,3024.1,182.9,721.7,1893.8,3017.1,201.4,78.7,29.6
0.215764,727.3,172.8,1917.3,348.2,3025.9,174.3,720.4,1892.6,3021,201.3,78.7,29.6
0.217764,728.6,160.7,1895.9,314.1,3031.5,157.0,719.4,1891.6,3024.7,201.3,78.7,29.5
0.219764,727.0,146.8,1877.6,271.6,3036.3,146.5,718.6,1890.7,3028.2,201.3,78.7,29.3
0.221764,723.4,137.4,1871.7,240.1,3036.7,148.4,718.1,1889.9,3031.6,201.2,78.7,29
0.223764,719.6,136.1,1873.2,217.5,3033.7,155.6,717.8,1889.2,3034.7,201.2,78.7,28.8
