time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025698,368.0,106.7,2391.6,681.1,3214.6,603.3,368.3,2382.9,3144.1,200,72.5,6.4
0.027698,374.3,63.9,2322.5,573.8,3170.6,508.8,371.2,2381.6,3145.2,199.8,73.6,7.4
0.029698,381.2,42.8,2300.0,505.4,3125.8,468.1,375.8,2379.5,3146.9,199.6,74.8,8.5
0.031698,388.3,34.0,2317.1,465.8,3107.0,491.9,382.2,2376.7,3149.2,199.3,75.8,9.7
0.033698,394.2,32.4,2360.6,431.9,3126.7,551.9,390.2,2373.1,3152.1,199.1,76.6,10.7
0.035698,399.7,34.4,2402.6,386.7,3161.3,579.4,399.6,2368.8,3155.4,198.8,77.2,11.5
0.037698,405.1,39.1,2421.7,340.6,3176.2,537.8,410.2,2363.9,3159.1,198.5,77.6,11.9
0.039698,411.9,47.1,2417.2,295.0,3169.5,440.0,421.8,2358.4,3163.1,198.2,77.8,11.8
0.041698,421.5,60.3,2397.9,258.4,3158.0,327.7,434.2,2352.5,3167.1,197.9,77.8,11.1
0.043698,433.6,78.5,2377.7,241.7,3154.7,243.0,447.1,2346.2,3171.2,197.5,77.6,10.3
0.045698,449.3,104.9,2361.6,239.0,3157.9,183.7,460.3,2339.7,3175.3,197.2,77.3,9.5
0.047698,468.0,136.2,2351.5,240.8,3164.3,148.0,473.5,2332.9,3179.1,196.8,76.9,9
0.049698,489.6,161.2,2342.4,240.1,3173.0,125.8,486.5,2326.1,3182.6,196.4,76.5,8.7
0.051698,510.3,164.4,2328.4,231.1,3182.9,111.2,499.1,2319.3,3185.7,196,76.2,8.6
0.053698,524.9,151.4,2310.7,211.0,3191.2,102.2,511.1,2312.5,3188.4,195.6,76,8.6
0.055698,535.5,134.1,2292.9,182.6,3197.3,96.2,522.3,2306,3190.6,195.3,75.9,8.8
0.057698,542.7,117.5,2279.2,158.1,3200.6,92.2,532.6,2299.7,3192.1,194.9,76,9.2
0.059698,548.1,102.4,2269.1,139.1,3202.1,86.4,541.8,2293.7,3193.1,194.5,76.1,9.9
0.061698,553.4,89.8,2262.9,122.2,3202.8,76.1,550,2288.1,3193.6,194.2,76.2,11
0.063698,558.5,79.9,2261.4,109.2,3202.4,65.6,557.1,2282.9,3193.4,193.9,76.2,12.2
0.065698,563.4,70.5,2263.3,99.6,3199.9,58.2,563,2278.2,3192.7,193.6,76.3,13.3
0.067698,567.1,61.5,2266.8,93.4,3195.3,56.2,567.8,2273.9,3191.4,193.3,76.4,14.2
0.069698,569.4,52.7,2270.9,89.4,3189.4,59.2,571.5,2270.2,3189.7,193,76.5,14.7
0.071698,570.7,44.6,2275.1,86.0,3182.9,66.3,574.3,2266.9,3187.5,192.8,76.6,15
0.073698,571.5,38.3,2278.7,83.1,3177.3,75.3,576.3,2264.1,3185.1,192.6,76.7,15.3
0.075698,572.1,33.0,2280.5,82.9,3173.2,88.4,577.5,2261.7,3182.3,192.4,76.8,15.5
0.077698,572.3,28.8,2279.5,87.6,3170.3,109.3,578.1,2259.7,3179.2,192.2,77,16
0.079698,572.6,25.3,2275.4,96.0,3165.6,137.8,578.2,2258,3176,192.1,77.1,16.7
0.081698,573.4,22.3,2267.6,102.9,3155.2,160.6,578.1,2256.5,3172.6,192,77.2,17.5
0.083698,574.6,20.0,2258.3,105.6,3145.9,165.6,577.8,2255.3,3169.1,191.9,77.3,18.4
0.085698,575.9,18.1,2249.0,105.2,3144.8,159.2,577.4,2254.1,3165.6,191.8,77.4,19.3
0.087698,577.2,16.7,2240.9,101.8,3151.3,147.2,577.2,2252.9,3161.9,191.7,77.6,20
0.089698,578.3,15.5,2233.4,96.5,3161.1,132.4,577.1,2251.6,3158.1,191.7,77.7,20.7
0.091698,579.2,14.6,2226.2,90.6,3171.3,118.9,577.3,2250.2,3154.2,191.6,77.8,21.3
0.093698,579.9,14.0,2220.4,86.0,3179.8,112.1,577.8,2248.5,3150.2,191.6,77.9,21.8
0.095698,580.6,13.5,2217.2,81.5,3186.1,113.1,578.6,2246.4,3145.9,191.5,78,22.2
0.097698,581.5,13.4,2218.1,77.1,3189.1,121.9,579.8,2243.8,3141.4,191.5,78.1,22.4
0.099698,582.5,13.5,2222.6,73.9,3187.9,140.3,581.4,2240.7,3136.5,191.4,78.1,22.3
0.101698,583.4,13.9,2229.6,73.3,3179.6,171.5,583.3,2237,3131.3,191.4,78.1,22.1
0.103698,584.4,14.7,2236.3,75.8,3161.4,209.1,585.4,2232.7,3125.7,191.3,78.1,21.6
0.105698,585.8,15.9,2241.5,80.1,3131.3,241.0,587.7,2227.7,3119.5,191.3,77.9,21
0.107698,587.8,17.8,2243.3,84.0,3097.8,257.8,590.1,2222,3112.8,191.2,77.7,20.1
0.109698,590.6,20.4,2241.7,87.3,3068.7,274.0,592.5,2215.6,3105.5,191.1,77.3,18.7
0.111698,593.9,24.5,2237.6,90.8,3046.4,303.5,594.7,2208.4,3097.7,191,76.9,16.8
0.113698,597.5,31.3,2231.7,93.8,3028.7,342.8,596.7,2200.6,3089.3,190.8,76.4,14.8
