time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025760,385.8,110.6,2093.1,368.5,2590.9,773.3,446.7,2226.5,2788.4,237.7,74.9,7.2
0.027760,401.2,99.8,2185.6,293.4,2772.7,690.0,447,2226.6,2793.6,237.7,76.4,20.1
0.029760,423.6,84.5,2242.4,211.8,2862.3,498.2,447.3,2226.7,2801.9,237.7,77.7,21.3
0.031760,442.5,60.5,2277.6,170.9,2902.8,401.4,447.8,2226.8,2813.4,237.7,78.8,15.8
0.033760,454.0,41.3,2291.6,159.0,2904.0,371.1,448.4,2227.2,2827.7,237.7,79.7,9
0.035760,461.3,28.9,2290.1,151.5,2876.0,314.4,449.2,2227.8,2844.4,237.7,80.5,6
0.037760,465.5,21.7,2285.1,146.6,2870.0,234.8,450.1,2228.7,2863.3,237.7,81.1,7.1
0.039760,468.0,17.6,2279.6,159.4,2882.7,186.3,451.2,2230,2883.7,237.7,81.6,8.8
0.041760,470.1,15.5,2271.9,196.9,2900.9,164.8,452.5,2231.8,2905.4,237.6,81.9,10.7
0.043760,471.7,15.0,2263.7,243.0,2915.4,162.9,453.9,2234.1,2927.7,237.6,82,12.7
0.045760,473.3,15.6,2255.4,286.3,2923.6,178.1,455.5,2237.2,2950.2,237.5,82,14.3
0.047760,474.5,17.1,2248.6,332.1,2928.2,217.2,457.2,2241,2972.4,237.5,81.9,15.6
0.049760,475.2,19.2,2248.7,380.3,2943.1,283.4,459,2245.7,2993.8,237.4,81.7,16.8
0.051760,475.7,21.5,2252.8,401.1,2993.6,346.1,461,2251.4,3014.1,237.2,81.6,17.8
0.053760,476.3,22.7,2240.2,387.0,3057.8,324.8,463,2258,3032.7,237.1,81.5,18.8
0.055760,476.9,22.7,2213.5,375.5,3098.3,262.3,465.2,2265.6,3049.4,236.9,81.5,19.8
0.057760,477.1,22.3,2187.8,376.4,3119.8,221.5,467.3,2274.2,3064,236.7,81.6,20.7
0.059760,477.3,22.1,2171.4,384.8,3135.8,209.5,469.5,2283.8,3076.1,236.4,81.7,21.7
0.061760,477.5,21.9,2170.0,400.0,3150.8,218.5,471.6,2294.5,3085.7,236.2,81.8,22.5
0.063760,477.6,21.2,2189.2,411.6,3159.7,238.0,473.5,2306.1,3092.8,235.8,81.9,23.3
0.065760,477.4,20.0,2237.5,405.0,3156.2,267.3,475.4,2318.5,3097.3,235.5,82,23.7
0.067760,476.6,18.7,2315.9,374.2,3132.2,321.0,477,2331.7,3099.5,235.1,82.2,23.8
0.069760,475.3,18.1,2394.8,330.3,3089.7,399.1,478.4,2345.6,3099.4,234.6,82.3,23.6
0.071760,473.6,17.8,2450.7,288.6,3035.8,477.0,479.5,2360,3097.3,234.1,82.5,23.3
0.073760,471.8,17.7,2475.4,264.3,2994.1,514.4,480.3,2374.8,3093.6,233.6,82.6,23
0.075760,470.1,17.6,2479.9,256.3,2973.2,512.8,480.6,2389.8,3088.6,233,82.8,23
