time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025995,332.9,22.9,2176.9,229.5,3122.2,413.2,347.8,2347.7,3111.7,173.6,68.1,8.8
0.027995,337.4,19.4,2200.0,190.6,3115.6,413.7,347.9,2348.3,3112.3,173.6,68.8,9
0.029995,341.4,17.3,2217.7,158.3,3111.7,382.4,347.9,2349.3,3113.2,173.7,69.4,10.8
0.031995,344.9,16.0,2228.1,144.6,3108.4,348.6,348.1,2350.7,3114.4,173.7,70,13.2
0.033995,348.0,14.7,2232.6,156.3,3100.0,338.1,348.2,2352.5,3116,173.7,70.6,15.7
0.035995,350.6,13.8,2234.8,194.3,3093.0,308.3,348.4,2354.7,3117.9,173.8,71.1,17.7
0.037995,352.7,13.8,2243.9,245.0,3094.2,252.3,348.6,2357.2,3120.2,173.8,71.6,18.8
0.039995,354.5,14.5,2269.1,284.8,3097.8,212.9,348.8,2360.1,3122.8,173.8,72,19.1
0.041995,356.0,15.1,2303.9,283.6,3099.0,203.1,349.1,2363.4,3125.7,173.9,72.4,19.1
0.043995,357.2,15.9,2338.8,250.6,3096.3,216.1,349.4,2367.1,3128.9,173.9,72.8,18.8
0.045995,358.2,17.1,2367.9,216.0,3093.0,243.4,349.7,2371.1,3132.4,173.9,73.1,18.6
0.047995,358.9,19.0,2393.5,192.2,3101.0,261.5,350.1,2375.4,3136.2,173.9,73.4,18.6
0.049995,359.1,21.3,2420.5,172.2,3127.8,244.5,350.4,2380,3140.3,173.9,73.7,18.6
0.051995,359.3,23.7,2444.1,154.3,3155.3,204.3,350.9,2384.9,3144.6,173.9,73.9,18.6
0.053995,359.6,25.5,2460.6,138.4,3172.5,171.1,351.3,2390.2,3149.2,173.9,74.1,18.6
0.055995,359.7,26.2,2467.2,126.9,3178.8,160.6,351.8,2395.7,3154,173.9,74.4,18.7
0.057995,359.4,25.9,2467.7,119.3,3177.2,173.7,352.3,2401.5,3159,173.9,74.5,18.8
0.059995,359.2,25.3,2466.6,112.6,3171.3,201.9,352.8,2407.5,3164.2,173.9,74.7,18.9
0.061995,359.0,25.2,2466.6,105.3,3167.5,219.9,353.3,2413.7,3169.6,173.9,74.9,19
0.063995,358.7,25.4,2467.6,98.5,3168.1,221.7,353.9,2420.1,3175.2,173.9,75,19.2
0.065995,358.4,25.5,2468.2,95.3,3170.7,221.7,354.5,2426.8,3180.8,173.8,75.2,19.5
0.067995,357.7,25.4,2468.2,95.5,3175.8,223.7,355.1,2433.6,3186.6,173.8,75.3,19.8
0.069995,357.0,25.4,2469.3,98.2,3187.0,220.2,355.7,2440.5,3192.6,173.8,75.4,20.4
0.071995,356.4,25.5,2473.5,104.1,3201.8,207.1,356.3,2447.6,3198.5,173.8,75.5,21
0.073995,355.8,25.9,2482.1,115.2,3215.3,189.6,357,2454.8,3204.6,173.8,75.6,21.6
0.075995,355.3,26.9,2494.8,127.6,3224.6,174.1,357.7,2462.1,3210.7,173.8,75.6,22.2
0.077995,354.9,28.4,2509.8,134.1,3231.1,162.6,358.3,2469.5,3216.8,173.8,75.6,22.7
0.079995,354.5,29.5,2525.5,136.5,3236.9,161.6,359,2476.9,3222.9,173.9,75.6,23.3
0.081995,354.2,29.7,2540.6,136.5,3243.2,170.5,359.8,2484.3,3229,173.9,75.6,23.8
0.083995,354.3,29.4,2556.8,134.3,3251.4,182.2,360.5,2491.8,3235.1,173.9,75.6,24.3
0.085995,354.6,29.3,2572.8,130.2,3260.6,188.8,361.2,2499.3,3241.1,174,75.5,24.5
0.087995,355.0,29.6,2587.0,123.6,3268.9,187.8,361.9,2506.7,3247.1,174.1,75.5,24.5
0.089995,355.4,30.5,2598.7,112.8,3276.3,179.4,362.7,2514.1,3252.9,174.2,75.4,24.2
0.091995,355.9,31.6,2605.9,100.8,3281.3,167.9,363.4,2521.4,3258.7,174.3,75.4,23.7
0.093995,356.7,32.8,2609.5,90.4,3283.9,157.7,364.1,2528.6,3264.3,174.4,75.3,23.1
