time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025701,312.5,149.1,2447.1,129.9,3282.1,123.7,327.6,2550.8,3349.7,204.7,69.1,12.6
0.027701,314.1,154.1,2466.7,138.0,3280.3,130.9,327.9,2551.4,3349.1,205,70,13.2
0.029701,312.6,151.6,2483.2,146.2,3279.6,141.5,328.4,2552.3,3348,205.4,70.9,14.5
0.031701,308.4,143.4,2495.5,148.1,3278.7,152.1,329,2553.7,3346.5,205.8,71.8,16.1
0.033701,304.0,133.4,2507.2,144.0,3278.3,159.7,329.9,2555.3,3344.6,206.2,72.6,17.6
0.035701,301.0,123.9,2521.1,138.1,3280.4,159.1,330.9,2557.4,3342.4,206.6,73.4,18.8
0.037701,300.1,116.5,2535.2,134.4,3285.6,147.3,332.1,2559.7,3339.7,207,74.1,19.5
0.039701,301.7,111.3,2547.3,134.5,3294.6,128.8,333.5,2562.4,3336.7,207.4,74.7,19.8
0.041701,305.6,107.4,2557.1,137.3,3307.7,109.0,335,2565.4,3333.3,207.8,75.3,19.9
0.043701,311.6,104.8,2564.6,140.2,3321.6,93.4,336.8,2568.6,3329.7,208.2,75.9,19.8
0.045701,319.3,102.7,2572.0,141.9,3333.2,83.1,338.7,2572.1,3325.8,208.6,76.4,19.7
0.047701,328.1,101.1,2582.4,142.3,3340.2,79.1,340.8,2575.8,3321.6,209,76.8,19.7
0.049701,337.7,100.0,2597.6,140.5,3342.6,81.2,343.1,2579.7,3317.2,209.5,77.3,19.6
0.051701,348.4,99.1,2617.0,134.8,3341.9,86.9,345.5,2583.7,3312.6,209.9,77.7,19.5
0.053701,358.8,97.1,2634.9,125.8,3340.4,92.2,348.1,2587.9,3307.9,210.3,78.1,19.4
0.055701,368.3,93.3,2648.3,115.9,3338.9,96.3,350.9,2592.2,3303,210.6,78.4,19.4
0.057701,376.4,88.2,2656.8,107.6,3336.1,101.9,353.8,2596.5,3298.1,211,78.7,19.6
0.059701,383.1,82.9,2662.4,102.2,3330.3,112.1,356.9,2600.9,3293.1,211.4,79,19.9
0.061701,389.4,77.5,2667.6,99.9,3320.6,127.4,360.2,2605.3,3288.1,211.8,79.2,20.4
0.063701,394.9,72.5,2673.4,101.2,3310.1,141.7,363.5,2609.6,3283.1,212.1,79.4,20.9
0.065701,400.0,67.7,2680.2,106.5,3302.1,150.9,367.1,2613.9,3278.2,212.5,79.5,21.3
