time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025113,357.6,822.4,2597.1,392.1,4045.2,408.6,343.3,2685.7,4146.4,225.9,56.5,-200
0.027113,360.1,344.7,2616.5,338.2,4015.0,460.2,343.9,2685.5,4137.1,225.6,59.4,-168.8
0.029113,341.3,154.7,2648.6,400.9,4026.2,495.9,345,2685.2,4121.8,225.3,62.2,-122.9
0.031113,335.0,110.5,2730.8,523.4,4050.9,461.3,346.6,2684.8,4100.7,225,64.8,-72
0.033113,337.1,114.3,2799.8,539.8,4058.2,404.4,348.5,2684.2,4074.2,224.7,67,-25.9
0.035113,343.8,129.1,2759.9,438.9,4047.4,340.5,350.9,2683.6,4042.5,224.5,68.8,5.6
0.037113,352.6,141.1,2693.7,284.8,4038.2,295.0,353.6,2682.8,4006.1,224.4,70.4,19.2
0.039113,358.7,143.1,2658.8,176.2,4041.0,295.3,356.7,2681.9,3965.6,224.2,71.8,21.4
0.041113,358.1,133.8,2651.8,122.7,4055.9,349.8,360.2,2680.8,3921.4,224.2,73,17.2
0.043113,354.1,117.6,2658.6,95.9,4103.9,478.5,364,2679.7,3874.3,224.2,74,11.5
0.045113,351.7,101.8,2670.4,83.4,4251.6,551.1,368.1,2678.5,3824.9,224.2,75,9.3
0.047113,354.0,90.9,2681.6,77.2,3968.7,1790.4,372.5,2677.1,3773.7,224.3,75.8,10.8
0.049113,362.2,86.2,2689.2,74.1,3674.8,1457.5,377.2,2675.6,3721.5,224.5,76.6,12.8
0.051113,374.4,84.6,2691.4,71.4,3542.7,1088.0,382,2674.1,3669,224.8,77.2,14.8
0.053113,388.2,81.0,2688.8,68.7,3484.8,831.3,387.1,2672.4,3616.7,225.1,77.8,16.5
0.055113,399.6,75.2,2682.6,69.4,3457.2,701.2,392.3,2670.7,3565.3,225.5,78.2,17.6
0.057113,408.7,68.8,2674.3,75.9,3425.5,643.5,397.7,2668.8,3515.4,225.9,78.5,18.1
0.059113,416.3,62.6,2666.2,89.1,3370.2,611.5,403.1,2666.9,3467.4,226.5,78.7,18
0.061113,423.0,56.6,2659.8,107.6,3303.3,568.6,408.6,2664.9,3421.9,227,78.7,17.6
0.063113,429.6,50.3,2651.4,131.8,3247.0,508.4,414.1,2662.8,3379.3,227.7,78.7,16.9
0.065113,435.5,44.1,2641.7,158.0,3219.0,465.2,419.6,2660.6,3339.9,228.3,78.5,16.1
