time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025932,438.6,61.7,2134.3,175.3,2693.4,385.9,475.5,2355.7,2948.7,223.4,75.3,10.8
0.027932,451.7,40.0,2154.2,194.7,2695.4,392.8,475,2356.7,2951.2,222.9,75.5,9.1
0.029932,458.7,28.5,2193.6,233.0,2692.4,429.6,474.3,2358.3,2955.3,222.5,75.7,8.2
0.031932,461.3,23.9,2270.0,272.8,2687.1,528.2,473.3,2360.6,2961,222,75.7,8.1
0.033932,460.7,24.0,2362.4,232.2,2734.0,749.7,472.1,2363.4,2968.3,221.5,75.7,8.3
0.035932,458.8,27.4,2399.9,171.3,2898.6,892.7,470.6,2366.9,2977,221,75.6,8.8
0.037932,457.1,33.4,2410.0,149.4,3090.9,748.4,469,2370.8,2987.3,220.5,75.5,10.1
0.039932,456.8,39.3,2414.6,149.5,3183.4,495.0,467.1,2375.3,2998.8,220,75.4,11.9
0.041932,457.8,43.1,2423.4,154.8,3216.7,336.6,465.2,2380.2,3011.7,219.4,75.4,13.8
0.043932,459.2,45.0,2437.2,157.7,3232.4,254.1,463.1,2385.5,3025.8,218.9,75.5,15.5
0.045932,460.2,46.7,2453.4,159.3,3239.6,210.1,460.9,2391.1,3040.9,218.3,75.6,16.5
0.047932,461.0,49.7,2470.2,161.6,3241.0,183.4,458.7,2397,3057.1,217.7,75.6,17
0.049932,461.7,54.6,2482.9,166.7,3239.3,171.8,456.5,2403.1,3074.1,217.2,75.7,17.3
0.051932,462.9,61.6,2488.3,177.3,3236.6,172.9,454.4,2409.3,3091.8,216.6,75.7,17.6
0.053932,464.8,70.1,2486.0,195.1,3232.7,180.2,452.3,2415.6,3110.2,216.1,75.8,17.8
0.055932,466.9,78.8,2478.3,219.1,3227.6,186.8,450.4,2421.9,3129.1,215.5,75.8,18.3
0.057932,468.5,88.0,2466.8,246.2,3222.2,195.6,448.6,2428.1,3148.3,215,75.9,18.9
0.059932,468.7,97.3,2456.1,260.2,3218.8,220.1,447.1,2434.2,3167.8,214.5,76,19.5
0.061932,467.3,106.5,2455.1,248.3,3219.3,273.8,445.8,2440.1,3187.4,214,76.2,20.2
0.063932,465.1,115.3,2465.4,217.4,3223.8,346.5,444.7,2445.8,3207,213.5,76.3,20.8
0.065932,463.6,122.5,2478.4,184.6,3228.5,400.4,444,2451.2,3226.5,213,76.4,21.6
0.067932,463.5,127.9,2490.7,157.9,3231.3,430.7,443.6,2456.2,3245.7,212.5,76.6,22.4
0.069932,464.4,131.2,2500.1,141.7,3235.9,466.2,443.5,2460.8,3264.5,212.1,76.7,23.3
0.071932,464.6,134.2,2504.8,134.5,3251.3,541.0,443.9,2465,3282.9,211.6,76.9,24.1
0.073932,462.6,137.8,2503.3,130.7,3290.2,661.1,444.6,2468.8,3300.6,211.2,77,24.8
0.075932,460.0,140.4,2497.0,125.7,3345.5,756.8,445.6,2472,3317.7,210.8,77.1,25.3
0.077932,459.0,139.4,2489.5,121.8,3369.4,737.7,447.1,2474.8,3334,210.4,77.3,25.7
0.079932,459.7,134.9,2483.8,120.7,3344.3,626.6,449,2477,3349.5,210,77.4,25.9
0.081932,460.4,129.7,2478.8,120.8,3314.9,526.3,451.2,2478.6,3364,209.6,77.6,26
0.083932,460.2,126.1,2473.0,120.7,3300.8,486.4,453.9,2479.8,3377.6,209.2,77.7,26.1
0.085932,459.0,126.1,2469.2,117.1,3304.7,513.6,456.8,2480.4,3390.1,208.9,77.9,26.2
0.087932,456.9,130.4,2470.8,106.2,3325.1,605.2,460.2,2480.5,3401.5,208.5,78.1,26.1
0.089932,454.8,137.5,2476.2,91.0,3347.6,736.3,463.8,2480.1,3411.8,208.1,78.2,26
0.091932,454.1,145.0,2481.1,77.6,3364.8,869.2,467.7,2479.3,3420.9,207.8,78.4,25.8
0.093932,455.7,151.2,2484.4,67.3,3402.2,958.8,471.9,2478,3428.9,207.5,78.5,25.7
0.095932,460.1,153.9,2485.5,61.6,3455.6,940.8,476.3,2476.3,3435.8,207.1,78.6,25.5
0.097932,466.8,152.8,2484.2,62.6,3481.1,811.9,480.8,2474.3,3441.4,206.8,78.8,25.4
0.099932,473.7,150.6,2480.5,72.1,3474.5,671.8,485.5,2472,3446,206.4,78.9,25.3
0.101932,479.9,149.7,2475.4,90.6,3460.9,584.4,490.3,2469.3,3449.4,206.1,79.1,25.2
0.103932,485.2,149.8,2469.7,115.4,3443.9,542.6,495.2,2466.5,3451.8,205.7,79.3,25
0.105932,489.4,149.5,2463.4,139.2,3420.8,516.6,500.1,2463.5,3453.1,205.4,79.4,24.8
0.107932,493.3,147.2,2452.0,161.7,3389.0,488.6,505,2460.4,3453.3,205,79.6,24.6
0.109932,497.6,142.5,2429.8,183.2,3354.8,452.8,509.8,2457.2,3452.7,204.7,79.8,24.3
0.111932,503.0,136.8,2394.5,200.0,3335.8,406.5,514.5,2454,3451.1,204.3,80,24
