time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025531,218.4,28.0,1689.3,867.8,2517.3,283.3,309.2,2228.5,2778.9,209.4,84.5,32.1
0.027531,219.5,29.2,2047.1,491.6,2474.5,752.5,309.7,2230.1,2780.3,209.8,84.5,31.6
0.029531,218.2,26.0,2055.7,180.3,2664.9,853.4,310.6,2232.7,2782.6,210.1,84.5,30.8
0.031531,217.4,21.2,2047.5,136.8,2678.7,651.0,311.9,2236.4,2785.8,210.5,84.5,29.8
0.033531,219.5,21.7,2037.8,126.0,2658.1,466.8,313.5,2241.1,2790,210.9,84.4,28.6
0.035531,224.9,28.1,2036.9,115.5,2667.6,322.7,315.4,2246.8,2795,211.3,84.2,27.3
0.037531,234.2,40.3,2045.3,114.2,2688.8,223.5,317.7,2253.4,2800.9,211.7,84,25.6
0.039531,247.8,58.2,2061.9,122.4,2707.9,154.7,320.3,2261,2807.7,212.2,83.6,23.5
0.041531,266.0,82.3,2093.0,144.1,2723.1,111.0,323.2,2269.5,2815.2,212.7,83.2,21.2
0.043531,287.3,107.2,2154.1,190.6,2736.2,98.0,326.4,2278.9,2823.6,213.2,82.7,18.9
0.045531,315.3,130.7,2278.3,248.3,2757.1,119.4,329.9,2289.1,2832.7,213.7,82.2,16.9
0.047531,356.2,136.3,2427.1,215.3,2808.2,173.2,333.6,2300.1,2842.5,214.2,81.6,15.5
0.049531,389.3,111.9,2499.5,146.8,2883.5,192.2,337.6,2311.8,2853,214.8,80.9,14.5
0.051531,410.1,87.2,2530.7,119.7,2943.6,176.7,341.8,2324.2,2864.1,215.3,80.3,13.7
0.053531,424.2,67.6,2552.3,109.9,2989.7,157.5,346.3,2337.1,2875.8,215.9,79.7,13.1
0.055531,434.2,52.0,2569.5,102.1,3032.4,136.2,350.9,2350.7,2888.1,216.5,79.1,12.6
0.057531,440.7,41.0,2579.1,93.6,3068.6,113.9,355.7,2364.7,2900.8,217,78.4,12
0.059531,445.0,33.8,2582.2,85.9,3093.3,97.2,360.7,2379.2,2914,217.6,77.9,11.3
0.061531,447.8,29.3,2583.8,81.8,3107.0,91.0,365.8,2394.1,2927.6,218.2,77.5,10.6
0.063531,449.4,26.6,2586.8,82.7,3111.6,95.7,371.1,2409.2,2941.5,218.7,77.1,10.1
0.065531,450.2,25.1,2590.9,86.3,3110.9,109.4,376.4,2424.6,2955.8,219.3,77,9.8
0.067531,450.3,24.9,2593.1,91.5,3107.0,130.4,381.7,2440.2,2970.2,219.8,76.9,9.6
0.069531,449.7,26.0,2590.7,99.8,3100.9,156.8,387.2,2455.9,2984.8,220.4,77,9.7
0.071531,448.7,27.9,2585.6,112.4,3094.4,185.6,392.6,2471.6,2999.6,220.9,77.2,9.9
0.073531,447.9,29.5,2583.5,124.1,3091.2,210.3,398.1,2487.3,3014.4,221.4,77.5,10.3
0.075531,447.3,30.2,2587.5,130.2,3093.2,231.7,403.5,2502.9,3029.3,222,77.7,10.9
0.077531,447.0,30.1,2596.6,130.8,3101.6,255.1,408.9,2518.3,3044.1,222.5,78,11.6
0.079531,447.0,30.0,2607.0,129.8,3113.9,286.6,414.3,2533.5,3058.8,222.9,78.2,12.6
0.081531,447.3,29.7,2616.3,129.3,3125.4,326.3,419.6,2548.5,3073.4,223.4,78.4,13.8
0.083531,447.7,29.0,2623.0,129.4,3131.4,362.5,424.7,2563.1,3087.8,223.9,78.5,15
0.085531,448.2,27.8,2627.7,129.0,3135.1,389.2,429.8,2577.3,3101.9,224.3,78.6,16.1
0.087531,449.0,26.4,2631.5,126.9,3144.6,405.0,434.7,2591.1,3115.8,224.8,78.7,16.9
0.089531,449.9,24.8,2635.7,121.7,3165.2,408.7,439.5,2604.3,3129.3,225.2,78.7,17.5
0.091531,451.1,22.8,2641.0,114.7,3189.8,395.1,444.1,2617.1,3142.4,225.6,78.6,18
0.093531,452.4,20.7,2646.8,110.0,3202.4,375.9,448.5,2629.2,3155.2,226,78.5,18.4
0.095531,453.5,18.5,2652.6,109.8,3202.7,368.2,452.8,2640.7,3167.4,226.4,78.4,18.8
0.097531,454.5,16.5,2657.2,114.5,3198.4,372.4,456.8,2651.6,3179.2,226.8,78.3,19.2
0.099531,455.5,14.5,2660.0,123.0,3197.6,378.6,460.6,2661.8,3190.5,227.2,78.2,19.5
0.101531,456.5,12.6,2662.7,133.8,3204.9,381.6,464.3,2671.2,3201.2,227.5,78.2,19.7
0.103531,457.5,11.3,2666.9,143.3,3217.5,384.0,467.6,2680,3211.4,227.9,78.2,20
0.105531,458.4,10.7,2673.0,148.4,3233.0,385.1,470.8,2687.9,3220.9,228.3,78.2,20.4
0.107531,459.0,10.7,2679.3,149.2,3249.0,379.7,473.7,2695.1,3229.8,228.6,78.3,20.9
0.109531,459.5,11.1,2684.6,149.2,3261.6,364.1,476.3,2701.5,3238.1,229,78.4,21.5
0.111531,459.9,11.8,2689.9,149.1,3267.6,339.2,478.8,2707.1,3245.7,229.3,78.6,22.2
0.113531,460.2,12.5,2696.5,146.4,3267.4,318.9,480.9,2711.9,3252.7,229.6,78.7,23
0.115531,460.4,13.2,2705.4,139.4,3267.3,315.0,482.9,2715.9,3259,230,78.8,23.8
0.117531,460.6,13.8,2715.3,128.9,3273.8,328.6,484.6,2719.2,3264.6,230.3,78.9,24.6
0.119531,460.9,14.3,2723.8,117.4,3286.0,346.1,486,2721.6,3269.5,230.7,79,25.6
0.121531,461.3,14.7,2729.4,109.2,3293.7,357.8,487.2,2723.3,3273.8,231,79.1,26.5
0.123531,462.0,14.9,2732.4,108.2,3287.4,368.8,488.2,2724.3,3277.3,231.3,79.2,27.4
0.125531,462.8,14.9,2733.7,114.6,3266.1,388.5,489,2724.6,3280.3,231.7,79.2,28.1
0.127531,463.7,14.8,2733.0,127.0,3231.8,409.9,489.5,2724.2,3282.5,232,79.3,28.4
0.129531,464.7,14.5,2727.9,144.0,3192.9,413.0,489.9,2723.1,3284.1,232.3,79.3,28.4
0.131531,465.7,14.3,2714.4,164.7,3160.9,388.6,490,2721.4,3285.1,232.7,79.3,28.1
0.133531,466.6,14.1,2689.4,182.5,3145.4,346.3,490,2719.1,3285.5,233,79.3,27.8
0.135531,467.2,14.1,2654.4,190.2,3144.3,300.1,489.8,2716.2,3285.3,233.3,79.4,27.5
0.137531,467.8,14.1,2617.8,186.2,3151.2,263.6,489.5,2712.9,3284.5,233.7,79.4,27.5
0.139531,468.3,14.3,2588.2,176.5,3157.4,242.2,489,2709.1,3283.2,234,79.4,27.7
