time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.026002,449.6,26.6,2277.1,435.5,2962.9,78.5,475.7,2253.9,2981.5,228.3,81,15.3
0.028002,453.0,20.9,2293.0,433.8,2962.9,69.8,474.9,2253.8,2982.6,228.2,82.6,19.6
0.030002,455.1,16.9,2305.3,423.7,2962.4,63.7,473.7,2253.5,2984.4,228.1,83.9,17.9
0.032002,456.7,14.1,2313.0,398.0,2963.5,60.1,472,2253.3,2986.8,227.9,85.1,14.4
0.034002,458.5,12.1,2315.9,361.8,2967.4,59.3,469.9,2253,2989.9,227.8,86.2,13.5
0.036002,460.2,11.1,2313.0,333.3,2974.3,62.7,467.5,2252.8,2993.6,227.6,87.1,15.3
0.038002,461.8,11.2,2304.5,328.7,2984.8,72.2,464.9,2252.8,2997.7,227.4,87.9,16.9
0.040002,463.3,12.9,2288.3,355.5,3000.9,90.3,462.1,2253,3002.4,227.1,88.6,18.2
0.042002,464.7,16.4,2260.3,406.8,3020.2,114.1,459.2,2253.5,3007.4,226.9,89.2,19.1
0.044002,466.2,22.2,2216.2,461.8,3039.1,138.1,456.4,2254.4,3012.7,226.6,89.8,19.5
0.046002,467.8,29.5,2168.2,494.0,3051.8,155.9,453.6,2255.8,3018.2,226.3,90.2,19.3
0.048002,469.1,36.4,2133.4,508.7,3056.9,168.0,451.1,2257.8,3023.8,226,90.6,18.5
0.050002,469.9,41.7,2115.3,521.7,3057.6,175.2,449,2260.5,3029.5,225.6,90.9,17.4
0.052002,470.1,44.1,2116.5,528.9,3056.9,175.1,447.2,2263.8,3035.2,225.3,91,16.3
0.054002,469.6,43.7,2139.5,512.5,3056.7,167.3,446,2268,3040.7,224.9,91.1,15.4
0.056002,468.6,41.0,2180.5,465.7,3058.4,153.4,445.3,2273,3046.1,224.4,91,14.8
0.058002,467.2,37.0,2228.4,408.5,3062.0,137.3,445.3,2278.9,3051.2,224,90.8,14.3
0.060002,465.3,32.5,2282.5,353.0,3066.7,123.3,446,2285.7,3056.1,223.6,90.5,13.8
0.062002,463.3,29.1,2335.4,306.1,3071.3,116.8,447.5,2293.3,3060.6,223.1,90.1,13.5
0.064002,461.3,27.7,2381.4,263.7,3074.8,120.3,449.8,2301.9,3064.8,222.6,89.6,13.4
0.066002,459.9,29.3,2408.0,229.9,3076.3,135.3,452.8,2311.2,3068.6,222.1,89,13.6
0.068002,459.2,33.0,2416.1,204.7,3075.3,154.3,456.7,2321.3,3072,221.6,88.5,14.1
0.070002,459.6,37.3,2415.3,182.5,3073.6,163.7,461.3,2332.1,3075,221.1,88,14.7
0.072002,461.0,40.2,2412.3,164.7,3072.9,158.1,466.7,2343.5,3077.7,220.5,87.5,15.3
0.074002,462.9,41.2,2409.1,151.8,3072.5,146.2,472.8,2355.4,3079.9,220,87.2,15.7
0.076002,464.9,40.7,2406.1,146.2,3071.1,137.1,479.6,2367.7,3081.8,219.5,87,15.9
0.078002,466.7,39.6,2403.3,148.0,3068.7,134.2,486.9,2380.2,3083.5,218.9,86.7,16.2
0.080002,468.6,38.8,2399.9,157.8,3065.7,137.9,494.8,2392.8,3084.8,218.4,86.5,16.3
0.082002,471.1,39.3,2396.9,175.9,3063.2,147.8,503.1,2405.4,3085.9,217.9,86.2,16.2
0.084002,475.0,41.7,2395.7,204.8,3061.1,164.4,511.7,2417.9,3086.7,217.4,85.8,15.8
0.086002,481.4,46.6,2399.3,241.4,3059.7,186.7,520.5,2430,3087.5,216.8,85.3,15.1
0.088002,491.1,53.9,2411.3,273.9,3060.7,211.5,529.4,2441.6,3088.1,216.3,84.7,13.9
0.090002,506.3,62.8,2433.6,295.5,3066.9,235.5,538.4,2452.7,3088.7,215.8,84.1,12.6
0.092002,526.0,70.7,2458.4,307.4,3076.5,252.2,547.3,2463.1,3089.2,215.3,83.4,11.5
0.094002,551.0,75.8,2479.2,313.9,3085.8,262.8,556.1,2472.6,3089.7,214.8,82.8,10.7
0.096002,578.1,76.2,2489.2,306.1,3093.4,268.3,564.6,2481.2,3090.2,214.4,82.2,10.4
0.098002,602.5,72.0,2489.7,280.4,3099.8,269.0,572.7,2488.9,3090.8,213.9,81.8,10.3
0.100002,621.7,64.6,2487.6,246.1,3105.5,265.7,580.5,2495.4,3091.4,213.5,81.5,10.5
0.102002,632.9,57.1,2487.5,218.0,3108.3,259.0,587.7,2500.9,3092.1,213,81.4,10.7
0.104002,637.7,50.8,2490.5,198.6,3108.7,250.4,594.5,2505.3,3092.7,212.6,81.4,10.9
0.106002,637.3,46.3,2496.2,189.5,3108.7,244.4,600.7,2508.6,3093.4,212.2,81.6,11.2
0.108002,633.2,43.2,2502.1,188.9,3109.3,244.5,606.3,2510.7,3094.1,211.8,82,11.7
0.110002,626.9,40.3,2505.4,191.5,3109.7,249.9,611.3,2511.8,3094.8,211.4,82.3,12.2
0.112002,620.9,37.7,2504.0,192.3,3109.1,257.0,615.7,2511.8,3095.4,211,82.7,12.6
0.114002,616.2,35.6,2499.5,191.3,3108.1,263.3,619.4,2510.8,3095.8,210.7,83.1,13
0.116002,614.0,34.1,2494.6,192.8,3106.4,265.7,622.6,2509,3096.1,210.3,83.4,13.2
0.118002,614.2,32.5,2490.3,199.4,3102.7,263.4,625.3,2506.4,3096.2,210,83.7,13.2
0.120002,616.2,30.0,2486.1,210.5,3096.5,257.2,627.4,2503,3095.9,209.6,84,13.3
0.122002,618.9,26.9,2482.4,221.1,3089.7,249.0,629,2499,3095.4,209.3,84.3,13.3
0.124002,621.6,23.1,2480.5,227.2,3083.9,240.3,630.2,2494.6,3094.4,209,84.5,13.5
0.126002,623.3,19.4,2483.0,226.6,3081.0,233.4,631,2489.7,3093,208.7,84.9,13.9
0.128002,624.1,16.6,2489.3,220.4,3081.5,228.9,631.5,2484.5,3091.1,208.3,85.2,14.4
0.130002,624.2,14.6,2495.2,209.3,3083.8,227.1,631.7,2479.1,3088.6,208,85.6,15
0.132002,624.1,13.5,2495.7,198.7,3085.4,230.4,631.6,2473.5,3085.6,207.7,86,15.5
0.134002,624.0,12.9,2490.9,193.9,3085.0,241.0,631.4,2467.9,3082.1,207.4,86.4,15.8
0.136002,624.3,12.7,2483.7,198.6,3083.2,255.5,631.1,2462.4,3077.9,207.1,86.8,16.1
