time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025537,334.0,52.6,2187.3,255.8,3223.9,87.0,329.4,2217.1,3263.6,307.8,66.6,11.4
0.027537,332.9,39.7,2200.9,332.3,3242.9,104.5,331.5,2225.1,3261.8,308.1,68.9,15.5
0.029537,334.6,43.3,2248.1,382.5,3264.2,128.5,334.9,2237.6,3258.4,308.6,70.9,13.6
0.031537,338.5,53.2,2289.0,374.6,3280.3,159.4,339.5,2253.5,3253.2,309.1,72.6,10.2
0.033537,345.1,63.8,2311.9,354.2,3286.6,201.7,345.2,2271.5,3245.7,309.6,74,9.6
0.035537,353.0,71.6,2318.9,342.6,3276.8,254.3,351.7,2289.9,3235.7,310.2,75.1,11.8
0.037537,359.8,77.4,2309.6,350.3,3245.9,301.4,358.8,2307.4,3222.7,310.9,76,14
0.039537,365.0,83.2,2292.4,375.8,3204.3,334.5,366.4,2322.4,3206.7,311.6,76.6,16.1
0.041537,369.6,89.7,2285.0,408.5,3164.5,378.1,374.1,2333.9,3187.6,312.4,77.1,17.9
0.043537,374.5,96.8,2301.9,438.0,3125.8,476.9,381.8,2341.2,3165.8,313.3,77.4,19.5
0.045537,380.3,104.6,2343.1,441.1,3090.9,636.7,389.2,2343.9,3141.7,314.2,77.7,20.9
0.047537,389.5,111.7,2368.4,402.2,3069.7,676.8,396.3,2342.1,3115.9,315.1,77.8,22.2
0.049537,403.5,115.7,2358.9,356.2,3060.4,523.0,403,2336.2,3089.2,316.1,77.8,23.2
0.051537,418.1,116.1,2341.5,320.4,3063.8,371.9,409.4,2326.9,3062.4,317.1,77.8,23.9
0.053537,429.3,117.0,2322.5,302.3,3068.5,283.3,415.4,2314.9,3036.1,318.2,77.8,24.2
0.055537,435.5,121.9,2299.6,288.6,3068.7,248.3,421.3,2301.1,3010.9,319.3,77.8,23.9
0.057537,437.0,130.0,2278.0,268.5,3060.6,258.9,427.3,2286.4,2987.3,320.4,77.8,23.2
0.059537,434.8,138.1,2264.6,251.5,3034.7,311.1,433.7,2271.2,2965.3,321.5,77.7,22.1
0.061537,432.1,143.3,2257.2,245.9,2974.5,368.0,440.7,2255.9,2944.9,322.6,77.7,21.1
0.063537,435.1,145.8,2246.1,239.1,2896.1,342.9,448.6,2240.5,2925.8,323.7,77.7,20.3
0.065537,446.5,147.4,2230.6,215.8,2847.1,262.2,457.5,2224.9,2907.4,324.7,77.7,19.7
0.067537,461.7,148.2,2215.5,192.5,2825.7,207.2,467.5,2208.7,2889.3,325.7,77.8,19.2
0.069537,476.5,149.8,2196.5,181.5,2815.7,186.5,478.4,2191.2,2870.8,326.7,77.8,18.8
0.071537,491.9,152.3,2167.8,177.1,2811.0,183.7,489.9,2171.9,2851.4,327.6,77.9,18.6
0.073537,507.2,154.3,2133.3,172.4,2812.9,186.1,501.7,2150.4,2831,328.4,78,18.7
0.075537,520.2,156.4,2100.8,165.5,2818.7,181.9,513,2126.3,2809.3,329.1,78,19.2
0.077537,528.6,161.9,2075.8,158.8,2819.5,171.0,523.3,2099.5,2786.8,329.8,78,20.2
0.079537,530.8,171.0,2060.4,152.1,2809.4,163.6,531.7,2070.3,2764,330.3,78,21.4
0.081537,530.8,180.0,2046.8,141.5,2788.6,160.9,537.4,2039.1,2741.5,330.8,78,22.2
0.083537,532.6,187.2,2029.0,128.6,2759.7,161.3,539.8,2006.9,2720.4,331.2,77.8,22.4
0.085537,535.5,194.7,2005.6,120.3,2727.5,166.7,538,1974.4,2701.7,331.5,77.5,21.9
0.087537,536.2,204.0,1975.7,120.3,2694.9,179.0,531.9,1942.8,2686.3,331.6,77.2,20.8
0.089537,531.8,213.6,1938.6,127.2,2663.4,195.0,521.2,1913.2,2675.1,331.7,76.6,19.4
0.091537,520.5,220.0,1895.6,135.6,2637.0,207.6,506.2,1886.4,2668.6,331.7,76,17.9
0.093537,500.8,220.7,1851.5,139.8,2623.8,213.4,487.1,1863.1,2667,331.7,75.3,16.7
0.095537,469.9,210.5,1813.5,140.8,2631.3,216.5,465,1843.8,2670,331.5,74.5,15.5
0.097537,429.1,179.1,1787.8,147.1,2657.1,221.3,440.8,1828.7,2677,331.3,73.7,14.3
0.099537,392.1,132.3,1778.3,170.1,2683.6,230.1,415.8,1817.4,2687.1,331,72.8,13.2
0.101537,365.5,88.1,1786.2,220.6,2701.2,250.6,391.3,1809.7,2699.1,330.7,72,12.2
0.103537,351.1,60.0,1810.0,275.1,2715.8,284.1,368.9,1804.7,2711.5,330.4,71.1,11.4
0.105537,344.8,42.9,1833.3,276.8,2739.8,314.2,349.8,1801.9,2723,330,70.2,14.3
0.107537,343.4,33.0,1833.0,236.6,2760.5,327.4,335.2,1800.5,2732.2,329.5,69.2,20.6
0.109537,343.9,27.8,1814.0,196.1,2757.5,337.8,326.1,1800,2738.2,329.1,68,25.5
0.111537,345.1,27.2,1789.5,166.3,2724.5,357.0,323,1799.8,2740.2,328.7,66.6,23.7
