time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025760,279.1,184.0,2055.0,76.2,3142.2,112.2,290,2048,3129,194.3,68.4,29.2
0.027760,280.3,186.4,2056.4,74.8,3147.4,103.1,290.3,2046.9,3128.6,194.4,68.7,29.5
0.029760,284.4,191.9,2057.1,75.3,3141.3,99.6,290.8,2045.1,3127.9,194.5,69,29.6
0.031760,288.9,194.5,2054.9,78.3,3127.8,94.5,291.5,2042.6,3127,194.6,69.3,29.5
0.033760,292.0,193.0,2048.2,82.2,3115.8,84.2,292.3,2039.5,3125.8,194.8,69.6,29.4
0.035760,294.3,190.0,2039.4,84.5,3110.6,73.4,293.2,2035.8,3124.6,194.9,69.9,29.3
0.037760,296.7,187.9,2031.7,82.8,3110.7,66.6,294.1,2031.8,3123.2,195.1,70.2,29.3
0.039760,299.6,186.2,2025.2,76.6,3112.2,63.7,294.9,2027.4,3121.8,195.2,70.5,29.1
0.041760,303.6,183.3,2017.1,67.8,3112.5,61.7,295.7,2022.9,3120.4,195.4,70.8,29
0.043760,309.5,177.8,2006.5,59.1,3111.4,57.5,296.3,2018.2,3119.1,195.5,71.1,28.8
0.045760,315.1,170.4,1995.9,53.2,3110.5,52.3,296.7,2013.6,3118,195.7,71.4,28.8
0.047760,316.1,165.3,1988.5,51.2,3110.1,49.0,296.8,2009.2,3117.1,195.9,71.6,28.7
0.049760,311.9,164.6,1985.3,51.8,3110.1,46.8,296.5,2004.9,3116.5,196.1,71.9,28.6
0.051760,304.8,164.5,1985.2,52.7,3112.2,43.0,295.8,2001.1,3116.2,196.3,72.1,28.5
0.053760,297.3,161.5,1986.4,52.7,3117.2,37.1,294.6,1997.7,3116.3,196.5,72.4,28.5
0.055760,290.7,156.3,1987.9,52.3,3123.6,31.1,293,1994.9,3116.8,196.7,72.6,28.8
0.057760,284.7,151.4,1989.7,52.7,3129.4,26.6,290.8,1992.7,3117.7,197,72.9,29.3
