time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025991,502.0,105.6,2051.7,106.0,2992.8,167.0,540.3,2051.9,2987.4,195.2,70,12.3
0.027991,523.7,100.3,2051.5,92.5,2997.7,149.2,540.7,2053.5,2987.1,195.1,70.3,12.5
0.029991,539.1,93.2,2048.9,91.3,3002.1,143.0,541.3,2056.2,2986.6,195,70.6,12.8
0.031991,547.8,86.4,2047.5,98.5,3001.1,136.1,542.2,2059.9,2985.9,194.8,70.9,13.4
0.033991,552.8,80.9,2054.5,106.2,2995.8,121.2,543.2,2064.3,2985,194.7,71.2,14.2
0.035991,555.3,77.1,2071.5,103.1,2990.4,106.2,544.5,2069.5,2983.9,194.5,71.5,15.5
0.037991,556.4,74.2,2087.3,93.0,2984.4,99.8,545.9,2075.2,2982.5,194.4,71.9,17.3
0.039991,557.2,72.6,2097.7,84.9,2976.1,102.1,547.4,2081.3,2981,194.2,72.2,19.2
0.041991,557.9,72.2,2102.2,82.2,2965.5,109.1,549,2087.5,2979.3,194,72.5,21
0.043991,558.3,71.5,2103.5,83.8,2953.2,115.7,550.6,2093.6,2977.4,193.8,72.7,22.2
0.045991,558.4,69.1,2103.0,87.8,2943.6,117.9,552.3,2099.5,2975.4,193.6,72.9,22.7
0.047991,558.5,64.8,2101.9,91.3,2941.6,115.4,553.9,2105,2973.1,193.4,73.1,22.9
0.049991,558.7,58.4,2100.8,92.0,2947.7,108.9,555.5,2109.9,2970.7,193.1,73.2,22.8
0.051991,559.1,52.7,2101.4,89.4,2957.1,100.2,556.9,2114,2968.1,192.9,73.3,22.6
0.053991,559.5,48.9,2106.0,85.6,2966.0,92.1,558.3,2117.3,2965.3,192.7,73.4,22.4
0.055991,559.8,47.2,2113.5,81.7,2972.2,87.3,559.5,2119.5,2962.4,192.4,73.4,22.3
0.057991,560.0,46.2,2119.6,78.3,2975.4,85.5,560.6,2120.7,2959.3,192.1,73.4,22.2
0.059991,560.0,44.7,2122.0,75.7,2975.9,86.7,561.5,2120.8,2956.1,191.8,73.3,22
0.061991,559.8,42.7,2121.3,75.7,2973.6,91.7,562.2,2119.8,2952.7,191.6,73.3,21.7
0.063991,559.3,41.2,2120.0,80.1,2968.5,100.3,562.7,2117.8,2949.1,191.3,73.2,21.4
0.065991,558.7,40.6,2120.3,89.8,2960.7,109.6,563,2114.7,2945.4,191,73,21.1
0.067991,558.1,40.2,2119.8,100.7,2949.8,115.5,563.2,2110.7,2941.6,190.7,72.9,20.7
0.069991,557.5,38.7,2114.2,106.5,2934.6,117.2,563.2,2105.9,2937.6,190.4,72.8,20.2
0.071991,557.4,35.5,2104.1,103.4,2918.5,116.1,563,2100.4,2933.5,190.1,72.6,19.8
0.073991,557.7,31.6,2094.9,96.1,2906.5,115.3,562.7,2094.4,2929.4,189.7,72.4,19.3
0.075991,558.1,28.1,2090.6,91.9,2907.6,117.8,562.2,2088,2925.1,189.4,72.3,18.8
0.077991,558.5,24.9,2088.4,92.7,2922.9,121.5,561.7,2081.4,2920.8,189.1,72.1,18.3
0.079991,559.1,21.3,2082.7,98.3,2942.8,120.8,561.1,2074.8,2916.4,188.8,72,17.7
0.081991,559.6,17.8,2071.3,110.6,2948.1,115.3,560.4,2068.3,2912.1,188.5,72,17.3
0.083991,560.1,15.1,2053.1,128.1,2930.8,110.0,559.6,2062.1,2907.7,188.2,71.9,17
0.085991,560.5,13.0,2034.3,127.3,2899.5,107.2,558.8,2056.3,2903.4,187.8,72,16.8
0.087991,560.7,11.5,2025.1,104.0,2874.2,109.8,558.1,2051,2899.1,187.5,72,16.7
0.089991,560.7,10.4,2024.8,82.8,2867.8,120.8,557.3,2046.3,2894.9,187.2,72.1,16.8
0.091991,560.4,9.7,2028.0,74.5,2880.8,135.1,556.5,2042.3,2890.8,186.9,72.1,16.8
0.093991,559.7,9.2,2031.8,76.5,2895.0,146.0,555.7,2039,2886.9,186.6,72.2,16.9
0.095991,559.2,8.8,2036.7,85.7,2891.0,152.3,555,2036.4,2883.1,186.3,72.2,17.1
0.097991,558.6,8.8,2045.0,98.5,2869.8,155.0,554.3,2034.5,2879.5,186,72.3,17.4
0.099991,557.9,9.2,2057.1,116.6,2844.7,156.1,553.6,2033.3,2876.2,185.7,72.3,17.7
0.101991,557.1,9.8,2065.5,136.8,2834.2,157.3,553,2032.7,2873,185.5,72.3,18
0.103991,556.1,10.9,2063.2,152.6,2841.9,160.6,552.3,2032.5,2870.2,185.2,72.3,18.2
0.105991,554.8,12.3,2051.2,157.3,2862.8,168.5,551.7,2032.8,2867.6,184.9,72.3,18.5
0.107991,553.1,13.9,2039.6,158.2,2886.7,180.1,551.1,2033.3,2865.2,184.6,72.3,18.7
0.109991,550.7,16.0,2031.1,165.8,2903.7,189.9,550.5,2033.9,2863.2,184.4,72.3,18.9
0.111991,548.4,18.0,2023.7,179.5,2905.7,192.6,549.9,2034.5,2861.4,184.1,72.3,19.1
0.113991,546.5,19.5,2014.7,191.1,2895.0,188.1,549.2,2034.9,2859.9,183.9,72.2,19.4
0.115991,545.3,20.2,2007.8,193.5,2877.3,179.3,548.5,2035,2858.6,183.6,72.1,19.8
0.117991,544.2,21.0,2010.8,195.1,2860.8,176.6,547.8,2034.7,2857.6,183.4,72,20.1
0.119991,542.7,22.9,2026.5,206.7,2847.9,189.4,547,2033.8,2856.8,183.1,71.9,20.6
0.121991,540.9,25.2,2044.8,219.8,2838.8,212.1,546.2,2032.3,2856.2,182.9,71.8,21
0.123991,539.2,26.9,2053.9,215.5,2833.2,224.5,545.3,2030,2855.8,182.7,71.6,21.4
0.125991,538.2,27.1,2048.9,189.2,2835.3,207.2,544.4,2026.9,2855.6,182.5,71.5,21.8
0.127991,538.0,25.7,2035.2,159.2,2843.1,169.6,543.4,2022.9,2855.5,182.2,71.3,22.2
0.129991,538.3,23.5,2015.5,136.8,2853.3,127.9,542.4,2018.1,2855.5,182,71.1,22.6
0.131991,539.1,21.7,1994.3,125.1,2863.3,98.3,541.3,2012.3,2855.6,181.8,70.9,23
0.133991,540.0,20.6,1978.7,116.1,2871.2,81.7,540.2,2005.7,2855.7,181.6,70.8,23.2
0.135991,540.7,19.8,1977.6,102.3,2873.0,78.3,539.1,1998.3,2855.9,181.4,70.6,23.4
0.137991,541.0,19.4,1982.2,85.6,2867.0,85.1,537.9,1990.2,2856.1,181.3,70.4,23.5
0.139991,540.8,19.4,1980.2,71.3,2852.9,101.4,536.8,1981.4,2856.3,181.1,70.3,23.6
0.141991,540.1,20.0,1971.4,63.6,2836.7,126.1,535.6,1972.1,2856.5,180.9,70.2,23.6
0.143991,539.1,20.5,1960.7,59.6,2827.1,154.6,534.5,1962.5,2856.6,180.7,70.2,23.6
0.145991,538.1,20.1,1952.1,56.8,2831.4,167.6,533.4,1952.6,2856.7,180.6,70.1,23.6
0.147991,537.0,19.1,1945.3,55.2,2843.6,159.8,532.3,1942.5,2856.8,180.4,70.1,23.6
0.149991,535.7,18.5,1938.4,55.1,2856.6,148.2,531.2,1932.5,2856.8,180.2,70.1,23.5
0.151991,534.4,18.4,1932.8,56.7,2868.1,148.3,530.3,1922.8,2856.8,180.1,70.1,23.4
0.153991,533.2,18.8,1930.2,59.7,2878.5,160.6,529.3,1913.4,2856.7,180,70.1,23.4
0.155991,531.9,19.0,1929.7,65.0,2882.5,175.2,528.5,1904.5,2856.7,179.8,70.1,23.4
0.157991,530.4,19.3,1926.9,74.0,2879.8,180.2,527.7,1896.2,2856.6,179.7,70,23.5
0.159991,528.6,19.9,1917.1,87.1,2874.0,169.7,527.1,1888.8,2856.5,179.6,70,23.6
0.161991,526.5,20.7,1902.7,99.2,2866.7,145.6,526.5,1882.3,2856.3,179.5,70,23.6
0.163991,524.3,21.2,1888.4,107.8,2857.0,114.5,526,1876.8,2856.2,179.4,69.9,23.5
0.165991,522.4,20.8,1874.7,113.8,2848.5,87.6,525.6,1872.5,2856.1,179.3,69.8,23.2
0.167991,520.6,19.9,1856.8,120.2,2843.5,70.9,525.3,1869.3,2856.1,179.2,69.7,22.8
0.169991,518.8,19.2,1830.2,122.7,2840.7,63.6,525.2,1867.4,2856,179.1,69.5,22.4
0.171991,517.3,18.9,1805.3,112.2,2839.1,65.9,525.1,1866.7,2856,179,69.3,22.1
