time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.024991,228.7,44.2,1973.1,272.2,2797.8,86.5,206.4,1965.7,2837.7,211,78.1,30.3
0.026991,227.3,42.3,1966.4,270.1,2802.5,90.6,210.9,1968.6,2838.3,211.3,78.2,30.7
0.028991,225.5,39.6,1974.2,271.4,2811.9,99.4,218.3,1973.3,2839.4,211.8,78.3,31.1
0.030991,224.3,36.8,1991.8,253.7,2831.1,114.5,228.4,1979.8,2841.1,212.4,78.4,31.3
0.032991,224.2,35.4,2006.6,205.5,2858.5,130.5,240.9,1988,2843.5,213.1,78.4,31
0.034991,226.5,37.9,2011.1,151.7,2883.6,137.9,255.5,1997.7,2846.6,213.7,78.4,29.9
0.036991,233.5,49.0,2010.5,111.0,2897.9,133.1,271.8,2008.9,2850.7,214.4,78.4,28
0.038991,250.2,75.2,2010.0,84.1,2898.1,121.8,289.5,2021.2,2855.8,215.1,78.3,25.6
0.040991,286.0,111.2,2013.6,69.9,2885.0,114.4,308.1,2034.7,2862,215.9,78.2,23
0.042991,334.3,120.2,2025.8,66.5,2864.1,118.0,327.2,2049,2869.5,216.6,78,20.6
0.044991,371.6,110.1,2048.7,69.8,2849.9,135.2,346.3,2064,2878.2,217.4,77.8,18.7
0.046991,397.2,99.4,2078.0,73.6,2857.7,163.2,365.1,2079.4,2888.2,218.2,77.5,17
0.048991,415.6,86.2,2104.3,73.7,2884.4,191.2,383.1,2095.1,2899.5,219,77.2,15.5
0.050991,429.4,69.4,2122.1,72.1,2912.8,214.6,400,2110.8,2911.9,219.8,76.9,14
0.052991,439.4,52.8,2131.6,71.0,2932.5,235.2,415.6,2126.3,2925.2,220.6,76.6,12.8
0.054991,446.2,39.0,2135.7,71.7,2945.7,253.6,429.5,2141.5,2939.4,221.4,76.5,11.7
0.056991,450.9,27.9,2139.7,75.6,2961.0,275.0,441.6,2156.2,2954,222.2,76.4,10.7
0.058991,454.1,19.4,2151.3,82.9,2986.1,293.2,451.8,2170.3,2968.8,222.9,76.5,9.9
0.060991,456.3,13.9,2173.5,89.0,3017.9,260.9,460,2183.5,2983.5,223.7,76.6,9.3
0.062991,457.5,11.6,2199.2,86.7,3029.3,186.1,466.3,2195.9,2997.6,224.4,76.9,9
0.064991,457.7,11.8,2219.2,77.5,3027.4,129.7,470.7,2207.2,3010.8,225.1,77.2,9.3
0.066991,457.2,13.7,2231.0,69.4,3024.5,99.8,473.4,2217.5,3022.8,225.8,77.5,10.1
0.068991,456.7,16.4,2237.2,65.4,3022.6,88.1,474.6,2226.8,3033.1,226.4,77.8,11.3
0.070991,456.3,19.3,2241.3,64.5,3022.0,87.3,474.4,2234.9,3041.4,227,78,12.6
0.072991,456.2,21.8,2246.0,64.8,3023.1,90.5,473.1,2242,3047.4,227.6,78.2,13.8
0.074991,456.4,23.6,2252.0,64.6,3024.0,93.7,471,2248,3050.9,228.1,78.3,14.7
0.076991,457.1,24.5,2257.9,63.4,3023.0,96.4,468.3,2253.1,3051.8,228.6,78.4,15.3
0.078991,458.1,24.4,2262.4,61.1,3020.0,99.1,465.3,2257.2,3050,229.1,78.4,15.9
0.080991,459.2,23.8,2264.5,58.3,3016.6,103.2,462.2,2260.5,3045.5,229.6,78.3,16.4
0.082991,460.1,22.6,2264.9,55.4,3014.0,110.4,459.3,2263,3038.3,230,78.1,16.9
0.084991,461.0,21.0,2265.3,52.6,3011.6,120.6,456.7,2264.9,3028.8,230.3,77.9,17.5
0.086991,461.7,18.8,2266.4,50.4,3008.1,132.4,454.5,2266.3,3017.2,230.7,77.7,18.1
0.088991,462.6,16.2,2267.7,50.0,3003.2,144.4,453,2267.2,3003.8,231,77.4,18.7
0.090991,463.5,13.7,2268.1,52.0,2998.7,157.1,452.1,2267.8,2989.1,231.3,77.2,19.2
0.092991,464.5,11.6,2267.0,56.3,2995.5,173.3,451.9,2268.2,2973.5,231.6,77,19.7
0.094991,465.3,10.3,2264.3,61.3,2992.2,195.6,452.3,2268.4,2957.5,231.8,76.9,20.2
0.096991,465.7,9.7,2260.9,65.1,2986.5,223.1,453.5,2268.5,2941.6,232,76.9,20.5
0.098991,465.8,10.0,2258.2,66.7,2977.7,251.5,455.1,2268.5,2926.4,232.2,76.9,20.7
0.100991,465.4,10.8,2258.0,67.0,2967.2,276.8,457.2,2268.5,2912.3,232.4,76.9,21
0.102991,464.9,12.0,2260.6,67.0,2954.6,301.5,459.6,2268.5,2899.9,232.6,77,21.3
0.104991,464.5,13.2,2265.0,66.9,2934.7,331.9,462.2,2268.6,2889.3,232.7,77.2,21.9
0.106991,464.5,14.2,2268.6,66.6,2901.5,366.3,464.9,2268.5,2881.1,232.8,77.3,22.7
0.108991,464.9,14.7,2269.8,67.2,2855.9,393.8,467.4,2268.4,2875.4,232.9,77.4,23.5
0.110991,465.5,14.7,2268.3,69.6,2810.7,408.4,469.7,2268.2,2872.3,233,77.5,24.4
0.112991,465.9,14.6,2265.7,73.1,2786.3,416.3,471.7,2267.8,2871.8,233.1,77.7,25.3
0.114991,466.0,14.4,2263.3,76.0,2793.3,422.7,473.3,2267,2873.9,233.2,77.8,26
0.116991,465.8,14.1,2261.7,77.8,2820.8,421.2,474.3,2266,2878.4,233.2,77.9,26.6
0.118991,465.7,13.7,2261.3,78.7,2851.8,407.6,474.8,2264.4,2885,233.3,78,27.1
0.120991,465.7,13.0,2261.8,78.7,2879.5,383.7,474.8,2262.3,2893.3,233.3,78.1,27.7
0.122991,465.7,12.3,2262.4,78.2,2905.7,349.3,474.3,2259.5,2902.9,233.3,78.3,28.2
0.124991,465.6,11.6,2262.5,78.1,2931.4,305.8,473.3,2256,2913.4,233.4,78.4,28.7
