time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025880,327.5,219.1,2119.6,48.2,2735.2,262.3,328,2126.5,2717.5,198.7,70.3,13
0.027880,326.5,190.5,2125.5,47.9,2723.5,255.7,328.8,2128.8,2715.3,198.8,71.1,14.2
0.029880,329.5,167.2,2132.4,48.7,2704.8,246.1,330.3,2132.3,2711.8,198.9,71.8,15.4
0.031880,333.9,150.4,2139.6,51.3,2689.6,236.8,332.3,2137,2707.7,199,72.5,16.4
0.033880,337.5,139.0,2144.9,55.8,2684.1,232.7,334.8,2142.5,2703.5,199.1,73.2,17.5
0.035880,340.0,130.4,2149.1,62.1,2686.8,231.9,337.7,2148.5,2699.8,199.2,73.8,18.6
0.037880,342.2,124.8,2154.7,67.8,2695.3,229.0,341.1,2154.5,2697.1,199.3,74.4,19.7
0.039880,344.3,121.4,2162.9,70.7,2707.7,223.1,344.8,2160.4,2695.9,199.3,74.9,21.1
0.041880,346.5,119.6,2171.2,70.8,2719.1,219.6,348.8,2165.7,2696.4,199.4,75.4,22.6
0.043880,349.4,119.0,2175.4,69.4,2723.7,223.6,353,2170.4,2698.6,199.5,75.9,24.1
0.045880,354.3,119.0,2175.7,67.9,2719.8,238.3,357.2,2174.1,2702.2,199.5,76.3,25.4
0.047880,360.9,118.8,2174.7,67.3,2709.5,262.8,361.3,2176.9,2706.8,199.6,76.7,26.4
0.049880,367.9,117.0,2174.9,67.8,2696.7,293.9,365.3,2178.8,2711.7,199.6,77.1,27
0.051880,373.3,113.7,2176.7,68.6,2688.6,325.4,369.1,2179.9,2716.2,199.6,77.4,27.4
0.053880,375.8,110.7,2179.2,67.9,2693.9,345.9,372.5,2180.4,2719.5,199.6,77.7,27.6
0.055880,376.5,109.0,2181.2,65.0,2709.7,345.7,375.5,2180.5,2720.9,199.6,78,27.6
0.057880,376.8,108.4,2182.0,61.1,2720.0,328.1,378,2180.5,2719.9,199.6,78.2,27.6
0.059880,377.7,108.4,2181.8,57.8,2718.7,310.8,380.1,2180.6,2716.1,199.6,78.4,27.3
0.061880,379.4,108.4,2181.3,55.5,2710.3,301.5,381.7,2181,2709.7,199.6,78.5,26.9
0.063880,381.5,108.5,2180.6,54.5,2701.2,299.3,382.9,2181.9,2701,199.5,78.7,26.4
0.065880,383.0,110.7,2180.1,54.9,2696.2,298.9,383.7,2183.4,2690.5,199.5,78.7,25.8
0.067880,383.6,116.5,2180.3,58.5,2698.1,306.3,384.1,2185.5,2679.2,199.4,78.8,25.4
0.069880,384.1,123.9,2181.2,68.7,2703.1,333.4,384.2,2188.2,2668.1,199.4,78.9,25
0.071880,384.4,130.9,2183.5,88.6,2702.1,372.7,384.1,2191.3,2658.3,199.3,78.9,24.6
0.073880,384.7,135.5,2187.8,120.1,2684.4,412.6,383.8,2194.6,2650.9,199.2,78.9,24.3
0.075880,385.1,138.0,2195.7,170.2,2646.5,455.9,383.4,2197.9,2646.8,199.2,78.9,24
0.077880,385.5,140.3,2210.1,235.1,2598.9,514.9,382.7,2201,2646.6,199.1,78.9,23.7
0.079880,384.6,145.9,2233.1,290.0,2553.4,621.6,381.8,2203.6,2650.6,199,78.9,23.6
0.081880,381.8,156.6,2244.8,289.0,2549.9,784.8,380.7,2205.4,2658.6,199,78.9,23.6
0.083880,378.0,170.7,2225.5,250.8,2649.4,889.3,379.1,2206.2,2670.1,198.9,78.8,23.6
0.085880,373.6,186.6,2197.7,206.4,2773.0,712.8,377,2205.9,2684.1,198.8,78.7,23.6
0.087880,369.2,199.3,2179.3,175.4,2776.7,581.9,374.3,2204.4,2699.2,198.7,78.7,23.6
0.089880,366.2,205.7,2171.0,161.4,2753.5,543.7,370.9,2201.6,2714.2,198.7,78.6,23.4
0.091880,366.2,208.0,2169.2,157.8,2720.4,532.0,366.7,2197.7,2727.4,198.6,78.4,23.2
0.093880,367.6,212.8,2171.5,155.5,2707.4,519.1,361.7,2192.7,2737.3,198.6,78.3,23.1
0.095880,365.2,226.7,2177.0,149.1,2737.4,501.3,355.7,2186.7,2742.7,198.5,78.1,22.9
0.097880,353.4,245.8,2183.1,139.9,2799.2,473.9,349,2180.1,2742.8,198.5,77.9,22.9
0.099880,335.1,254.7,2186.5,133.3,2860.4,453.1,341.5,2172.9,2737.1,198.5,77.7,23.1
0.101880,322.6,251.6,2185.8,134.2,2715.2,2575.3,333.5,2165.6,2725.6,198.5,77.4,23.6
0.103880,319.8,249.4,2180.7,142.4,2567.2,1825.4,325.1,2158.3,2708.9,198.5,77.2,24
0.105880,319.1,251.4,2169.9,147.2,2542.1,1508.2,316.7,2151.2,2688.2,198.4,76.9,24.2
0.107880,315.7,256.1,2156.1,136.6,2610.3,1496.6,308.6,2144.7,2664.8,198.4,76.6,24
0.109880,309.7,259.9,2144.2,114.5,2692.4,1650.6,300.9,2138.8,2640.6,198.5,76.2,23.3
0.111880,298.8,256.5,2135.9,91.1,2713.0,1867.4,294.2,2133.8,2617.4,198.5,75.8,22.3
0.113880,285.4,239.8,2129.3,74.1,2666.7,2030.2,288.6,2129.8,2597.1,198.5,75.4,21
0.115880,276.6,213.2,2121.7,63.8,2589.7,2046.4,284.4,2126.8,2581.2,198.5,74.9,19.6
0.117880,277.5,188.9,2112.4,60.0,2542.5,1955.6,281.8,2125,2571.2,198.5,74.4,18.4
0.119880,284.6,168.7,2101.7,60.0,2547.9,2050.9,280.9,2124.4,2567.7,198.6,73.9,17.3
