time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025991,339.4,92.3,2421.2,527.9,3161.3,180.6,368.1,2490.3,3167.9,266.5,70.1,12.2
0.027991,349.6,107.5,2435.9,484.4,3171.9,161.0,370.1,2491.7,3168.5,266,70.6,13.6
0.029991,362.3,121.4,2466.9,454.6,3181.9,144.0,373.4,2493.9,3169.6,265.6,71.1,14.7
0.031991,375.6,130.4,2498.6,452.0,3190.8,136.3,377.9,2496.9,3171,265.1,71.4,15.8
0.033991,389.2,133.7,2526.9,488.4,3197.7,139.5,383.6,2500.6,3173,264.6,71.6,16.7
0.035991,400.5,132.1,2552.4,563.5,3200.1,156.3,390.2,2505,3175.4,264.1,71.8,17.5
0.037991,408.1,129.5,2572.4,622.9,3197.1,182.7,397.8,2509.8,3178.3,263.5,71.9,18.1
0.039991,413.9,127.9,2574.6,582.9,3192.6,206.5,406,2514.9,3181.7,263,71.9,18.6
0.041991,420.6,127.0,2557.2,465.8,3188.1,209.2,414.8,2520.3,3185.7,262.4,71.9,19
0.043991,431.6,124.2,2537.3,349.7,3179.0,200.1,423.9,2525.6,3190.1,261.9,71.9,19.4
0.045991,445.2,118.1,2524.8,270.4,3164.8,199.9,433.2,2530.9,3195,261.3,71.9,19.9
0.047991,456.9,110.4,2520.6,223.3,3147.6,222.7,442.5,2535.8,3200.4,260.7,71.9,20.3
0.049991,464.9,103.9,2524.1,191.3,3129.2,289.5,451.7,2540.4,3206,260.1,72,20.7
0.051991,469.1,100.3,2533.2,162.0,3124.2,412.1,460.5,2544.4,3211.9,259.5,72.1,21.1
0.053991,472.7,96.8,2539.9,123.6,3160.6,558.9,468.8,2547.7,3217.8,258.9,72.1,21.4
0.055991,477.8,90.5,2538.8,90.6,3228.2,585.2,476.4,2550.2,3223.7,258.3,72.2,21.9
0.057991,483.2,82.2,2536.6,69.5,3273.4,494.1,483.4,2551.9,3229.3,257.7,72.2,22.4
0.059991,487.8,73.4,2536.0,54.1,3293.5,380.9,489.5,2552.7,3234.6,257.1,72.2,22.8
0.061991,491.4,65.3,2536.8,43.3,3297.7,295.6,494.6,2552.5,3239.2,256.5,72.2,23.1
0.063991,494.6,57.8,2538.0,35.5,3294.4,233.8,498.8,2551.5,3243,255.9,72.2,23.2
0.065991,496.9,52.3,2538.9,31.5,3287.3,193.5,502.1,2549.6,3245.9,255.3,72.2,22.9
0.067991,498.1,49.0,2538.5,30.7,3277.3,169.1,504.3,2546.9,3247.6,254.7,72.3,22.3
0.069991,498.3,46.8,2536.9,32.4,3264.3,154.2,505.6,2543.4,3248,254.1,72.4,21.7
0.071991,497.8,45.4,2535.3,35.6,3251.0,147.8,506,2539.4,3247.1,253.5,72.5,21.1
0.073991,497.0,44.1,2534.9,39.7,3237.5,146.5,505.5,2534.9,3244.6,252.9,72.7,20.8
0.075991,495.8,43.1,2536.1,44.0,3225.7,147.9,504.3,2530.1,3240.7,252.3,72.9,20.8
0.077991,494.3,42.3,2538.3,48.2,3216.3,150.2,502.4,2525.1,3235.2,251.7,73.1,21.1
0.079991,492.4,41.4,2540.9,52.7,3208.1,153.0,499.9,2520.1,3228.3,251.1,73.3,21.5
0.081991,490.7,40.4,2542.3,56.6,3200.1,155.6,497,2515.4,3220.1,250.4,73.5,21.9
0.083991,489.3,39.2,2540.8,59.4,3191.0,157.3,493.7,2511,3210.6,249.8,73.6,22
0.085991,488.4,38.4,2535.1,60.2,3181.6,156.1,490.3,2507.1,3200.2,249.1,73.8,21.8
0.087991,487.9,38.0,2525.7,58.4,3173.2,151.2,486.7,2503.8,3189.1,248.5,73.9,21.4
0.089991,487.6,38.1,2513.3,54.4,3166.3,142.5,483.2,2501.3,3177.4,247.8,74,21
0.091991,487.3,38.5,2500.8,50.0,3162.4,132.8,479.7,2499.6,3165.6,247.1,74,20.5
0.093991,486.7,39.2,2488.3,47.1,3159.7,123.3,476.4,2498.9,3153.8,246.5,74,20.3
0.095991,485.2,40.8,2477.7,47.6,3154.0,118.2,473.4,2499.1,3142.5,245.8,74,20.2
0.097991,482.7,43.0,2470.6,51.7,3142.9,121.3,470.8,2500.2,3131.8,245.1,73.9,20.2
0.099991,479.2,45.4,2468.3,59.1,3126.8,133.4,468.4,2502.1,3121.9,244.4,73.9,20.3
0.101991,475.4,47.4,2472.2,68.0,3111.4,149.7,466.5,2504.8,3113.3,243.6,73.8,20.5
0.103991,471.5,48.6,2482.8,78.2,3099.9,166.1,464.9,2508.1,3105.9,242.9,73.7,20.6
0.105991,467.9,49.1,2498.0,88.8,3092.5,178.5,463.8,2511.8,3099.9,242.2,73.6,20.8
0.107991,465.0,49.0,2512.6,98.2,3088.2,185.8,463,2515.8,3095.5,241.5,73.6,21.1
0.109991,462.8,48.6,2524.9,105.0,3089.6,187.2,462.5,2519.8,3092.5,240.7,73.5,21.4
0.111991,461.3,48.0,2534.4,106.5,3097.6,183.4,462.3,2523.5,3090.9,240,73.6,21.6
0.113991,460.4,47.4,2542.8,103.2,3107.1,179.8,462.4,2526.6,3090.7,239.3,73.7,21.6
0.115991,459.6,46.6,2547.3,99.1,3110.9,185.4,462.6,2529,3091.5,238.5,73.8,21.3
0.117991,458.2,45.2,2545.7,98.2,3110.1,205.4,463,2530.3,3093.1,237.8,74,20.8
0.119991,456.1,42.7,2539.2,98.8,3110.8,234.5,463.3,2530.2,3095.4,237,74.2,20.2
0.121991,454.5,40.0,2531.9,96.3,3114.3,247.2,463.7,2528.5,3097.8,236.3,74.4,19.6
0.123991,453.7,37.6,2526.2,90.4,3116.4,234.6,463.9,2524.9,3100.2,235.6,74.7,19.3
0.125991,453.6,35.6,2522.1,84.3,3114.9,213.1,464,2519.3,3102.1,234.8,74.9,19.4
0.127991,453.8,33.7,2517.4,80.2,3110.3,200.6,463.9,2511.5,3103.2,234.1,75.2,19.7
0.129991,454.3,31.4,2510.4,79.2,3100.7,199.2,463.5,2501.4,3103.1,233.4,75.5,20.1
0.131991,455.1,28.7,2501.9,83.2,3085.5,202.6,462.9,2488.9,3101.6,232.6,75.8,20.4
0.133991,456.3,25.5,2489.9,95.2,3066.0,204.0,461.9,2474.1,3098.4,231.9,76.1,20.3
0.135991,457.8,22.0,2469.8,116.0,3047.3,203.1,460.6,2457,3093.3,231.2,76.4,19.8
0.137991,459.0,18.7,2439.0,138.2,3034.2,201.8,459,2437.8,3086.3,230.5,76.7,19.1
0.139991,459.7,15.7,2400.6,150.5,3030.7,201.9,457.1,2416.6,3077.2,229.8,77,18.2
0.141991,459.7,13.3,2370.5,149.6,3037.7,205.9,454.8,2393.7,3066,229.1,77.2,17.4
0.143991,459.0,11.3,2349.4,145.9,3047.5,212.3,452.3,2369.4,3053,228.4,77.5,16.8
0.145991,458.0,9.8,2331.1,145.2,3050.7,220.8,449.6,2344.1,3038.3,227.7,77.7,16.4
0.147991,456.9,8.9,2307.4,144.6,3046.8,231.7,446.7,2318.1,3022.2,227,77.9,16.3
0.149991,455.7,8.5,2275.8,137.7,3041.5,242.5,443.7,2291.9,3005,226.3,78,16.2
0.151991,454.5,8.7,2248.3,124.9,3038.4,249.3,440.7,2265.9,2987.2,225.7,78.2,16.1
0.153991,452.9,9.5,2228.9,112.2,3031.1,257.3,437.7,2240.5,2969,225,78.2,15.8
