time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025385,418.4,104.7,2022.1,118.5,2919.7,114.0,429,2037.7,2927.8,274.4,75.7,8.9
0.027385,429.4,109.3,2029.5,120.0,2924.3,110.2,429.3,2040.1,2929.8,274.6,76.3,9.9
0.029385,434.9,110.8,2040.5,122.5,2929.3,115.9,429.9,2044,2933,274.7,76.9,10.8
0.031385,436.7,109.6,2052.2,123.3,2933.7,126.7,430.8,2049.2,2937.1,274.9,77.5,11.6
0.033385,436.6,107.6,2063.3,122.0,2939.3,138.7,431.9,2055.4,2941.8,275,78,12.3
0.035385,436.0,105.6,2072.0,120.6,2946.4,148.8,433.3,2062.4,2946.7,275.2,78.4,13.1
0.037385,435.7,104.3,2079.0,120.6,2954.4,155.3,434.9,2069.9,2951.5,275.3,78.8,13.8
0.039385,436.2,104.8,2085.3,120.9,2962.6,157.6,436.8,2077.6,2955.7,275.4,79.2,14.4
0.041385,437.4,107.1,2090.6,120.8,2969.8,157.4,438.9,2085.2,2959,275.5,79.5,15.1
0.043385,439.0,110.3,2095.3,120.6,2974.5,157.4,441.3,2092.5,2961.1,275.6,79.7,15.8
0.045385,440.9,113.2,2100.3,121.4,2973.8,160.2,443.9,2099.3,2961.8,275.7,79.9,16.6
0.047385,443.0,114.9,2105.8,121.8,2966.8,164.6,446.7,2105.5,2960.9,275.7,80,17.7
0.049385,445.9,116.3,2110.3,119.5,2956.5,166.4,449.6,2110.9,2958.4,275.7,80.1,19
0.051385,449.6,118.4,2112.7,115.4,2947.9,164.7,452.7,2115.7,2954.5,275.7,80.2,20.4
0.053385,454.4,121.2,2114.1,111.9,2942.2,162.7,455.7,2119.8,2949.2,275.6,80.3,21.6
0.055385,459.5,122.7,2115.7,110.8,2938.1,163.6,458.8,2123.3,2942.8,275.6,80.3,22.4
0.057385,464.3,121.9,2118.6,111.2,2933.0,167.3,461.9,2126.4,2935.7,275.4,80.4,23
0.059385,468.5,119.2,2123.1,110.8,2926.4,171.5,464.9,2129.3,2928.1,275.3,80.4,23.3
0.061385,471.7,115.7,2128.8,108.8,2919.5,175.4,467.8,2132.1,2920.4,275.1,80.5,23.4
0.063385,474.3,110.8,2135.1,105.7,2911.7,181.4,470.6,2135,2913.1,274.9,80.6,23.4
0.065385,476.3,103.8,2140.8,103.0,2902.3,190.7,473.3,2138,2906.2,274.6,80.7,23.1
0.067385,477.9,95.0,2145.2,100.5,2890.6,201.3,475.9,2141.2,2900.1,274.4,80.8,22.6
0.069385,479.3,85.5,2148.6,96.8,2879.5,209.3,478.4,2144.6,2895,274,80.9,21.9
0.071385,480.6,77.3,2151.8,90.8,2874.9,214.4,480.8,2148.1,2890.8,273.7,80.9,21
0.073385,482.0,70.6,2155.7,82.7,2880.7,219.4,483.3,2151.7,2887.5,273.3,81,20.1
0.075385,483.6,65.9,2159.9,74.4,2895.0,225.2,485.7,2155,2885.1,272.9,81.1,19.5
0.077385,485.4,62.7,2163.4,67.5,2909.4,230.1,488.3,2157.9,2883.2,272.5,81.1,19
0.079385,487.7,60.6,2164.5,62.9,2913.2,230.7,491,2160,2881.8,272,81.2,18.5
0.081385,490.5,59.3,2162.3,60.7,2902.6,222.7,493.8,2161,2880.3,271.5,81.2,18.2
0.083385,494.1,59.0,2157.0,59.8,2884.0,203.8,496.8,2160.5,2878.7,271,81.3,18
0.085385,498.2,59.7,2150.8,59.4,2868.6,182.4,499.9,2158.4,2876.6,270.5,81.3,17.9
0.087385,502.5,61.6,2145.1,59.4,2859.8,167.1,503.2,2154.2,2873.8,269.9,81.4,18.2
0.089385,507.0,64.4,2139.7,59.7,2856.2,159.8,506.7,2147.8,2870,269.3,81.4,18.8
0.091385,511.4,67.8,2134.1,60.7,2856.0,158.3,510.2,2139.1,2865.2,268.7,81.4,19.4
0.093385,515.9,71.2,2126.9,62.9,2857.1,160.4,513.7,2127.8,2859.4,268.1,81.4,19.9
0.095385,520.0,73.9,2117.6,67.6,2856.4,165.7,517.1,2114.2,2852.6,267.5,81.4,20
0.097385,523.5,75.0,2105.3,75.8,2850.4,175.3,520.3,2098.2,2844.9,266.9,81.3,19.6
0.099385,526.2,74.4,2089.1,88.0,2837.7,187.4,523.2,2080,2836.7,266.3,81.3,18.7
0.101385,527.9,72.6,2069.3,102.6,2821.4,193.9,525.8,2060,2828.1,265.7,81.2,17.7
0.103385,529.0,69.9,2043.5,117.5,2806.1,186.9,527.9,2038.5,2819.6,265,81.2,16.8
0.105385,529.6,67.1,2013.7,126.2,2798.0,167.7,529.4,2015.8,2811.3,264.4,81.2,16.3
0.107385,529.7,65.0,1983.6,124.2,2796.3,145.8,530.3,1992.3,2803.6,263.8,81.2,16.2
0.109385,529.5,63.7,1957.8,113.6,2796.9,127.1,530.5,1968.6,2796.9,263.2,81.3,16.5
0.111385,528.8,62.9,1937.2,100.8,2796.5,113.7,530.2,1944.9,2791.2,262.6,81.3,17
0.113385,527.6,61.7,1917.9,89.1,2794.6,105.0,529.2,1921.8,2786.7,262,81.4,17.4
0.115385,525.7,59.7,1899.7,80.5,2792.6,102.5,527.6,1899.7,2783.6,261.4,81.4,17.6
0.117385,523.4,57.6,1882.5,75.1,2792.6,106.2,525.7,1878.8,2781.8,260.8,81.5,17.5
0.119385,521.1,56.3,1865.7,71.7,2794.9,114.9,523.4,1859.4,2781.1,260.3,81.5,17.3
0.121385,518.9,56.2,1849.7,68.5,2795.9,125.2,520.8,1841.9,2781.4,259.7,81.5,16.9
0.123385,516.8,57.0,1833.7,64.2,2791.0,132.3,518.2,1826.5,2782.4,259.2,81.6,16.6
0.125385,514.9,58.1,1819.0,58.6,2782.1,129.4,515.7,1813.2,2784,258.7,81.6,16.5
0.127385,513.4,58.8,1805.3,52.0,2778.4,116.5,513.4,1802.2,2785.8,258.2,81.6,16.5
0.129385,512.3,59.0,1793.1,45.4,2781.7,101.1,511.5,1793.6,2787.5,257.8,81.7,16.5
0.131385,511.7,59.2,1784.0,40.6,2785.4,89.2,510,1787.4,2788.9,257.4,81.7,16.6
0.133385,511.5,60.2,1777.7,38.4,2784.0,81.8,509.1,1783.7,2789.8,257,81.8,16.8
0.135385,511.7,62.1,1774.1,39.3,2777.3,78.5,508.8,1782.4,2790.2,256.6,81.8,17.1
