time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025932,234.4,153.8,2420.0,431.9,3327.4,526.8,229,2416.7,3307.7,197.6,67.5,18.2
0.027932,237.8,156.7,2414.0,385.4,3293.3,434.5,229.4,2417.8,3308.1,198.1,67.7,18.1
0.029932,240.2,153.6,2396.5,346.1,3265.8,351.5,230.1,2419.6,3308.6,198.6,67.9,17.8
0.031932,242.9,153.6,2389.7,299.9,3262.0,267.8,231.1,2422,3309.4,199.1,68.2,17.5
0.033932,245.9,155.9,2407.4,263.4,3280.3,206.0,232.4,2425.1,3310.4,199.7,68.6,17.5
0.035932,247.4,148.9,2436.8,249.2,3304.4,179.4,233.9,2428.9,3311.5,200.3,69,17.7
0.037932,246.7,131.3,2459.0,247.6,3325.3,176.4,235.8,2433.3,3312.8,200.8,69.5,18.3
0.039932,244.8,113.4,2465.3,246.5,3338.1,187.2,238,2438.3,3314.2,201.5,70.1,19
0.041932,242.6,101.5,2465.0,237.7,3343.3,203.3,240.5,2443.9,3315.7,202.1,70.8,19.8
0.043932,240.7,96.9,2466.9,219.4,3342.3,217.8,243.3,2450.1,3317.2,202.7,71.4,20.6
0.045932,239.5,98.7,2471.2,194.5,3338.0,228.4,246.5,2456.7,3318.7,203.4,72.2,21.2
0.047932,239.7,106.3,2474.9,162.1,3331.7,237.4,249.9,2463.8,3320.2,204,72.9,21.9
0.049932,242.1,118.3,2477.0,126.5,3323.2,243.4,253.7,2471.4,3321.6,204.7,73.7,22.6
0.051932,246.9,130.7,2479.7,94.8,3316.7,240.8,257.9,2479.3,3322.8,205.3,74.5,23.2
0.053932,252.5,135.7,2484.9,72.4,3324.3,221.5,262.4,2487.6,3323.9,206,75.2,23.5
0.055932,254.7,130.2,2491.2,62.1,3342.3,195.2,267.2,2496.1,3324.8,206.6,75.9,23.5
0.057932,252.9,119.0,2498.2,62.7,3355.8,181.8,272.4,2504.9,3325.4,207.2,76.5,23
0.059932,251.2,109.4,2507.1,71.6,3360.9,188.5,277.9,2513.8,3325.7,207.9,77,22.3
0.061932,252.9,106.5,2519.9,81.6,3363.3,207.4,283.7,2522.9,3325.7,208.5,77.4,21.6
0.063932,259.5,112.3,2536.1,85.4,3364.1,230.2,289.8,2532,3325.4,209.1,77.8,20.9
0.065932,271.4,124.4,2550.8,81.7,3357.7,254.6,296.2,2541.2,3324.6,209.8,78,20.6
0.067932,288.4,136.5,2561.2,75.1,3334.7,286.1,302.8,2550.3,3323.5,210.4,78.1,20.5
0.069932,305.2,142.6,2566.5,70.5,3295.3,321.9,309.8,2559.2,3321.9,210.9,78.1,20.4
0.071932,318.5,145.6,2570.0,68.7,3258.6,351.8,316.9,2568.1,3319.9,211.5,78.1,20.4
0.073932,328.8,148.8,2574.6,67.9,3247.4,369.1,324.3,2576.6,3317.4,212.1,77.9,20.4
0.075932,338.2,151.8,2580.4,67.0,3255.3,373.0,331.8,2584.9,3314.5,212.6,77.6,20.2
0.077932,349.9,153.2,2586.9,65.1,3264.3,365.9,339.4,2592.8,3311.1,213.1,77.3,19.9
0.079932,363.2,151.8,2593.1,60.6,3268.6,352.0,347.1,2600.4,3307.3,213.6,76.9,19.6
0.081932,376.3,147.7,2598.2,53.7,3272.5,337.1,354.9,2607.5,3303.1,214.1,76.4,19.2
0.083932,387.9,141.7,2602.9,46.7,3279.5,326.9,362.7,2614,3298.4,214.6,75.9,18.8
0.085932,396.8,134.6,2607.7,41.6,3289.7,322.8,370.5,2620,3293.4,215.1,75.3,18.4
0.087932,403.5,126.4,2613.2,38.0,3301.8,325.1,378.1,2625.5,3288,215.5,74.7,18
0.089932,408.0,117.2,2618.0,35.9,3310.1,338.9,385.7,2630.2,3282.3,215.9,74.1,17.5
0.091932,411.2,106.1,2620.9,34.6,3310.4,369.2,393,2634.3,3276.3,216.3,73.4,17
0.093932,414.7,91.9,2622.2,34.1,3303.9,410.0,400.2,2637.6,3270,216.7,72.7,16.4
0.095932,419.7,75.9,2622.8,34.1,3296.2,445.3,407,2640.2,3263.6,217,72.1,15.8
0.097932,426.5,58.8,2623.2,34.5,3288.8,474.2,413.6,2641.9,3257,217.4,71.4,14.8
0.099932,433.6,43.7,2623.3,35.5,3278.9,505.6,419.8,2642.9,3250.2,217.7,70.9,13.7
0.101932,439.5,32.0,2623.3,36.7,3261.6,544.7,425.6,2643,3243.4,217.9,70.5,12.8
0.103932,443.3,24.6,2623.3,37.4,3235.1,575.6,431,2642.2,3236.6,218.2,70.3,12.2
0.105932,444.7,21.0,2623.3,36.8,3209.6,571.8,436,2640.5,3229.7,218.4,70.3,12.1
0.107932,444.5,20.2,2623.3,34.5,3199.1,526.8,440.5,2638,3223,218.7,70.5,12.4
0.109932,443.2,21.5,2623.4,31.4,3205.8,465.2,444.4,2634.5,3216.3,218.8,70.9,13
0.111932,441.6,23.9,2623.5,28.7,3217.8,419.3,447.8,2630.2,3209.7,219,71.3,13.8
0.113932,439.9,26.3,2623.8,27.2,3227.8,405.4,450.7,2625,3203.3,219.2,71.9,14.8
0.115932,438.3,28.2,2623.9,27.2,3231.2,419.4,453.1,2618.9,3197.1,219.3,72.4,15.9
0.117932,436.8,29.4,2623.4,28.5,3222.7,449.6,455,2611.9,3191.1,219.4,72.9,17.5
0.119932,435.8,29.7,2621.9,30.8,3203.4,483.8,456.3,2604.1,3185.3,219.5,73.4,19.2
0.121932,435.2,29.1,2619.5,33.7,3180.7,522.8,457.1,2595.4,3179.7,219.5,73.8,20.9
