time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025478,262.0,148.3,2530.1,131.9,3339.8,210.2,266.7,2560.8,3313.6,214.3,73,16.3
0.027478,264.4,120.8,2533.1,118.1,3333.7,220.3,268.7,2561.7,3314.8,214.8,73.8,16.7
0.029478,266.7,102.3,2541.3,114.9,3328.6,255.6,272,2563.2,3316.8,215.2,74.5,17.2
0.031478,269.6,89.2,2555.6,119.8,3321.2,305.6,276.6,2565.3,3319.6,215.8,75.1,17.6
0.033478,273.6,79.6,2573.0,128.0,3315.0,359.9,282.4,2567.9,3323,216.3,75.7,17.8
0.035478,278.8,72.1,2588.2,134.6,3311.5,415.4,289.2,2571,3327.1,216.8,76.1,17.8
0.037478,285.5,65.1,2598.8,140.8,3304.2,458.6,297,2574.6,3331.7,217.4,76.4,17.7
0.039478,293.1,59.2,2603.5,151.1,3291.5,459.0,305.7,2578.5,3336.8,218,76.6,17.4
0.041478,302.5,55.1,2603.2,169.0,3281.9,421.1,315.1,2582.7,3342.2,218.7,76.6,17
0.043478,313.4,53.9,2598.3,191.3,3283.8,375.9,325,2587.2,3347.9,219.3,76.5,16.5
0.045478,325.8,55.1,2589.9,209.0,3297.2,344.0,335.4,2591.9,3353.8,220,76.2,15.8
0.047478,341.1,57.1,2579.7,216.9,3319.8,325.9,346,2596.6,3359.7,220.6,75.8,15
0.049478,359.0,58.0,2572.1,215.7,3345.0,316.7,356.8,2601.3,3365.6,221.3,75.2,14
0.051478,381.1,57.2,2573.2,207.0,3373.2,310.4,367.5,2605.9,3371.3,222,74.5,12.9
0.053478,405.4,54.4,2586.9,188.2,3402.9,304.8,378,2610.3,3376.6,222.6,73.7,11.9
0.055478,428.3,49.7,2605.3,160.4,3427.0,296.0,388.1,2614.5,3381.6,223.3,72.8,10.9
0.057478,447.2,44.1,2620.4,132.4,3438.5,286.2,397.8,2618.3,3386.1,224,72.1,9.5
0.059478,457.6,40.1,2628.8,116.6,3435.6,284.2,406.9,2621.7,3390,224.6,71.7,8.1
0.061478,459.4,38.5,2632.8,115.7,3424.7,294.4,415.4,2624.5,3393.3,225.2,71.7,7
0.063478,453.9,39.1,2633.3,129.9,3413.5,316.0,423,2626.8,3395.8,225.8,72,6.4
0.065478,444.6,41.0,2632.6,155.4,3407.6,346.3,429.9,2628.4,3397.5,226.4,72.6,6.7
0.067478,434.0,43.7,2634.9,186.8,3409.7,388.5,435.8,2629.2,3398.3,227,73.2,8
0.069478,424.8,46.6,2643.1,212.2,3419.6,446.9,440.8,2629.3,3398.3,227.5,73.9,9.9
0.071478,417.3,49.5,2657.3,225.2,3440.1,537.0,445,2628.5,3397.4,228.1,74.4,11.9
0.073478,412.5,52.3,2671.5,221.9,3475.8,660.8,448.2,2626.9,3395.6,228.5,74.8,13.6
0.075478,410.4,54.2,2678.8,210.2,3522.4,795.8,450.6,2624.3,3392.9,229,75.1,14.6
0.077478,410.9,54.3,2677.5,202.9,3563.2,920.0,452.1,2620.7,3389.3,229.4,75.2,15.3
0.079478,414.0,51.9,2670.5,209.5,3570.0,1017.9,453,2616.2,3384.9,229.8,75.3,15.6
0.081478,419.7,47.1,2661.8,234.9,3525.2,1123.9,453.2,2610.7,3379.7,230.1,75.2,15.8
0.083478,427.3,40.8,2654.5,284.7,3411.4,1219.4,452.8,2604.2,3373.9,230.4,75.1,16
0.085478,435.8,34.4,2646.0,367.3,3261.2,1181.2,452,2596.8,3367.4,230.7,74.9,16
0.087478,444.3,28.2,2616.8,493.9,3159.6,965.3,450.9,2588.4,3360.3,230.9,74.8,15.8
0.089478,451.5,23.0,2553.9,581.0,3153.5,745.9,449.6,2579,3352.8,231.1,74.8,15.4
0.091478,457.4,19.2,2501.2,586.1,3177.0,630.0,448.3,2568.6,3344.9,231.3,74.9,15.1
0.093478,461.3,16.6,2471.8,565.3,3191.5,580.8,447,2557.4,3336.7,231.4,75.2,15.2
0.095478,463.3,15.0,2449.5,551.5,3200.3,549.3,445.9,2545.4,3328.4,231.4,75.6,15.8
0.097478,464.1,14.0,2427.0,543.5,3213.8,521.3,445.1,2532.5,3320,231.4,76.1,17.3
0.099478,464.2,13.1,2407.9,530.3,3226.1,501.2,444.7,2518.8,3311.7,231.4,76.7,19
0.101478,464.2,12.0,2398.4,502.3,3232.5,483.9,444.9,2504.4,3303.5,231.3,77.3,20.8
0.103478,464.5,11.1,2409.0,458.9,3242.0,466.4,445.7,2489.3,3295.5,231.2,77.9,22.1
0.105478,465.4,10.4,2433.1,404.8,3260.2,448.6,447.2,2473.6,3287.9,231,78.5,22.6
0.107478,466.6,9.9,2450.8,350.7,3276.2,440.9,449.5,2457.4,3280.7,230.8,79,22.6
0.109478,467.9,9.3,2451.8,312.6,3281.3,463.4,452.5,2440.6,3274,230.5,79.4,22.1
0.111478,469.0,8.9,2443.0,283.4,3279.7,526.5,456.4,2423.4,3267.9,230.2,79.7,21.4
0.113478,469.7,8.8,2435.0,255.3,3282.0,631.3,461.1,2405.8,3262.4,229.8,79.9,20.5
0.115478,469.9,9.3,2432.4,225.8,3301.9,756.8,466.7,2387.8,3257.7,229.4,79.9,19.6
0.117478,469.8,10.7,2430.0,198.7,3342.1,862.9,473,2369.6,3253.6,228.9,79.7,18.4
