time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025408,275.1,46.9,2493.2,639.0,3855.3,271.9,275.6,2542.7,3938.3,242.3,64.8,5.9
0.027408,271.8,49.1,2475.1,606.8,3829.5,296.9,275.9,2543.1,3939.4,242.1,66,19.8
0.029408,267.8,52.9,2431.7,573.1,3801.5,428.9,276.3,2543.7,3941.3,241.8,66.9,22.4
0.031408,264.0,59.2,2419.1,572.9,3766.8,691.2,276.9,2544.6,3943.8,241.5,67.7,18.6
0.033408,262.0,68.6,2454.7,568.1,3768.8,869.2,277.6,2545.7,3947.1,241.2,68.2,13.3
0.035408,262.6,80.0,2510.7,528.8,3845.1,779.4,278.5,2547.1,3951,240.9,68.5,11.4
0.037408,265.5,89.6,2556.0,510.0,3891.9,614.2,279.5,2548.7,3955.6,240.6,68.8,13.1
0.039408,269.2,94.5,2586.0,548.4,3911.8,549.3,280.7,2550.5,3960.7,240.3,68.9,15.2
0.041408,273.2,97.7,2602.4,601.0,3934.2,539.1,282.1,2552.5,3966.4,240.1,69.1,17.4
0.043408,277.4,102.9,2601.7,589.0,3961.8,528.0,283.6,2554.6,3972.5,239.8,69.2,19.3
0.045408,282.5,112.6,2595.8,529.6,3986.3,522.5,285.3,2557,3979.1,239.6,69.3,20.7
0.047408,288.3,125.0,2596.5,485.9,4010.8,566.4,287.2,2559.5,3985.9,239.4,69.4,21.4
0.049408,292.9,134.1,2603.1,481.9,4059.7,666.8,289.2,2562.2,3993.1,239.2,69.5,21.6
0.051408,296.8,141.2,2602.0,489.4,4148.1,733.1,291.3,2565,4000.5,239,69.7,21.6
0.053408,302.5,150.7,2591.6,488.2,4205.5,645.3,293.6,2567.9,4008,238.8,69.9,21.6
0.055408,311.7,162.2,2594.7,489.2,4203.4,506.4,296,2570.9,4015.5,238.6,70.1,21.7
0.057408,323.2,169.0,2625.8,495.8,4183.7,401.0,298.5,2574,4023,238.5,70.3,22
