time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025678,454.7,141.9,3011.9,180.8,3378.9,628.0,407.8,3039.2,3679.6,264.6,75.3,20.1
0.027678,454.7,145.3,2988.1,137.5,3431.7,353.2,407.3,3039.2,3685.4,264.9,75.2,20.1
0.029678,450.9,150.4,2982.5,109.2,3463.4,248.6,406.4,3039.3,3695.1,265.2,75.1,20.2
0.031678,437.9,157.8,2988.7,105.2,3502.9,243.8,405.2,3039.4,3708.4,265.5,75,20.3
0.033678,418.0,152.2,3005.3,116.4,3560.9,312.4,403.6,3039.6,3725.3,265.9,74.9,20.3
0.035678,406.1,132.7,3027.5,127.9,3641.9,449.2,401.7,3039.8,3745.6,266.3,74.7,20.2
0.037678,402.5,118.4,3046.0,128.6,3747.7,624.2,399.5,3040.1,3769,266.7,74.6,19.8
0.039678,399.7,113.6,3056.3,121.1,3877.5,799.6,397,3040.4,3795.3,267,74.7,19.1
0.041678,393.3,116.5,3059.5,113.5,3985.6,924.0,394.2,3040.8,3824.3,267.4,74.8,18.2
0.043678,381.2,121.8,3060.6,110.1,4046.3,990.0,391.2,3041.3,3855.5,267.8,75.1,17.4
0.045678,365.1,122.2,3064.0,112.8,4084.6,984.7,387.9,3041.8,3888.6,268.3,75.5,16.9
0.047678,349.5,116.2,3071.4,121.0,4141.5,929.2,384.5,3042.5,3923.3,268.7,75.9,17
0.049678,337.0,108.2,3081.7,132.7,4197.0,798.9,380.8,3043.3,3959.2,269.1,76.4,17.6
0.051678,329.4,103.3,3089.7,141.9,4203.4,665.3,376.9,3044.1,3995.9,269.5,76.7,18.6
0.053678,325.2,101.7,3092.6,144.2,4190.4,563.9,373,3045.1,4033,269.8,77,19.6
0.055678,323.2,102.0,3090.0,138.2,4182.0,480.8,368.9,3046.1,4070.1,270.2,77.3,20.5
0.057678,322.5,103.0,3083.1,127.2,4182.6,410.3,364.7,3047.3,4106.8,270.6,77.4,21
0.059678,323.4,105.9,3072.5,113.7,4190.6,352.7,360.5,3048.6,4142.7,270.9,77.4,21.4
0.061678,326.4,112.3,3061.9,101.6,4205.4,316.3,356.3,3050,4177.3,271.3,77.4,21.6
0.063678,331.9,123.0,3054.4,92.5,4229.5,294.7,352.1,3051.6,4210.4,271.6,77.3,21.8
0.065678,339.1,135.4,3051.9,87.1,4262.2,280.5,348,3053.2,4241.6,271.9,77.2,22.1
0.067678,346.0,145.8,3051.9,83.0,4297.3,263.9,344,3054.9,4270.4,272.1,77.1,22.5
0.069678,352.0,153.2,3051.0,77.4,4327.1,240.4,340.1,3056.6,4296.7,272.4,77,23.2
0.071678,356.2,157.3,3049.0,71.0,4343.6,218.4,336.3,3058.5,4320.1,272.6,76.9,24
0.073678,358.9,159.9,3047.8,65.0,4350.3,203.7,332.7,3060.3,4340.4,272.8,76.8,24.7
0.075678,359.9,161.8,3048.8,59.7,4352.2,199.5,329.4,3062.2,4357.3,272.9,76.7,25.2
0.077678,358.6,162.2,3051.7,54.8,4352.4,205.5,326.3,3064.1,4370.7,273,76.7,25.4
0.079678,354.1,159.3,3055.4,50.5,4348.9,220.4,323.5,3065.9,4380.4,273.1,76.7,25.3
0.081678,347.4,152.5,3058.4,49.1,4338.5,239.5,321.1,3067.7,4386.3,273.1,76.7,25.1
0.083678,339.9,142.8,3060.6,51.5,4320.9,257.2,319,3069.3,4388.3,273.2,76.7,24.7
0.085678,334.1,133.5,3062.5,58.0,4301.7,267.2,317.3,3070.8,4386.4,273.1,76.7,24.3
0.087678,330.9,127.0,3064.0,67.5,4284.9,271.0,316,3072,4380.7,273.1,76.6,24.1
