time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025385,403.9,49.4,2775.5,109.3,3240.0,416.6,419.4,2814.9,3432.7,189.7,78.1,14.1
0.027385,406.3,48.2,2792.3,96.6,3276.7,393.4,419.4,2815.7,3436.5,189.4,78.2,14.6
0.029385,408.8,48.4,2809.7,84.8,3310.9,408.1,419.3,2817,3442.9,189.2,78.3,15.8
0.031385,411.0,49.5,2823.1,73.0,3350.1,451.6,419.2,2818.8,3451.7,189,78.3,17.3
0.033385,413.5,51.7,2831.8,60.1,3404.6,498.3,419,2821.1,3462.7,188.7,78.4,18.6
0.035385,416.1,55.0,2835.9,48.0,3469.5,507.0,418.9,2823.8,3475.9,188.4,78.4,19.1
0.037385,418.8,58.5,2837.3,37.9,3535.2,472.2,418.7,2826.8,3491,188.1,78.3,18.8
0.039385,421.7,61.8,2837.8,30.4,3596.5,415.6,418.5,2830.3,3507.8,187.8,78.3,17.8
0.041385,424.7,64.3,2838.2,25.9,3646.0,361.9,418.4,2834,3526.1,187.4,78.3,16.6
0.043385,427.4,65.9,2838.2,24.1,3684.3,325.0,418.2,2837.9,3545.6,187.1,78.2,15.5
0.045385,428.8,65.9,2837.9,25.6,3709.5,314.3,418.1,2842,3566,186.7,78.1,14.8
0.047385,428.5,64.4,2838.0,30.8,3721.0,327.1,418,2846.2,3587.1,186.3,78,14.7
0.049385,426.8,61.4,2840.6,39.5,3718.9,357.8,417.9,2850.4,3608.5,185.9,77.9,15
0.051385,424.6,57.7,2845.4,48.6,3709.1,397.0,418,2854.6,3629.9,185.5,77.8,15.4
0.053385,422.3,53.9,2851.1,55.9,3696.6,435.7,418,2858.8,3651.1,185.1,77.7,15.6
0.055385,420.4,50.7,2857.7,60.9,3683.8,462.5,418.1,2862.8,3671.6,184.7,77.6,15.6
0.057385,418.9,48.1,2868.1,64.5,3673.5,477.5,418.3,2866.6,3691.3,184.3,77.5,15.1
0.059385,418.0,46.1,2884.2,63.6,3673.5,480.8,418.6,2870.2,3709.9,183.9,77.4,14.3
0.061385,417.5,44.7,2900.2,55.1,3688.2,463.1,418.9,2873.5,3727.1,183.4,77.3,13.4
0.063385,417.6,43.6,2910.0,42.3,3712.4,424.3,419.3,2876.5,3742.6,183,77.2,12.5
0.065385,418.2,42.8,2911.4,31.5,3738.4,386.0,419.8,2879.1,3756.3,182.5,77.2,12
0.067385,419.5,42.5,2908.0,24.7,3761.9,360.9,420.3,2881.4,3767.9,182.1,77.1,11.7
