time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025528,172.4,607.6,2327.5,295.3,3035.9,140.4,213.9,2460.7,3157.3,206.7,57.6,-200
0.027528,209.9,414.3,2326.5,342.6,3081.9,198.0,214.4,2464.3,3163.4,206.1,59.3,-200
0.029528,237.5,272.4,2382.6,414.7,3173.3,302.5,215.2,2470.2,3173.6,205.4,60.8,-168.6
0.031528,248.6,195.5,2496.7,475.7,3301.0,345.4,216.3,2478.4,3187.8,204.8,62,-122.5
0.033528,252.6,162.5,2606.3,493.6,3363.0,322.2,217.7,2488.7,3205.7,204.1,63.1,-71.2
0.035528,252.2,146.2,2674.2,513.4,3379.1,344.6,219.4,2500.9,3227.2,203.5,64,-24.6
0.037528,247.1,132.2,2695.5,512.5,3396.5,392.9,221.3,2514.9,3252.1,202.8,64.8,7.8
0.039528,238.7,113.4,2687.8,475.4,3443.6,445.6,223.3,2530.4,3280.1,202.1,65.5,22.9
0.041528,229.6,90.7,2663.0,433.6,3520.1,509.3,225.6,2547.3,3311,201.4,66.1,27.3
0.043528,223.1,72.3,2631.9,411.6,3624.1,588.0,227.9,2565.1,3344.3,200.8,66.7,25.3
0.045528,219.5,61.8,2602.6,402.7,3768.8,588.6,230.3,2583.7,3379.9,200.1,67.2,21.5
0.047528,218.4,60.1,2589.1,400.7,3839.1,483.8,232.7,2602.7,3417.3,199.5,67.7,20.3
0.049528,218.7,63.6,2600.0,415.4,3839.2,432.7,235,2621.9,3456.1,198.9,68.1,21.7
0.051528,219.8,70.0,2635.0,449.8,3522.4,5379.2,237.3,2641,3496.1,198.3,68.4,22.6
0.053528,221.0,76.1,2675.7,501.3,3091.6,4555.5,239.5,2659.7,3536.7,197.8,68.6,23.3
0.055528,222.4,82.0,2712.2,576.0,2810.2,3498.2,241.5,2677.7,3577.7,197.2,68.7,23.7
0.057528,223.8,89.6,2607.1,2997.0,2747.3,645.2,243.2,2694.8,3618.6,196.8,68.8,23.9
0.059528,225.4,101.9,2436.6,3136.1,2771.9,670.3,244.8,2710.7,3659.2,196.3,68.8,23.8
0.061528,227.4,119.7,2208.5,4127.5,2772.6,663.4,246.1,2725.2,3699,195.9,68.7,23.4
0.063528,229.9,139.5,2760.7,642.7,3980.5,304.5,247,2738.1,3737.7,195.5,68.5,22.8
