time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025236,262.2,85.4,2324.4,69.9,2959.3,59.4,334.8,2406.2,3036.2,213.8,73.3,21.1
0.027236,265.2,87.3,2337.4,63.8,2970.3,49.3,335.5,2407.4,3035.4,214.4,73.8,21.1
0.029236,269.2,90.7,2354.1,65.2,2981.5,45.5,336.7,2409.5,3034,215,74.2,20.5
0.031236,274.8,96.1,2375.8,69.5,2991.5,44.6,338.3,2412.5,3032,215.7,74.5,19.9
0.033236,283.2,105.3,2401.6,71.2,3000.2,45.2,340.4,2416.2,3029.6,216.4,74.8,19.1
0.035236,295.6,118.1,2423.4,66.3,3008.1,47.6,342.9,2420.7,3026.7,217.2,74.9,18.4
0.037236,313.6,132.1,2438.6,57.1,3018.9,53.2,345.8,2425.9,3023.6,217.9,75,17.9
0.039236,334.1,141.0,2448.4,49.2,3032.3,63.0,349.1,2431.9,3020.1,218.7,75,17.6
0.041236,355.7,143.0,2457.9,43.9,3042.6,76.8,352.8,2438.5,3016.5,219.5,74.8,17.4
0.043236,376.2,139.1,2467.4,40.9,3039.3,90.1,356.7,2445.6,3012.8,220.4,74.5,17.1
0.045236,396.4,129.9,2476.5,38.5,3023.1,95.1,360.9,2453.4,3009.1,221.2,74.2,16.6
0.047236,414.9,116.1,2486.2,35.8,3009.4,87.0,365.4,2461.6,3005.6,222.1,73.6,15.7
0.049236,428.6,101.3,2496.9,33.7,3008.6,75.1,370.1,2470.2,3002.3,222.9,73,14.4
0.051236,439.3,84.9,2508.9,33.5,3014.1,67.4,374.9,2479.3,2999.4,223.8,72.3,12.9
0.053236,447.4,68.5,2519.2,36.2,3018.9,67.7,379.9,2488.6,2996.9,224.6,71.7,11.4
0.055236,453.0,55.5,2526.8,43.3,3022.2,76.9,384.9,2498.1,2995.1,225.5,71.4,10.3
0.057236,454.4,52.2,2533.6,55.8,3027.4,94.7,390,2507.8,2993.9,226.3,71.4,9.7
0.059236,450.8,60.9,2542.6,71.1,3037.2,116.0,395.1,2517.7,2993.6,227.2,71.9,9.6
0.061236,445.3,77.0,2556.7,85.2,3051.1,139.1,400.2,2527.5,2994.1,228,72.7,9.7
0.063236,441.0,91.4,2571.6,89.7,3063.3,156.0,405.2,2537.4,2995.7,228.8,73.6,10.1
0.065236,438.2,100.2,2580.9,83.4,3068.1,159.7,410,2547.1,2998.3,229.6,74.4,10.6
0.067236,437.4,100.8,2583.4,72.9,3064.3,148.9,414.8,2556.7,3002,230.3,75.2,11.3
0.069236,437.6,93.7,2582.9,64.6,3056.9,134.3,419.3,2566.1,3007,231.1,75.7,12.2
0.071236,437.1,83.7,2582.8,61.4,3045.0,128.0,423.6,2575.3,3013.1,231.8,76.1,13.3
0.073236,435.9,78.2,2583.1,66.4,3025.8,137.9,427.7,2584.1,3020.6,232.5,76.3,14.5
0.075236,434.3,80.0,2583.7,79.3,3002.1,164.4,431.6,2592.6,3029.3,233.1,76.3,15.5
0.077236,432.7,88.3,2586.9,91.1,2993.1,200.2,435.1,2600.7,3039.3,233.8,76.3,16.4
0.079236,430.8,98.9,2593.2,91.5,3016.1,228.5,438.4,2608.4,3050.6,234.4,76.1,17.1
0.081236,428.9,107.9,2599.6,88.0,3058.3,245.6,441.3,2615.6,3063.1,234.9,75.8,17.8
0.083236,428.8,110.6,2603.8,88.2,3093.8,259.0,444,2622.3,3076.9,235.5,75.6,18.4
0.085236,431.2,107.7,2606.3,90.1,3116.7,276.6,446.3,2628.6,3091.7,236,75.4,19
0.087236,434.2,101.5,2608.2,88.8,3128.5,300.6,448.3,2634.3,3107.7,236.5,75.4,19.5
0.089236,435.9,94.3,2611.2,84.3,3130.2,329.9,449.9,2639.5,3124.6,236.9,75.5,20.1
0.091236,435.4,87.0,2616.9,81.4,3125.8,359.0,451.3,2644.2,3142.4,237.4,75.7,20.6
0.093236,433.0,81.7,2624.6,84.3,3121.4,376.2,452.3,2648.4,3161,237.7,76,21
0.095236,429.6,79.0,2633.5,94.1,3119.4,387.1,453,2652,3180.2,238.1,76.3,21.4
0.097236,426.2,78.6,2643.1,110.2,3120.9,404.1,453.5,2655.2,3200,238.5,76.6,21.6
0.099236,423.9,79.5,2652.7,128.0,3130.2,433.4,453.7,2657.8,3220.2,238.8,76.8,21.6
0.101236,423.0,80.8,2662.3,142.9,3155.0,472.7,453.6,2660,3240.7,239,76.9,21.5
0.103236,423.5,81.7,2669.1,148.2,3192.4,498.0,453.3,2661.7,3261.3,239.3,76.9,21.4
0.105236,425.2,82.1,2671.3,144.5,3230.9,495.5,452.7,2663,3281.9,239.5,76.8,21.5
0.107236,427.5,82.5,2668.4,135.4,3264.3,475.7,452,2663.9,3302.3,239.7,76.6,21.8
0.109236,430.1,82.3,2661.5,123.8,3295.5,460.2,451.2,2664.5,3322.4,239.9,76.4,22.3
0.111236,432.8,81.1,2652.5,108.9,3335.1,458.3,450.2,2664.7,3342,240,76.1,23
0.113236,435.3,79.6,2646.7,95.1,3377.0,468.5,449.1,2664.6,3361.1,240.1,75.9,23.6
0.115236,437.2,78.7,2647.5,85.6,3409.0,481.0,447.9,2664.2,3379.4,240.2,75.7,24.3
0.117236,438.1,79.1,2655.3,79.9,3427.6,483.1,446.7,2663.6,3396.9,240.3,75.5,24.7
0.119236,438.3,80.5,2664.1,75.7,3444.0,466.0,445.4,2662.9,3413.4,240.3,75.5,25.2
