time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025277,375.5,68.5,2459.5,418.6,3048.7,224.1,410.9,2502,3105.3,202.8,75.5,12
0.027277,382.9,61.8,2463.9,369.2,3058.6,222.4,410.4,2504.8,3105.9,203.4,75.9,11.6
0.029277,390.2,56.5,2466.8,346.3,3063.7,212.0,409.6,2509.5,3106.8,204.1,76.4,11.3
0.031277,395.1,52.5,2474.5,349.3,3066.3,196.0,408.4,2516,3108.1,204.7,76.9,11.2
0.033277,396.6,49.9,2486.8,363.6,3070.0,181.4,407,2524.1,3109.8,205.4,77.3,11.1
0.035277,395.9,47.4,2499.9,366.8,3077.6,172.6,405.2,2534,3111.9,206.1,77.8,11
0.037277,394.5,45.0,2509.8,349.4,3088.9,172.5,403.2,2545.3,3114.3,206.7,78.2,11
0.039277,393.0,43.4,2519.0,329.6,3100.2,182.4,400.9,2558.2,3117.1,207.4,78.5,11
0.041277,392.5,42.7,2535.6,324.6,3108.5,207.2,398.4,2572.3,3120.4,208,78.9,11
0.043277,393.2,43.2,2564.6,334.5,3111.4,248.9,395.7,2587.5,3124,208.7,79.1,11.1
0.045277,394.6,44.5,2607.5,340.1,3111.8,308.8,392.9,2603.8,3128.1,209.3,79.3,11.2
0.047277,395.7,46.0,2650.2,325.9,3115.1,371.0,390,2620.9,3132.6,209.9,79.5,11.5
0.049277,396.4,47.0,2682.0,308.4,3120.5,419.7,387,2638.7,3137.5,210.4,79.6,12.1
0.051277,397.0,47.6,2712.9,302.7,3125.7,472.5,384,2657,3142.8,210.9,79.7,13.1
0.053277,397.4,48.2,2749.8,300.1,3137.4,546.2,380.9,2675.7,3148.6,211.4,79.8,14.2
0.055277,396.8,49.3,2789.4,280.3,3170.7,633.4,377.9,2694.5,3154.8,211.8,79.8,15.4
0.057277,394.6,50.5,2815.3,247.9,3221.4,672.7,374.9,2713.4,3161.5,212.2,79.8,16.4
0.059277,391.7,51.6,2825.8,216.9,3260.4,657.6,372.1,2732.1,3168.6,212.5,79.9,17.2
0.061277,389.5,52.4,2829.1,187.4,3284.2,634.5,369.4,2750.4,3176.1,212.8,79.9,17.8
0.063277,387.9,52.8,2830.2,163.4,3296.5,622.2,366.8,2768.3,3184,213,79.9,18.4
0.065277,385.0,53.4,2831.1,143.9,3301.5,605.8,364.5,2785.6,3192.4,213.1,79.9,18.8
0.067277,380.3,54.2,2832.3,129.1,3302.9,575.2,362.3,2802.2,3201.2,213.2,79.9,19
0.069277,375.9,55.0,2834.1,118.6,3304.5,540.1,360.4,2818,3210.3,213.3,79.9,19
0.071277,372.9,55.5,2836.3,112.2,3303.6,506.1,358.8,2832.8,3219.9,213.3,79.9,18.7
0.073277,370.6,56.0,2836.9,111.4,3293.6,472.2,357.4,2846.5,3229.8,213.2,79.8,18.2
0.075277,366.9,57.0,2835.2,115.1,3273.0,428.0,356.3,2859.2,3240,213.1,79.7,17.7
0.077277,362.0,58.4,2831.9,121.1,3249.3,375.5,355.5,2870.8,3250.5,213,79.6,17.3
0.079277,357.7,59.6,2828.8,126.7,3231.0,327.1,355,2881.2,3261.3,212.8,79.5,17.1
0.081277,354.9,60.2,2827.5,130.9,3220.9,290.2,354.8,2890.5,3272.3,212.6,79.3,17.2
0.083277,353.6,60.8,2830.2,133.7,3220.2,272.9,354.8,2898.5,3283.5,212.3,79.1,17.4
0.085277,352.7,62.2,2838.4,135.9,3227.8,274.2,355.2,2905.4,3294.8,212,78.9,17.6
0.087277,351.9,64.7,2851.1,137.5,3242.4,291.7,355.8,2911.2,3306.3,211.6,78.7,17.5
0.089277,351.1,67.9,2864.3,137.8,3261.3,315.8,356.6,2915.9,3317.8,211.2,78.5,17.1
0.091277,350.2,70.9,2875.4,136.6,3282.3,336.7,357.7,2919.7,3329.4,210.8,78.4,16.4
0.093277,349.5,72.3,2883.3,133.1,3301.0,349.3,358.9,2922.5,3340.9,210.3,78.2,15.4
0.095277,349.5,71.0,2893.5,124.9,3321.6,364.8,360.4,2924.4,3352.3,209.9,78.1,14.4
0.097277,351.0,67.0,2908.9,111.9,3348.2,394.2,361.9,2925.7,3363.6,209.4,78,13.6
0.099277,353.7,62.0,2925.4,98.9,3378.7,433.5,363.6,2926.2,3374.7,208.8,77.9,13.1
0.101277,357.7,57.7,2937.8,89.8,3404.3,473.0,365.4,2926.3,3385.5,208.3,77.8,12.8
0.103277,362.1,55.3,2941.4,86.7,3411.7,495.3,367.3,2925.9,3396,207.8,77.7,12.7
0.105277,365.8,54.0,2937.4,85.6,3405.7,489.8,369.2,2925.3,3406.1,207.2,77.6,12.7
0.107277,367.2,53.0,2930.5,83.3,3401.5,461.3,371,2924.5,3415.9,206.6,77.5,12.7
0.109277,366.0,52.3,2925.8,80.4,3405.5,432.6,372.9,2923.5,3425.1,206,77.4,12.7
0.111277,363.7,51.8,2925.2,79.5,3414.8,418.2,374.7,2922.7,3433.8,205.4,77.3,12.9
0.113277,362.3,51.1,2929.0,82.4,3424.2,423.5,376.4,2921.9,3441.9,204.8,77.2,13.1
0.115277,361.9,49.9,2936.5,88.7,3430.4,441.4,378,2921.3,3449.4,204.2,77.1,13.4
0.117277,362.1,48.4,2946.2,95.3,3432.4,458.4,379.5,2921.1,3456.3,203.6,76.9,13.5
0.119277,362.8,46.6,2956.9,97.8,3435.3,466.6,380.8,2921.2,3462.4,203,76.9,13.5
0.121277,363.9,44.6,2968.4,93.6,3445.8,469.4,382,2921.7,3467.7,202.3,76.8,13.3
0.123277,365.4,42.7,2977.7,84.4,3463.9,471.2,383,2922.7,3472.2,201.7,76.7,13
0.125277,368.0,41.0,2981.8,74.6,3483.2,471.2,383.9,2924.2,3475.9,201.1,76.6,12.7
0.127277,371.9,40.0,2978.2,68.8,3492.8,468.3,384.6,2926.1,3478.8,200.5,76.5,12.5
0.129277,376.8,39.7,2968.8,68.5,3489.6,463.1,385.1,2928.5,3480.7,199.8,76.4,12.3
0.131277,382.1,39.8,2955.9,72.6,3478.9,452.5,385.5,2931.3,3481.7,199.2,76.3,12.3
0.133277,386.6,39.6,2943.7,77.6,3468.4,436.0,385.7,2934.5,3481.8,198.6,76.1,12.2
0.135277,390.6,38.9,2935.3,79.8,3460.3,419.7,385.7,2938,3481,198,76,12.2
0.137277,393.6,37.7,2933.5,77.1,3456.4,410.4,385.7,2941.8,3479.2,197.4,75.8,12.2
0.139277,395.9,36.1,2936.3,70.7,3458.8,404.5,385.6,2945.8,3476.5,196.8,75.6,12
0.141277,398.0,34.4,2939.5,62.9,3467.2,394.4,385.4,2949.7,3472.8,196.2,75.5,11.8
0.143277,400.3,33.0,2940.8,57.6,3474.2,382.1,385.1,2953.6,3468.1,195.6,75.4,11.4
0.145277,403.0,31.6,2940.4,56.3,3472.3,374.5,384.9,2957.3,3462.6,195.1,75.3,11.2
0.147277,406.1,30.4,2938.1,59.2,3458.6,376.7,384.7,2960.6,3456.1,194.5,75.3,10.9
0.149277,408.8,29.4,2933.2,64.4,3440.2,384.6,384.6,2963.4,3448.7,193.9,75.3,10.8
0.151277,411.0,28.7,2925.1,69.5,3426.7,393.3,384.6,2965.5,3440.4,193.3,75.4,10.8
0.153277,412.2,28.3,2916.4,73.2,3425.3,401.9,384.7,2966.7,3431.2,192.8,75.6,10.8
0.155277,412.4,27.9,2909.4,77.4,3431.1,413.8,385.1,2966.9,3421.3,192.2,75.9,10.9
0.157277,411.2,27.3,2907.3,84.6,3434.8,430.3,385.7,2966,3410.5,191.7,76.2,10.9
0.159277,408.7,26.7,2911.2,95.3,3431.3,450.8,386.5,2963.7,3399,191.1,76.6,11
0.161277,404.9,26.1,2921.5,106.8,3422.7,474.9,387.6,2959.9,3386.7,190.6,77,11.2
0.163277,400.5,25.9,2934.2,114.2,3413.5,494.8,389.1,2954.4,3373.7,190,77.5,11.4
0.165277,396.4,25.8,2940.3,118.5,3404.5,500.4,391,2947.1,3360.1,189.5,77.9,11.6
0.167277,392.9,25.7,2934.0,122.5,3396.8,486.7,393.3,2937.9,3345.8,188.9,78.4,11.6
0.169277,390.5,25.6,2918.7,123.0,3395.4,463.9,396,2926.7,3331,188.4,78.8,11.4
0.171277,389.0,25.7,2902.8,119.8,3396.5,448.0,399.2,2913.3,3315.6,187.8,79.2,10.9
0.173277,388.5,25.9,2892.8,118.2,3390.8,448.5,402.9,2897.6,3299.7,187.3,79.5,10.3
