time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025506,395.7,38.1,2722.8,140.5,3393.3,527.9,402.8,2714.7,3462.5,229.7,76.3,2.1
0.027506,402.2,35.9,2740.7,119.1,3444.6,540.2,403.8,2717.5,3459.2,229.6,77.3,3.6
0.029506,406.9,35.6,2754.7,102.3,3467.8,548.5,405.5,2722.2,3453.7,229.5,78.2,5.3
0.031506,411.3,36.1,2765.6,88.1,3476.7,580.3,407.7,2728.4,3445.9,229.3,78.9,7
0.033506,415.2,36.6,2770.5,75.0,3469.4,608.3,410.5,2735.9,3435.8,229.2,79.5,8.7
0.035506,418.8,36.9,2770.7,62.7,3441.0,614.3,413.7,2744.5,3423.3,229,80.1,10.3
0.037506,421.7,37.1,2768.8,53.6,3402.2,609.7,417.1,2753.6,3408.4,228.8,80.5,11.7
0.039506,423.6,37.5,2767.1,48.1,3365.6,615.3,420.7,2763,3391.1,228.6,80.9,12.9
0.041506,425.2,38.1,2765.5,44.8,3331.6,626.3,424.3,2772.1,3371.3,228.4,81.2,14.1
0.043506,426.6,39.0,2763.6,42.6,3305.6,629.1,427.8,2780.4,3349.1,228.2,81.5,15.2
0.045506,428.2,40.1,2760.6,40.8,3286.8,634.8,431.1,2787.5,3324.5,227.9,81.7,15.9
0.047506,429.6,40.8,2756.2,39.3,3275.8,660.1,434,2792.9,3297.7,227.7,81.8,16.2
0.049506,430.8,41.1,2751.1,38.6,3272.2,708.2,436.6,2796,3268.7,227.4,81.9,15.9
0.051506,432.3,41.2,2744.9,38.9,3275.8,779.0,438.7,2796.5,3237.7,227.1,82,15
0.053506,434.0,40.8,2738.0,40.9,3282.9,851.2,440.2,2793.9,3205.1,226.8,82,13.9
0.055506,436.0,39.2,2729.5,45.5,3280.1,907.3,441.3,2787.8,3171.1,226.5,82.1,12.8
0.057506,438.0,36.3,2720.0,52.8,3243.9,935.3,441.8,2777.8,3136,226.1,82.3,12.3
0.059506,439.7,32.6,2711.6,61.9,3165.8,928.7,441.9,2763.9,3100.4,225.8,82.5,12.2
0.061506,441.4,28.4,2704.9,73.6,3062.5,866.0,441.7,2745.7,3064.5,225.4,82.8,12.5
0.063506,443.0,24.4,2699.5,87.0,2980.2,773.6,441.1,2723.2,3028.8,225,83.3,13
0.065506,444.5,20.7,2692.5,100.4,2929.8,686.4,440.4,2696.3,2993.9,224.6,83.8,13.4
0.067506,446.0,17.7,2682.8,107.1,2914.7,635.4,439.8,2665.1,2960.2,224.1,84.4,13.6
0.069506,447.2,15.4,2673.6,107.0,2920.1,627.9,439.3,2629.8,2928.2,223.7,85.1,13.6
0.071506,448.3,13.7,2667.3,109.9,2922.3,661.7,439.1,2590.5,2898.2,223.2,85.8,13.4
0.073506,449.3,12.9,2666.9,127.6,2891.3,734.8,439.3,2547.6,2870.7,222.7,86.5,13.1
0.075506,450.4,13.6,2679.1,171.5,2783.5,838.0,440.2,2501.3,2846,222.2,87.1,12.8
0.077506,451.6,15.9,2587.9,915.0,2713.0,211.8,441.9,2452.3,2824.4,221.7,87.8,12.6
0.079506,452.9,19.3,2416.8,940.2,2738.6,220.5,444.5,2400.8,2806,221.1,88.3,12.7
0.081506,453.9,22.7,2308.6,941.6,2751.7,224.0,448.1,2347.5,2791,220.5,88.6,12.8
0.083506,454.6,25.0,2254.0,945.6,2759.9,216.6,452.7,2292.8,2779.4,219.9,88.9,13
0.085506,455.0,26.7,2224.5,950.2,2767.4,199.2,458.5,2237.4,2771.1,219.3,88.9,13
0.087506,455.6,29.5,2191.8,935.0,2774.2,180.3,465.4,2181.9,2765.9,218.6,88.8,12.9
0.089506,456.7,35.0,2133.3,885.3,2780.9,163.5,473.4,2126.7,2763.6,218,88.5,12.3
0.091506,459.3,44.5,2052.6,807.5,2789.3,149.0,482.4,2072.5,2763.8,217.3,88,11.5
0.093506,464.2,58.2,1975.0,728.0,2799.8,138.1,492.4,2019.8,2766,216.6,87.4,10.6
0.095506,473.9,76.6,1900.5,645.1,2812.9,129.0,503.2,1969,2769.8,215.8,86.7,9.7
0.097506,490.2,93.6,1834.3,558.3,2826.0,122.5,514.7,1920.7,2774.8,215.1,86,9
0.099506,512.3,100.5,1785.9,475.6,2835.5,118.7,526.7,1875.1,2780.2,214.4,85.3,8.5
0.101506,539.5,95.6,1756.0,400.2,2836.9,115.3,539,1832.6,2785.5,213.6,84.7,8
0.103506,566.0,83.9,1742.2,340.4,2827.0,112.3,551.5,1793.5,2790.3,212.9,84.4,7.6
