time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025819,403.7,61.8,2788.5,102.4,3417.1,185.2,409.4,2763.8,3432.3,206.4,72.1,9.3
0.027819,405.7,46.6,2775.7,91.0,3401.3,198.0,408.6,2763.5,3428.3,206.3,73.2,16.6
0.029819,405.1,37.4,2762.5,79.4,3395.1,232.3,407.3,2763,3421.6,206.3,74,15.3
0.031819,403.7,33.0,2751.4,67.8,3400.3,280.5,405.8,2762.2,3412.7,206.2,74.7,10.2
0.033819,402.6,31.9,2744.1,59.0,3408.3,321.9,404,2761.3,3401.6,206.1,75.2,6.1
0.035819,402.1,33.2,2741.7,54.4,3409.8,335.2,402.2,2760.2,3388.9,206,75.5,6.7
0.037819,402.3,35.4,2743.9,53.0,3404.9,328.8,400.6,2759,3374.9,205.8,75.8,8.8
0.039819,402.9,37.2,2748.8,53.5,3395.7,322.4,399.4,2757.5,3360,205.7,76,11.1
0.041819,403.6,37.7,2754.0,55.5,3379.0,327.0,398.6,2755.9,3344.7,205.5,76.1,13.3
0.043819,404.2,37.1,2758.1,59.4,3348.6,339.0,398.4,2754.1,3329.3,205.3,76.2,15.2
0.045819,404.6,36.6,2761.1,64.7,3309.6,342.3,398.8,2752.3,3314.4,205,76.2,16.6
0.047819,404.8,37.5,2763.6,69.4,3281.0,335.3,399.9,2750.3,3300.2,204.8,76.3,17.8
0.049819,405.1,39.9,2765.0,71.3,3269.9,329.5,401.5,2748.3,3287,204.5,76.3,18.7
0.051819,405.5,42.4,2763.1,70.1,3267.3,327.8,403.5,2746.2,3275,204.2,76.3,19.3
0.053819,406.3,43.7,2757.5,67.2,3263.3,329.5,405.9,2744.2,3264.3,203.8,76.4,19.5
0.055819,407.2,43.8,2749.0,64.2,3253.6,334.2,408.3,2742.2,3254.9,203.5,76.4,19.2
0.057819,407.5,43.5,2738.5,61.7,3239.8,340.9,410.6,2740.2,3246.7,203.1,76.4,18.4
0.059819,407.3,43.6,2727.4,59.3,3228.5,349.9,412.6,2738.4,3239.6,202.6,76.5,17.1
0.061819,407.0,44.4,2718.2,57.1,3223.6,362.4,414.1,2736.6,3233.2,202.2,76.5,15.7
0.063819,407.3,45.2,2713.8,56.5,3220.0,375.6,415,2734.9,3227.2,201.7,76.7,14.4
0.065819,408.1,45.2,2715.4,58.5,3211.2,384.7,415,2733.2,3221.2,201.2,76.8,13.4
0.067819,409.0,43.7,2721.9,62.9,3200.1,390.0,414.3,2731.6,3214.8,200.7,77,12.4
0.069819,409.7,41.0,2729.9,67.3,3195.0,398.9,412.9,2729.9,3207.5,200.1,77.3,11.5
0.071819,409.9,37.6,2736.3,68.9,3199.7,418.8,410.8,2728,3198.8,199.6,77.6,10.8
0.073819,409.5,33.9,2737.1,66.0,3210.9,451.1,408.2,2725.8,3188.4,199,78,10.3
0.075819,408.6,30.9,2732.2,61.3,3213.4,488.9,405.3,2723.2,3175.9,198.4,78.5,10.2
0.077819,407.6,28.2,2724.8,59.3,3193.5,524.4,402.5,2719.9,3161.1,197.8,79,10.6
0.079819,406.7,25.8,2717.5,62.3,3155.4,546.3,399.9,2715.8,3143.7,197.2,79.5,11.4
0.081819,406.1,23.8,2711.4,70.5,3117.6,555.7,398,2710.6,3123.9,196.6,80.1,12.1
0.083819,405.9,22.2,2706.1,84.4,3086.4,556.9,397.1,2704.1,3101.6,195.9,80.6,12.6
0.085819,406.1,21.2,2699.8,103.4,3058.1,543.3,397.3,2696,3077,195.3,81.2,12.5
0.087819,406.4,21.0,2689.4,121.4,3035.1,517.2,399,2686.2,3050.5,194.7,81.6,12
0.089819,407.2,21.8,2675.1,130.3,3020.6,504.2,402.2,2674.3,3022.6,194,82,11.3
0.091819,408.5,24.1,2659.8,131.3,3009.9,524.6,407.2,2660.2,2993.6,193.4,82.3,10.5
0.093819,410.7,27.9,2644.7,130.5,2993.4,572.6,413.8,2643.7,2964.4,192.8,82.4,9.7
0.095819,413.9,33.1,2630.1,134.2,2959.6,618.5,422,2624.7,2935.3,192.2,82.4,9.3
0.097819,418.6,39.8,2615.6,150.4,2903.2,618.8,431.7,2603.2,2907.1,191.5,82.3,8.9
0.099819,425.2,48.0,2596.6,185.6,2842.9,551.8,442.7,2579.2,2880.5,190.9,82,8.7
0.101819,436.3,58.4,2557.4,238.3,2805.4,436.3,454.7,2552.8,2855.8,190.3,81.7,8.5
0.103819,452.7,67.5,2504.0,259.9,2802.2,358.9,467.3,2524.1,2833.7,189.7,81.3,8.2
0.105819,474.0,72.1,2458.1,254.6,2806.7,327.5,480.4,2493.5,2814.5,189.2,81,7.9
0.107819,496.6,71.0,2423.3,246.6,2807.9,318.7,493.5,2461.4,2798.5,188.6,80.8,7.4
0.109819,517.2,66.2,2396.0,245.0,2803.3,319.4,506.3,2428,2785.6,188,80.8,6.9
0.111819,534.3,60.0,2374.1,251.3,2793.1,325.7,518.6,2394.1,2776,187.5,81,6.4
0.113819,547.4,53.9,2356.2,264.5,2779.1,336.5,530.2,2360,2769.5,187,81.4,6.1
0.115819,556.4,49.4,2341.2,279.4,2768.9,352.5,540.8,2326.6,2765.8,186.5,81.9,6
