time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025549,398.9,38.8,2735.7,87.7,3225.7,39.6,385.4,2671.8,3276.7,178.4,69.6,23.8
0.027549,395.0,39.3,2726.0,74.1,3225.8,39.7,384.8,2674.5,3278.4,178,70.4,23
0.029549,388.5,40.6,2716.8,60.8,3233.8,42.2,383.9,2679,3281.2,177.6,71,15.3
0.031549,380.6,42.7,2711.9,52.3,3254.7,46.3,382.7,2685.2,3285,177.2,71.4,6.7
0.033549,372.7,42.7,2709.9,48.5,3287.4,47.9,381.2,2692.8,3289.6,176.7,71.7,2.9
0.035549,368.5,39.7,2709.0,48.3,3316.2,45.4,379.5,2701.7,3295.1,176.3,72,4.6
0.037549,368.1,37.4,2708.6,49.2,3333.5,42.6,377.6,2711.6,3301.1,175.8,72.2,7.9
0.039549,369.0,36.8,2709.4,49.3,3343.1,41.5,375.5,2722.3,3307.5,175.2,72.3,11.8
0.041549,369.3,37.4,2712.6,48.8,3347.7,43.2,373.4,2733.4,3314.2,174.7,72.5,15.6
0.043549,368.7,38.4,2720.1,49.3,3349.5,47.8,371.3,2744.7,3320.8,174.1,72.6,18.2
0.045549,367.8,39.0,2731.3,51.4,3349.7,54.0,369.2,2755.9,3327.3,173.6,72.7,19.7
0.047549,367.7,39.7,2743.0,54.2,3350.3,58.6,367.4,2766.6,3333.4,173,72.8,20.6
0.049549,369.0,41.1,2754.2,57.3,3353.6,60.6,365.7,2776.6,3338.9,172.4,72.8,21.1
0.051549,370.7,43.3,2764.1,61.4,3358.9,60.7,364.3,2785.7,3343.6,171.7,72.7,21.1
0.053549,372.3,45.7,2775.0,67.2,3363.5,60.6,363.2,2793.5,3347.3,171.1,72.7,20.9
0.055549,372.7,47.2,2784.2,72.2,3363.7,60.8,362.5,2799.8,3350,170.5,72.6,20.3
0.057549,370.9,47.4,2786.3,73.5,3358.7,60.9,362.3,2804.5,3351.5,169.8,72.6,19.1
0.059549,367.3,46.1,2781.4,72.2,3350.9,60.9,362.6,2807.5,3351.6,169.1,72.5,17.7
0.061549,363.9,44.6,2773.8,70.1,3344.3,61.3,363.4,2808.7,3350.4,168.5,72.4,16.3
0.063549,361.3,43.4,2765.9,67.5,3338.6,63.1,364.7,2808,3347.8,167.8,72.4,15.3
0.065549,360.1,43.2,2760.5,64.0,3332.7,66.5,366.6,2805.4,3343.8,167.1,72.3,14.8
0.067549,360.5,44.4,2760.1,60.0,3326.4,70.1,369.1,2801,3338.4,166.4,72.2,14.4
0.069549,362.4,47.0,2765.4,56.0,3320.1,72.3,372.1,2794.9,3331.6,165.7,72.1,14.2
0.071549,366.3,50.5,2772.7,53.1,3315.3,72.4,375.6,2787.2,3323.7,165,72.1,14
0.073549,372.2,54.7,2777.0,51.5,3310.8,71.9,379.7,2778.1,3314.6,164.3,72.1,13.7
0.075549,379.2,58.4,2773.5,51.5,3303.1,73.1,384.3,2767.7,3304.4,163.7,72.1,13.3
0.077549,386.6,60.2,2763.8,52.7,3289.8,77.4,389.3,2756.3,3293.4,163,72.2,12.9
0.079549,394.0,59.5,2753.2,55.1,3271.6,84.7,394.7,2744.1,3281.7,162.3,72.4,12.5
0.081549,400.3,57.6,2748.5,60.4,3255.9,95.4,400.5,2731.3,3269.4,161.6,72.5,12.1
0.083549,406.7,55.5,2750.7,70.8,3245.8,112.1,406.6,2718.1,3256.6,161,72.7,11.6
0.085549,413.7,52.9,2756.4,82.9,3242.7,130.5,413,2704.8,3243.6,160.3,72.8,11.1
0.087549,421.8,50.2,2758.8,90.2,3243.7,142.4,419.5,2691.5,3230.4,159.7,72.9,10.4
0.089549,432.8,47.2,2752.4,90.1,3243.7,144.4,426.1,2678.4,3217.1,159.1,73.1,9.7
0.091549,444.8,42.9,2737.6,82.2,3237.5,136.7,432.9,2665.6,3204,158.4,73.2,9.2
0.093549,455.8,36.9,2718.9,69.2,3220.1,125.6,439.7,2653.3,3191,157.8,73.4,8.9
0.095549,464.3,30.6,2701.8,58.6,3190.2,117.4,446.4,2641.4,3178.3,157.2,73.7,8.9
0.097549,470.0,25.2,2687.0,53.9,3156.0,111.6,453.1,2630.1,3165.7,156.6,74.2,9.2
0.099549,472.7,20.2,2671.6,54.1,3127.1,107.8,459.7,2619.2,3153.4,156,74.8,9.6
0.101549,473.2,16.4,2652.8,59.8,3109.6,111.0,466.1,2608.6,3141.3,155.4,75.5,10.2
0.103549,473.4,13.4,2621.8,72.1,3097.0,123.4,472.5,2598.3,3129.4,154.8,76.2,10.7
0.105549,473.7,11.2,2578.1,83.5,3087.9,138.8,478.6,2588.1,3117.6,154.3,77,11.4
0.107549,474.0,9.5,2539.1,87.0,3084.0,152.6,484.5,2577.8,3105.7,153.7,77.8,12.4
0.109549,475.1,8.2,2513.1,92.3,3078.9,171.3,490.3,2567,3093.6,153.1,78.4,13.3
0.111549,476.9,7.5,2497.4,109.8,3065.8,197.8,495.8,2555.7,3081.3,152.5,79,14
0.113549,478.7,7.4,2478.7,145.6,3040.4,230.1,501.2,2543.5,3068.5,152,79.4,14.1
0.115549,480.8,8.0,2443.3,188.9,3008.6,251.5,506.4,2530,3055.1,151.4,79.6,13.4
0.117549,485.2,9.6,2398.3,203.2,2992.6,259.3,511.4,2515.1,3040.8,150.8,79.7,12.2
0.119549,494.4,12.4,2365.1,186.6,3000.4,268.2,516.3,2498.4,3025.7,150.3,79.6,10.7
0.121549,507.5,15.4,2348.6,168.2,3021.5,271.4,521.1,2479.7,3009.5,149.7,79.4,9.3
0.123549,524.0,17.8,2339.2,157.4,3043.8,261.6,525.7,2458.7,2992,149.1,79.1,8.3
0.125549,540.7,17.7,2334.1,156.1,3055.8,247.0,530.3,2435.2,2973.2,148.6,78.9,8
0.127549,553.5,15.0,2335.0,167.0,3055.6,244.4,534.8,2409.1,2953,148,78.8,7.9
0.129549,562.7,11.4,2350.3,200.7,3042.4,266.6,539.2,2380.2,2931.3,147.4,78.9,8
0.131549,568.6,8.9,2389.1,264.2,3013.2,314.0,543.6,2348.6,2908.1,146.9,79.1,8.2
0.133549,572.3,7.3,2440.6,355.6,2954.7,365.0,548,2314.1,2883.4,146.3,79.5,8.5
0.135549,574.4,6.3,2448.0,466.9,2869.0,334.9,552.3,2276.8,2857.2,145.8,79.8,8.9
0.137549,575.5,5.9,2392.7,550.5,2812.2,251.4,556.6,2237,2829.7,145.3,80.1,9.5
0.139549,575.7,6.0,2322.5,627.1,2776.5,203.5,560.9,2194.7,2800.9,144.7,80.3,10.2
0.141549,574.9,6.8,2252.3,758.1,2751.0,193.0,565.1,2150.2,2771,144.2,80.4,10.9
0.143549,573.1,7.8,2167.3,955.6,2729.2,214.2,569.3,2103.8,2740.2,143.7,80.3,11.6
