time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025018,377.0,47.9,2862.8,91.5,3506.5,82.2,369.8,2893.6,3541.9,201.8,66.2,-33.8
0.027018,374.4,42.8,2862.7,82.9,3512.2,80.4,370.1,2893.7,3542.2,201.9,67.5,7.7
0.029018,372.3,38.4,2865.6,80.9,3520.3,85.1,370.6,2893.9,3542.7,202,68.6,21.6
0.031018,371.2,35.7,2870.2,79.4,3533.3,93.7,371.2,2894.3,3543.4,202,69.5,24
0.033018,371.1,34.9,2875.2,74.3,3551.2,102.9,372,2894.7,3544.2,202.1,70.2,19.8
0.035018,372.1,35.4,2879.8,67.0,3566.9,108.7,372.9,2895.2,3545.1,202.1,70.8,14.1
0.037018,373.6,36.0,2885.4,60.9,3574.3,110.6,374,2895.9,3546.2,202.1,71.3,11.7
0.039018,375.1,36.1,2892.4,57.8,3572.3,109.6,375.3,2896.8,3547.4,202.1,71.7,12.6
0.041018,376.3,36.1,2898.4,56.1,3568.0,108.6,376.6,2897.7,3548.6,202.1,72.1,13.7
0.043018,377.9,36.2,2901.8,54.6,3565.9,111.2,378.1,2898.9,3549.8,202,72.3,14.8
0.045018,379.7,36.2,2902.5,54.3,3566.6,118.5,379.6,2900.3,3551,202,72.6,15.7
0.047018,381.6,35.9,2903.0,56.7,3567.6,129.8,381.2,2901.8,3552.2,201.9,72.8,16.2
0.049018,383.2,35.0,2905.3,62.6,3566.9,140.7,382.9,2903.6,3553.3,201.7,73,16.2
0.051018,384.4,34.1,2909.8,70.3,3564.4,148.5,384.5,2905.5,3554.2,201.6,73.1,15.8
0.053018,385.6,33.6,2916.6,78.7,3559.8,154.5,386.2,2907.8,3555,201.4,73.2,15.2
0.055018,386.6,33.8,2925.6,86.7,3552.6,160.9,387.9,2910.2,3555.6,201.2,73.2,14.6
0.057018,387.6,34.5,2938.6,94.4,3542.7,169.7,389.5,2912.9,3555.9,201,73.3,14.1
0.059018,388.5,35.3,2954.2,98.2,3534.4,178.2,391.1,2915.8,3555.9,200.7,73.3,13.7
0.061018,389.4,35.7,2966.5,94.9,3532.8,182.5,392.6,2918.9,3555.5,200.5,73.3,13.4
0.063018,390.5,35.5,2972.1,86.1,3537.6,183.5,394,2922.2,3554.9,200.2,73.4,13.1
0.065018,391.9,34.9,2970.7,77.0,3544.5,182.0,395.4,2925.6,3553.8,199.9,73.4,12.9
0.067018,393.5,33.9,2964.6,69.8,3549.6,174.7,396.6,2929.3,3552.3,199.6,73.4,13
0.069018,394.8,32.7,2956.9,65.0,3548.8,159.7,397.7,2933,3550.3,199.2,73.4,13.4
0.071018,395.6,32.0,2951.0,61.7,3543.0,145.9,398.7,2936.8,3547.9,198.9,73.5,14.2
0.073018,396.4,31.8,2948.6,59.5,3536.1,138.8,399.6,2940.6,3545,198.6,73.5,15.1
0.075018,397.1,31.9,2949.7,58.7,3531.0,138.0,400.3,2944.4,3541.6,198.2,73.6,15.9
0.077018,398.0,32.0,2951.8,58.7,3527.5,138.0,400.9,2948.1,3537.7,197.8,73.6,16.5
0.079018,399.1,31.9,2953.1,58.7,3525.0,135.7,401.3,2951.7,3533.2,197.5,73.6,16.8
0.081018,400.2,31.4,2953.4,58.0,3523.7,133.2,401.7,2955.1,3528.2,197.1,73.7,17
0.083018,401.4,30.2,2953.6,56.9,3523.9,135.8,401.9,2958.2,3522.7,196.7,73.7,17.1
0.085018,402.5,28.5,2954.0,57.0,3525.6,147.2,402,2960.9,3516.7,196.3,73.8,17.2
