time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025943,346.2,224.2,2728.5,307.1,3748.9,77.2,411.9,2630,3704.3,220.3,66.3,8.9
0.027943,386.4,226.4,2687.1,201.4,3746.5,93.4,412.4,2631,3702.4,220.4,67.2,10.4
0.029943,404.2,203.3,2664.3,157.1,3745.6,138.8,413.3,2632.8,3699.4,220.5,68,11.8
0.031943,405.4,189.0,2656.2,147.9,3751.5,259.0,414.5,2635.2,3695.1,220.7,68.6,13.1
0.033943,401.3,183.5,2659.7,161.5,3743.2,513.2,416,2638.3,3689.7,220.9,69.2,14.5
0.035943,399.4,179.7,2667.3,181.7,3660.9,684.6,417.8,2642,3683.2,221.1,69.7,15.8
0.037943,400.2,175.9,2675.4,193.8,3629.6,610.5,419.9,2646.2,3675.7,221.4,70.1,17.1
0.039943,404.0,170.4,2681.4,194.4,3638.5,497.4,422.2,2650.9,3667.2,221.6,70.4,18.5
0.041943,411.4,160.5,2682.2,192.8,3649.0,438.6,424.8,2656,3657.7,221.9,70.6,19.7
0.043943,420.8,146.3,2674.9,197.3,3649.2,465.9,427.6,2661.5,3647.5,222.3,70.7,20.6
0.045943,429.9,131.6,2661.5,207.2,3624.9,552.6,430.6,2667.2,3636.6,222.6,70.7,21.1
0.047943,438.3,121.3,2647.7,218.6,3591.1,631.5,433.7,2673.2,3625,223,70.6,21.3
0.049943,445.3,119.7,2638.8,230.1,3591.9,669.7,437,2679.3,3612.9,223.5,70.5,21.2
0.051943,452.1,126.6,2631.9,246.4,3624.6,650.0,440.3,2685.4,3600.4,223.9,70.2,21
0.053943,458.5,138.9,2630.8,267.8,3664.1,593.6,443.7,2691.5,3587.6,224.4,69.8,20.5
0.055943,465.0,148.7,2641.5,285.8,3696.3,555.0,447.1,2697.5,3574.6,224.9,69.3,19.9
0.057943,473.5,148.4,2661.2,292.0,3711.1,573.1,450.5,2703.3,3561.5,225.5,68.7,19
0.059943,483.0,138.0,2676.3,285.0,3671.8,692.3,453.8,2708.8,3548.5,226,68.1,18
0.061943,491.6,123.2,2680.3,270.2,3534.7,797.7,457,2713.9,3535.6,226.6,67.5,16.9
0.063943,497.8,109.4,2677.6,249.7,3402.4,787.7,460.2,2718.7,3522.9,227.2,66.9,15.8
0.065943,501.7,98.7,2678.7,222.5,3335.5,770.0,463.2,2723,3510.7,227.8,66.6,15
0.067943,503.7,92.2,2687.6,190.9,3313.6,793.4,466,2726.7,3498.8,228.4,66.6,14.1
0.069943,503.2,92.3,2700.8,164.8,3324.9,858.2,468.6,2729.9,3487.5,229,66.9,13.2
0.071943,500.3,99.5,2715.1,145.6,3371.4,964.7,471,2732.5,3476.9,229.6,67.4,12.6
0.073943,496.2,111.3,2728.0,134.7,3434.5,1122.1,473.2,2734.5,3466.9,230.3,68,12.5
