time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025703,300.6,106.4,2856.2,265.4,3912.8,511.2,361.6,2878.1,3936.5,225.5,65,10
0.027703,306.2,95.1,2841.4,255.5,3875.5,540.9,361.7,2878.2,3937.6,225.5,66,22.8
0.029703,311.8,91.2,2836.0,263.4,3856.4,561.7,362,2878.4,3939.3,225.5,67,23.6
0.031703,315.2,88.3,2845.7,269.2,3848.4,609.4,362.3,2878.7,3941.8,225.5,67.9,17.5
0.033703,316.7,86.4,2860.8,257.8,3840.7,667.5,362.7,2879.1,3944.9,225.6,68.7,10.1
0.035703,318.2,87.1,2870.1,241.5,3829.0,700.0,363.2,2879.5,3948.7,225.7,69.4,6.7
0.037703,321.6,89.9,2876.4,231.8,3813.0,715.6,363.8,2880,3953.2,225.8,70,7.4
0.039703,327.7,93.0,2884.8,230.4,3802.1,738.9,364.5,2880.6,3958.3,225.9,70.3,8.8
0.041703,335.2,94.5,2898.4,233.1,3809.7,792.7,365.3,2881.3,3964,226.1,70.6,10.5
0.043703,342.6,94.6,2916.7,234.3,3844.2,892.5,366.2,2882,3970.3,226.3,70.8,12.1
0.045703,349.3,94.8,2932.5,231.7,3898.9,1024.3,367.1,2882.8,3977.1,226.5,70.8,13.4
0.047703,357.1,96.0,2942.7,224.0,3967.3,1180.6,368.1,2883.7,3984.4,226.7,70.8,14.4
0.049703,366.9,97.5,2946.3,207.1,4045.9,1332.2,369.2,2884.6,3992.2,227,70.7,15.3
0.051703,378.3,98.2,2942.4,181.6,4128.6,1425.9,370.3,2885.6,4000.5,227.3,70.5,16.1
0.053703,392.0,97.5,2930.6,154.4,4191.1,1397.8,371.5,2886.6,4009.1,227.6,70.1,16.5
0.055703,406.7,95.7,2915.7,134.9,4187.3,1245.3,372.8,2887.7,4018.1,227.9,69.7,16.7
0.057703,422.3,92.9,2902.0,122.6,4131.4,1059.7,374.1,2888.9,4027.4,228.2,69.3,16.2
0.059703,436.3,90.1,2893.6,114.6,4083.0,914.0,375.4,2890.1,4037,228.5,68.8,15.2
0.061703,446.7,88.4,2890.4,108.3,4074.5,821.7,376.8,2891.3,4046.9,228.9,68.5,14.1
0.063703,452.9,88.2,2888.9,102.9,4105.4,764.3,378.2,2892.6,4056.9,229.2,68.4,13.1
0.065703,453.6,89.0,2886.7,99.0,4157.7,730.8,379.6,2893.9,4067,229.6,68.5,12.7
0.067703,448.8,90.7,2883.1,97.3,4218.0,710.0,381.1,2895.2,4077.2,229.9,68.7,13
0.069703,439.7,93.6,2879.5,97.2,4276.6,687.6,382.6,2896.5,4087.5,230.3,69.2,13.8
0.071703,428.7,97.4,2876.5,97.0,4327.0,644.9,384,2897.9,4097.7,230.6,69.6,14.8
0.073703,417.4,101.5,2874.4,95.3,4365.8,583.3,385.5,2899.3,4107.9,231,70.1,15.9
0.075703,408.2,105.0,2874.4,93.3,4386.2,532.6,387,2900.7,4117.9,231.4,70.5,16.8
0.077703,401.1,107.8,2878.2,93.1,4388.1,510.7,388.5,2902.1,4127.8,231.7,70.8,17.5
0.079703,396.5,110.5,2886.2,96.3,4368.1,525.0,389.9,2903.5,4137.5,232.1,71,18.3
0.081703,394.0,113.4,2897.0,102.4,4328.1,561.6,391.3,2904.9,4146.9,232.4,71.1,19.1
0.083703,393.3,116.3,2909.4,110.0,4273.9,597.9,392.7,2906.3,4156,232.8,71.1,19.7
0.085703,394.3,117.8,2921.8,116.7,4223.8,611.8,394.1,2907.7,4164.8,233.1,71.1,20.1
0.087703,396.9,117.5,2934.9,122.0,4185.5,599.3,395.4,2909.1,4173.2,233.5,71,20.3
0.089703,400.8,115.2,2947.9,125.4,4163.4,569.4,396.6,2910.4,4181.1,233.8,70.8,20.2
0.091703,405.2,111.5,2958.9,128.8,4154.7,542.1,397.8,2911.8,4188.6,234.1,70.7,20.1
0.093703,409.3,107.3,2965.9,134.5,4152.5,531.2,399,2913.1,4195.5,234.5,70.5,19.9
0.095703,411.8,104.0,2964.1,142.9,4148.2,545.0,400,2914.4,4201.9,234.8,70.4,19.9
0.097703,412.0,102.4,2950.5,149.9,4133.7,579.6,401.1,2915.6,4207.8,235.1,70.4,19.8
0.099703,409.7,102.0,2928.2,150.5,4105.8,626.1,402,2916.8,4213,235.4,70.5,19.7
0.101703,405.8,101.6,2908.4,144.6,4070.7,672.8,402.8,2918,4217.6,235.7,70.6,19.6
0.103703,401.1,100.3,2895.6,135.9,4029.3,715.4,403.6,2919.2,4221.5,236.1,70.9,19.7
0.105703,396.5,97.8,2889.7,126.3,3992.0,736.4,404.3,2920.3,4224.8,236.4,71.1,19.9
0.107703,392.3,94.5,2886.8,114.2,3972.7,727.4,404.9,2921.3,4227.3,236.7,71.3,20.4
0.109703,388.8,91.6,2884.2,99.6,3983.9,690.4,405.4,2922.3,4229.1,237,71.5,21.1
0.111703,386.6,88.9,2880.9,85.3,4015.4,636.4,405.7,2923.3,4230.3,237.3,71.7,21.9
0.113703,385.7,85.5,2877.9,73.7,4049.4,578.7,406,2924.2,4230.7,237.6,71.8,22.7
0.115703,386.1,81.3,2877.2,67.2,4071.5,535.5,406.2,2925,4230.3,237.9,71.9,23.4
0.117703,387.6,76.8,2879.1,64.8,4083.8,501.8,406.3,2925.8,4229.2,238.2,71.9,24.1
0.119703,389.8,73.1,2882.5,64.0,4094.4,467.3,406.3,2926.5,4227.4,238.5,71.8,24.7
0.121703,392.0,70.8,2885.0,61.9,4108.9,428.2,406.1,2927.2,4224.8,238.9,71.8,25.3
0.123703,393.8,69.4,2884.7,56.9,4127.9,385.4,405.9,2927.8,4221.5,239.2,71.8,25.8
0.125703,394.7,68.7,2881.8,50.1,4146.7,347.2,405.5,2928.4,4217.5,239.5,71.8,26.1
0.127703,394.8,68.4,2878.2,43.0,4163.7,317.0,405,2928.9,4212.8,239.8,71.8,26.2
0.129703,393.8,68.2,2875.7,37.4,4176.9,300.0,404.5,2929.3,4207.5,240.2,71.8,26.1
0.131703,391.8,68.0,2875.0,33.7,4185.2,296.1,403.8,2929.7,4201.4,240.5,71.8,25.9
0.133703,389.1,67.8,2876.5,31.7,4187.4,301.6,403,2930,4194.7,240.9,71.8,25.7
0.135703,386.3,68.3,2880.8,31.5,4180.8,313.7,402.1,2930.3,4187.5,241.3,71.9,25.4
0.137703,383.7,68.9,2887.8,33.6,4166.3,335.7,401,2930.5,4179.6,241.6,71.9,25.1
0.139703,381.6,68.9,2897.6,38.9,4147.2,372.1,399.9,2930.7,4171.2,242,71.9,24.6
0.141703,380.2,68.8,2908.5,46.8,4131.9,400.4,398.7,2930.8,4162.2,242.4,71.9,24.1
0.143703,379.7,69.7,2919.5,55.8,4127.7,389.9,397.4,2930.8,4152.8,242.8,71.9,23.7
0.145703,379.8,71.7,2928.5,64.7,4134.2,341.5,396,2930.8,4142.9,243.2,71.9,23.4
0.147703,380.2,74.2,2936.0,76.1,4141.3,282.9,394.5,2930.8,4132.7,243.7,71.9,23.2
0.149703,380.7,77.1,2944.3,92.1,4143.5,239.6,392.9,2930.7,4122,244.1,71.9,23.1
0.151703,381.3,80.5,2956.0,107.4,4143.1,219.8,391.2,2930.5,4111.1,244.6,71.9,23.2
0.153703,381.9,83.5,2968.1,108.2,4143.5,222.0,389.4,2930.3,4099.9,245,71.9,23.2
0.155703,382.0,84.6,2971.7,91.1,4142.9,243.3,387.6,2930.1,4088.4,245.5,71.9,23.4
0.157703,381.6,83.9,2969.6,74.2,4134.3,272.1,385.7,2929.8,4076.7,246,72,23.6
0.159703,380.7,82.2,2969.1,65.0,4113.4,291.8,383.7,2929.5,4064.9,246.6,72,24
0.161703,379.9,80.8,2972.8,62.4,4092.6,295.1,381.6,2929.1,4053,247.1,72.1,24.5
0.163703,379.5,80.2,2979.5,63.0,4085.4,295.2,379.5,2928.7,4041.1,247.6,72.1,24.9
0.165703,379.3,80.5,2985.6,64.5,4096.1,305.5,377.4,2928.3,4029.1,248.2,72.2,25.1
0.167703,379.2,81.0,2987.6,66.0,4113.9,331.1,375.2,2927.8,4017.2,248.8,72.2,25.3
0.169703,378.7,80.9,2986.5,69.3,4130.0,380.6,372.9,2927.3,4005.4,249.4,72.2,25.3
0.171703,378.0,79.8,2985.0,76.7,4142.7,461.7,370.7,2926.8,3993.7,250,72.2,25.3
0.173703,377.3,78.2,2984.1,90.6,4155.5,591.5,368.4,2926.3,3982.2,250.7,72.2,25.3
0.175703,376.9,77.2,2983.3,110.5,4158.2,759.3,366,2925.7,3970.9,251.4,72.1,25.2
0.177703,376.8,77.3,2980.1,134.4,4117.7,919.5,363.7,2925.1,3959.8,252,72.1,25.1
0.179703,376.6,78.9,2972.3,151.1,4034.7,930.5,361.3,2924.5,3949,252.7,72,24.9
0.181703,376.0,81.6,2962.2,149.4,3974.4,823.7,358.9,2923.9,3938.6,253.5,71.9,24.6
0.183703,374.7,84.7,2955.6,134.3,3946.0,705.7,356.6,2923.2,3928.5,254.2,71.8,24.3
0.185703,372.9,88.0,2955.9,118.3,3939.7,612.9,354.2,2922.5,3918.8,255,71.6,24
0.187703,371.1,92.2,2961.4,107.4,3943.0,538.7,351.9,2921.9,3909.5,255.7,71.4,23.7
