time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025358,399.1,352.3,2733.6,218.7,2980.3,527.0,371.8,2543.3,2976.2,244,69.6,18
0.027358,367.1,291.3,2681.9,450.1,2888.1,370.8,371.8,2543.9,2977.2,244.1,69.8,17.9
0.029358,364.3,258.2,2560.8,479.8,2908.5,277.1,371.8,2544.9,2978.8,244.2,70,16.8
0.031358,368.4,241.4,2511.2,403.3,2928.1,248.2,371.8,2546.3,2981.1,244.3,70.3,15.1
0.033358,372.7,227.1,2501.5,309.5,2946.3,236.4,371.8,2548,2984,244.4,70.6,13.3
0.035358,372.5,212.4,2501.7,225.2,2958.2,222.8,371.8,2550.2,2987.5,244.5,71.1,11.9
0.037358,365.4,195.1,2498.7,159.4,2960.0,193.6,371.7,2552.6,2991.7,244.6,71.7,11.2
0.039358,353.7,176.8,2496.1,119.6,2958.3,156.8,371.7,2555.4,2996.5,244.7,72.4,11.5
0.041358,343.0,159.7,2499.3,101.2,2965.1,131.9,371.6,2558.6,3002,244.8,73.1,12.5
0.043358,336.2,145.9,2508.9,97.4,2982.7,123.4,371.5,2562,3008.1,244.8,73.8,13.9
0.045358,334.7,139.7,2521.8,101.8,3006.2,128.9,371.3,2565.7,3014.9,244.9,74.4,15.3
0.047358,337.1,140.1,2535.8,107.2,3036.6,143.4,371.2,2569.6,3022.2,245,74.9,16.5
0.049358,341.9,145.1,2547.2,108.5,3073.0,158.7,370.9,2573.8,3030.2,245,75.3,17.3
0.051358,348.2,152.1,2555.1,106.2,3109.2,165.0,370.7,2578.2,3038.8,245,75.5,18
0.053358,356.0,159.8,2562.9,103.2,3140.6,159.5,370.3,2582.8,3048,245.1,75.7,18.7
0.055358,364.2,165.7,2572.1,100.4,3160.7,147.4,369.9,2587.5,3057.7,245.1,75.7,19.5
0.057358,372.8,169.1,2583.2,96.4,3172.4,135.7,369.5,2592.3,3068.1,245,75.8,20.3
0.059358,380.1,169.8,2593.6,91.0,3177.2,130.7,369,2597.2,3079,245,75.7,21.5
0.061358,384.4,169.4,2601.5,86.3,3176.9,135.8,368.4,2602.2,3090.5,245,75.7,22.9
0.063358,385.0,169.6,2609.1,83.8,3172.4,154.4,367.7,2607.2,3102.5,244.9,75.7,24.3
0.065358,382.7,170.9,2618.1,83.5,3165.8,187.5,366.9,2612.2,3115,244.8,75.7,25.4
0.067358,379.0,173.0,2630.4,83.4,3158.5,240.4,366.1,2617.2,3127.9,244.7,75.8,26
0.069358,375.7,174.8,2644.6,81.4,3153.0,313.9,365.1,2622.2,3141.4,244.6,75.8,26
0.071358,373.6,175.6,2657.7,76.6,3151.3,401.8,364.1,2627.1,3155.2,244.4,75.8,25.3
0.073358,373.1,175.6,2668.3,68.8,3156.7,497.2,363,2631.9,3169.4,244.3,75.8,24.5
0.075358,374.9,175.6,2673.8,60.8,3171.7,557.3,361.8,2636.6,3184,244.1,75.7,23.7
0.077358,379.8,176.0,2675.4,54.6,3192.1,554.2,360.5,2641.2,3199,243.9,75.6,23.3
0.079358,387.2,175.6,2674.9,51.0,3211.4,501.4,359.2,2645.6,3214.1,243.7,75.6,23.5
0.081358,394.4,173.4,2674.4,49.1,3230.0,445.0,357.7,2649.9,3229.6,243.4,75.5,23.9
0.083358,399.9,170.3,2674.1,48.2,3250.9,403.8,356.2,2654,3245.2,243.2,75.4,24.5
0.085358,402.6,168.3,2673.5,47.7,3270.5,386.3,354.6,2657.8,3261,243,75.4,25
0.087358,402.6,168.3,2672.2,47.1,3286.5,390.5,353,2661.5,3276.8,242.7,75.5,25.1
0.089358,399.7,170.5,2671.0,46.2,3293.8,414.7,351.3,2665,3292.7,242.4,75.6,24.8
0.091358,394.2,173.2,2670.5,45.7,3289.8,449.2,349.5,2668.2,3308.6,242.2,75.7,24.2
0.093358,385.5,175.6,2671.4,46.7,3277.0,486.6,347.8,2671.3,3324.5,241.9,75.8,23.5
0.095358,375.0,176.7,2673.0,49.6,3264.4,518.8,346,2674.1,3340.2,241.6,75.9,22.8
0.097358,363.4,175.8,2675.0,54.6,3259.3,552.6,344.2,2676.7,3355.8,241.3,76,22.4
0.099358,351.6,172.2,2676.4,61.8,3267.4,595.2,342.4,2679.1,3371.1,241,76.1,22.2
0.101358,340.2,165.6,2677.0,70.8,3286.6,646.5,340.7,2681.3,3386.1,240.7,76.2,22.2
0.103358,329.0,155.3,2677.6,81.2,3312.6,707.9,338.9,2683.2,3400.9,240.3,76.3,22.2
0.105358,319.8,144.6,2679.3,88.1,3338.4,778.0,337.2,2685,3415.2,240,76.3,22.4
0.107358,312.8,135.9,2682.7,88.8,3363.0,866.4,335.6,2686.6,3429,239.7,76.3,22.6
0.109358,307.9,131.0,2687.3,86.6,3374.9,954.4,334.1,2688,3442.4,239.4,76.4,23
0.111358,304.4,128.7,2692.8,88.3,3363.4,1003.7,332.6,2689.3,3455.2,239.1,76.5,23.5
0.113358,301.3,126.8,2698.9,96.0,3342.2,1002.3,331.3,2690.4,3467.4,238.7,76.6,24
0.115358,298.1,123.6,2705.5,104.4,3347.6,999.1,330,2691.3,3479,238.4,76.7,24.6
0.117358,294.4,118.2,2713.7,107.5,3398.2,1047.9,329,2692.2,3489.9,238.1,76.8,25
0.119358,291.0,112.2,2719.5,105.2,3484.3,1127.7,328,2692.9,3500,237.8,76.8,25.3
0.121358,288.8,107.4,2718.2,103.2,3567.7,1167.1,327.2,2693.6,3509.4,237.5,76.9,25.5
0.123358,287.7,104.4,2707.4,103.8,3623.0,1136.7,326.6,2694.1,3518,237.1,76.9,25.7
0.125358,287.8,104.4,2690.6,104.3,3646.5,1056.7,326.2,2694.7,3525.7,236.8,76.9,25.8
0.127358,289.5,108.5,2672.4,101.4,3659.8,952.7,326,2695.1,3532.6,236.5,76.9,25.8
0.129358,292.7,116.9,2659.1,96.1,3668.9,853.4,326,2695.6,3538.6,236.2,76.8,25.6
0.131358,296.8,126.8,2652.3,92.5,3669.9,777.7,326.2,2696,3543.8,235.9,76.7,25.3
0.133358,301.1,136.6,2648.5,92.1,3662.0,723.7,326.7,2696.5,3548,235.6,76.5,24.8
0.135358,305.1,145.1,2645.0,93.0,3654.1,686.9,327.4,2696.9,3551.3,235.3,76.4,24.4
0.137358,309.4,153.3,2641.3,92.1,3655.0,656.3,328.3,2697.4,3553.8,235,76.2,24.1
0.139358,313.5,160.5,2639.1,89.8,3662.6,638.4,329.4,2697.9,3555.3,234.7,76,23.9
0.141358,316.9,166.0,2639.5,89.4,3666.4,639.4,330.8,2698.5,3555.9,234.4,75.7,23.7
0.143358,320.1,171.3,2643.9,92.9,3660.5,655.7,332.4,2699.1,3555.7,234.1,75.5,23.5
0.145358,324.1,177.8,2654.1,99.0,3643.9,676.3,334.2,2699.7,3554.6,233.8,75.3,23.3
0.147358,330.2,187.7,2672.5,101.9,3618.5,695.2,336.3,2700.4,3552.7,233.5,75,23.1
0.149358,338.7,199.5,2694.3,94.5,3589.9,705.9,338.6,2701.2,3550,233.2,74.8,23
0.151358,347.9,209.8,2711.5,80.9,3560.7,704.7,341.1,2702,3546.6,232.9,74.5,22.8
0.153358,357.3,217.9,2724.1,67.8,3528.7,689.9,343.9,2702.9,3542.4,232.7,74.2,22.7
0.155358,366.0,223.6,2733.0,58.7,3502.6,658.1,346.8,2703.9,3537.6,232.4,74,22.6
0.157358,374.8,227.0,2739.8,51.4,3486.9,607.1,349.9,2704.9,3532.1,232.1,73.7,22.4
0.159358,382.1,226.9,2743.7,45.0,3478.7,551.2,353.2,2705.9,3526.1,231.9,73.5,22.4
0.161358,386.9,224.9,2745.0,40.0,3467.5,506.4,356.7,2707,3519.5,231.6,73.3,22.3
0.163358,390.9,222.9,2745.4,35.9,3447.5,472.5,360.3,2708.1,3512.5,231.4,73.1,22.2
0.165358,395.2,222.0,2745.9,32.9,3425.5,448.7,364,2709.2,3505.1,231.1,72.9,22.1
0.167358,400.1,221.5,2746.0,30.0,3409.1,432.4,367.8,2710.4,3497.3,230.9,72.7,22.1
0.169358,403.7,220.7,2745.1,27.5,3403.4,428.8,371.8,2711.5,3489.3,230.6,72.6,22
0.171358,405.7,220.0,2743.5,25.4,3403.9,438.0,375.8,2712.7,3481,230.4,72.5,21.9
0.173358,407.2,219.8,2741.8,23.7,3403.0,454.4,379.8,2713.8,3472.6,230.2,72.5,21.9
0.175358,408.8,220.6,2740.8,22.4,3397.7,465.8,383.9,2714.8,3464,230,72.4,21.9
0.177358,410.4,222.2,2740.1,21.4,3391.6,463.3,387.9,2715.8,3455.4,229.8,72.4,22
0.179358,411.8,224.3,2739.5,20.7,3390.8,447.2,392,2716.8,3446.9,229.5,72.5,22.3
0.181358,412.2,226.4,2738.7,20.6,3395.2,430.1,396,2717.6,3438.4,229.3,72.6,22.8
