time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025186,333.4,118.0,2888.9,365.3,3046.9,231.3,365.1,2862.8,3352.4,233.8,68,11.1
0.027186,341.2,112.1,2880.8,248.0,3099.2,291.4,365.4,2862.9,3356,234.4,68.3,12
0.029186,348.1,110.9,2868.8,196.0,3158.4,342.0,365.9,2863.2,3362,235,68.6,12.7
0.031186,356.6,114.3,2853.3,151.3,3254.5,373.9,366.6,2863.5,3370.2,235.7,68.7,13.2
0.033186,367.0,118.5,2839.2,116.9,3359.4,352.8,367.5,2864,3380.6,236.4,68.8,13.6
0.035186,378.4,118.5,2832.5,94.1,3439.5,311.6,368.5,2864.5,3393.1,237.1,68.7,13.8
0.037186,388.1,114.7,2832.9,84.0,3486.1,284.8,369.7,2865.2,3407.5,237.9,68.7,14
0.039186,396.4,109.9,2836.4,81.9,3516.0,271.9,370.9,2865.9,3423.7,238.7,68.6,14.1
0.041186,401.9,106.9,2840.3,83.3,3534.7,273.3,372.2,2866.8,3441.6,239.5,68.7,14
0.043186,403.0,107.6,2842.3,81.7,3546.7,292.5,373.5,2867.9,3460.9,240.4,68.9,13.8
0.045186,399.0,111.8,2845.0,76.1,3557.2,340.0,374.8,2869,3481.4,241.3,69.2,13.6
0.047186,391.0,118.2,2852.0,70.0,3568.6,421.6,376.1,2870.3,3502.9,242.3,69.7,13.6
0.049186,379.9,126.9,2865.4,63.4,3583.2,532.4,377.2,2871.8,3525.2,243.3,70.3,13.9
0.051186,370.2,137.0,2881.6,56.6,3610.2,608.0,378.3,2873.4,3548.1,244.3,70.8,14.6
0.053186,364.6,147.3,2898.1,50.9,3663.3,614.9,379.1,2875.2,3571.3,245.3,71.3,15.5
0.055186,363.5,155.8,2914.7,48.9,3734.0,558.3,379.7,2877.1,3594.6,246.4,71.7,16.3
0.057186,364.3,159.3,2930.5,55.2,3785.4,482.2,380.1,2879.1,3617.7,247.5,72,17
0.059186,363.1,157.7,2942.3,70.7,3798.0,438.8,380.2,2881.3,3640.5,248.6,72.2,17.3
0.061186,361.4,153.0,2945.8,88.9,3787.2,423.6,380.1,2883.6,3662.6,249.7,72.2,17.1
0.063186,362.2,147.4,2940.2,101.1,3772.0,416.8,379.6,2886,3683.9,250.9,72.1,16.8
0.065186,365.7,142.7,2928.9,110.7,3760.3,411.2,378.7,2888.5,3704.1,252,71.9,16.5
0.067186,369.8,139.6,2914.7,121.0,3752.2,412.7,377.6,2891.1,3723.1,253.2,71.8,16.3
0.069186,372.8,138.5,2899.7,126.7,3744.4,432.0,376,2893.8,3740.7,254.3,71.6,16.6
0.071186,374.6,140.2,2887.6,119.4,3738.3,473.3,374.1,2896.4,3756.6,255.5,71.4,17.3
0.073186,376.2,144.6,2880.1,101.8,3742.7,519.0,371.9,2899.1,3770.9,256.7,71.3,18.2
0.075186,378.6,149.8,2875.9,83.8,3755.8,533.8,369.3,2901.8,3783.3,257.9,71.2,19
0.077186,381.8,153.3,2873.1,68.6,3756.5,515.4,366.3,2904.4,3793.7,259.1,71.1,19.5
0.079186,384.0,153.7,2871.9,57.0,3737.6,489.5,363.1,2907,3802.1,260.3,71,19.3
0.081186,383.7,152.1,2873.7,48.3,3716.8,474.5,359.6,2909.4,3808.4,261.5,71,18.5
0.083186,380.0,150.0,2879.1,41.7,3713.4,468.9,355.8,2911.7,3812.5,262.7,71.2,17.3
0.085186,372.5,148.0,2887.0,37.1,3726.8,468.2,351.8,2913.8,3814.4,263.8,71.4,16.1
0.087186,361.4,143.7,2895.9,35.5,3740.5,485.5,347.7,2915.7,3814.1,265,71.8,15.4
0.089186,348.5,135.3,2905.8,37.2,3740.6,547.1,343.4,2917.3,3811.7,266.2,72.3,15.4
0.091186,336.6,123.8,2918.0,41.4,3722.9,669.2,339,2918.6,3807.2,267.4,72.8,16.1
0.093186,327.3,112.1,2932.5,44.7,3692.0,815.4,334.6,2919.7,3800.6,268.6,73.3,17.2
0.095186,320.7,102.0,2944.9,44.0,3671.4,864.9,330.1,2920.4,3792,269.8,73.7,18.5
0.097186,315.3,92.2,2951.0,40.5,3681.7,778.4,325.7,2920.7,3781.5,271,74,19.7
0.099186,309.4,81.0,2951.2,38.6,3703.6,677.9,321.4,2920.6,3769.2,272.2,74.2,20.5
0.101186,302.9,68.3,2947.1,42.8,3716.5,628.7,317.3,2920.1,3755.2,273.4,74.4,21.4
0.103186,298.0,57.9,2938.9,56.7,3711.5,628.8,313.3,2919.2,3739.7,274.6,74.5,22.2
0.105186,294.6,49.5,2923.0,83.4,3693.5,623.6,309.5,2917.8,3722.8,275.8,74.5,22.8
0.107186,292.3,42.3,2896.8,112.9,3684.6,576.4,306,2916,3704.6,277,74.4,23.2
0.109186,291.0,36.0,2872.4,122.4,3696.7,521.4,302.7,2913.7,3685.3,278.2,74.3,23.2
0.111186,290.7,30.3,2861.4,115.8,3716.8,494.8,299.8,2911.1,3665.1,279.4,74.2,22.6
0.113186,291.4,25.8,2858.6,110.1,3730.5,493.7,297.2,2908,3644,280.6,74,21.8
0.115186,292.9,22.4,2858.9,110.0,3730.2,514.6,294.9,2904.4,3622.3,281.8,73.8,20.9
0.117186,294.6,20.1,2860.6,112.3,3712.9,570.4,293,2900.5,3600.1,283.1,73.7,20.4
0.119186,295.9,18.6,2863.8,109.6,3686.7,681.0,291.5,2896.3,3577.6,284.3,73.6,20.4
0.121186,296.3,17.1,2868.9,98.7,3656.2,874.0,290.4,2891.7,3554.8,285.5,73.6,20.9
0.123186,295.9,15.1,2874.7,83.2,3609.0,1100.7,289.6,2886.7,3532,286.7,73.8,21.7
0.125186,295.0,13.1,2879.7,69.0,3557.0,1183.8,289.2,2881.6,3509.3,288,74,22.5
0.127186,294.1,11.4,2885.0,57.3,3542.3,1106.3,289.2,2876.2,3486.7,289.2,74.2,23.1
0.129186,293.6,10.4,2891.7,48.9,3559.6,973.2,289.5,2870.6,3464.4,290.4,74.4,23.3
0.131186,293.6,10.1,2899.5,44.4,3576.8,849.1,290.1,2864.9,3442.6,291.6,74.6,23.1
0.133186,294.5,9.9,2907.9,45.1,3573.6,792.3,291,2859.1,3421.2,292.8,74.7,22.8
0.135186,296.0,9.5,2916.0,51.9,3542.4,841.7,292.1,2853.3,3400.3,294,74.7,22.4
0.137186,298.0,8.9,2924.0,63.1,3468.6,967.6,293.5,2847.5,3380.1,295.2,74.6,21.9
0.139186,300.4,8.4,2931.7,72.9,3359.9,1089.3,295,2841.8,3360.5,296.3,74.5,21.5
0.141186,302.7,8.3,2938.8,76.9,3262.3,1182.2,296.7,2836.2,3341.7,297.4,74.5,20.8
0.143186,304.8,8.5,2944.9,80.3,3177.2,1269.4,298.6,2830.7,3323.6,298.6,74.5,20.1
0.145186,306.5,9.1,2952.4,95.2,3045.8,1327.3,300.5,2825.5,3306.3,299.6,74.6,19.6
0.147186,307.6,9.6,2868.6,1267.8,2965.2,131.6,302.5,2820.5,3289.7,300.7,74.8,19.4
0.149186,308.1,9.8,2737.8,1080.7,2989.3,202.0,304.4,2815.8,3273.9,301.7,75.1,19.8
0.151186,308.2,9.6,2686.4,831.4,3037.2,311.7,306.4,2811.5,3258.9,302.7,75.5,21.1
0.153186,308.2,9.4,2685.8,580.6,3115.9,405.3,308.3,2807.5,3244.6,303.6,76,22.7
0.155186,308.4,9.4,2699.5,381.7,3200.5,405.8,310.2,2803.8,3231,304.5,76.3,24.3
0.157186,309.0,9.5,2712.1,255.1,3257.1,352.1,311.9,2800.6,3218.1,305.4,76.7,25.4
0.159186,310.1,9.7,2724.1,181.3,3293.4,311.1,313.5,2797.8,3205.8,306.2,76.9,25.7
0.161186,311.6,9.9,2736.9,136.1,3319.1,291.5,315,2795.4,3194.1,306.9,77.1,25.2
0.163186,313.3,10.0,2750.8,106.4,3333.4,287.5,316.4,2793.4,3183,307.6,77.3,24.1
0.165186,315.1,9.7,2764.1,87.4,3334.0,298.2,317.6,2791.9,3172.4,308.2,77.4,23.1
0.167186,316.5,9.1,2775.2,77.4,3320.9,328.0,318.6,2790.7,3162.3,308.7,77.5,22.5
0.169186,317.4,8.3,2784.8,73.8,3296.2,380.2,319.5,2790,3152.5,309.1,77.7,22.6
0.171186,317.9,7.7,2794.1,72.2,3266.0,443.8,320.2,2789.7,3143.2,309.5,77.8,23.5
0.173186,318.1,7.4,2803.8,69.6,3231.6,505.7,320.8,2789.7,3134.1,309.8,78,24.8
0.175186,318.4,7.3,2812.3,67.5,3189.7,549.2,321.2,2790.1,3125.3,309.9,78.1,26.2
0.177186,318.8,7.4,2819.2,68.8,3129.6,569.7,321.5,2790.8,3116.7,310,78.2,27.3
0.179186,319.4,7.5,2826.3,74.4,3049.2,560.9,321.7,2791.8,3108.4,310,78.2,27.9
0.181186,320.2,7.5,2835.1,80.5,2967.6,523.9,321.9,2793,3100.1,309.9,78.2,28.2
0.183186,321.0,7.4,2843.1,78.5,2920.1,484.4,322,2794.4,3092,309.6,78.1,28.4
0.185186,321.5,7.5,2844.1,67.9,2928.3,465.2,322,2796,3084,309.3,78,28.3
0.187186,321.5,7.8,2841.2,53.5,2975.8,462.5,322,2797.7,3076,308.8,77.8,28.1
0.189186,321.1,7.9,2839.5,43.6,3023.4,456.1,322.1,2799.5,3068.1,308.2,77.7,27.8
0.191186,320.5,8.0,2838.4,40.8,3048.6,429.0,322.2,2801.3,3060.2,307.5,77.4,27.3
0.193186,319.7,8.0,2836.2,45.9,3047.0,373.6,322.3,2803.2,3052.4,306.7,77.1,26.6
0.195186,319.0,8.2,2829.6,59.4,3034.4,295.7,322.5,2805,3044.5,305.8,76.7,25.7
0.197186,318.4,8.9,2814.6,78.1,3029.5,218.1,322.9,2806.8,3036.7,304.7,76.2,24.7
0.199186,318.0,10.8,2792.7,96.6,3035.2,160.0,323.3,2808.5,3028.9,303.6,75.6,23.4
0.201186,318.2,15.0,2769.3,115.8,3042.6,119.4,323.9,2810.1,3021.1,302.3,74.9,21.7
0.203186,319.6,22.8,2751.1,137.1,3043.2,89.7,324.6,2811.6,3013.4,301,74.2,19.8
0.205186,323.0,35.8,2744.6,159.2,3035.5,69.4,325.4,2812.9,3005.7,299.6,73.4,17.8
0.207186,329.0,56.2,2751.5,180.5,3024.3,57.1,326.4,2814,2998.1,298.1,72.5,16.2
0.209186,337.1,83.8,2769.8,204.3,3012.2,53.0,327.6,2815,2990.6,296.5,71.7,14.9
0.211186,344.3,110.6,2794.4,238.5,2998.7,56.5,328.9,2815.8,2983.2,294.8,70.9,13.8
0.213186,344.4,121.7,2817.1,292.6,2981.3,63.8,330.4,2816.4,2975.9,293.1,70.2,12.9
0.215186,334.7,109.7,2830.1,369.8,2962.4,68.7,331.9,2816.8,2968.8,291.4,69.7,12.2
0.217186,322.0,85.2,2831.7,432.6,2949.9,79.7,333.6,2817.1,2961.9,289.6,69.2,11.9
0.219186,314.0,66.4,2825.8,420.0,2950.9,115.1,335.4,2817.2,2955.3,287.8,68.7,12.1
0.221186,314.2,63.8,2813.4,347.4,2972.3,164.7,337.3,2817.1,2948.8,286,68.3,12.9
0.223186,324.5,81.0,2816.8,279.8,2991.5,195.2,339.2,2816.9,2942.6,284.2,67.9,14
0.225186,347.2,112.4,2839.7,200.5,2997.3,244.7,341.2,2816.5,2936.8,282.4,67.6,15.3
0.227186,377.0,131.2,2848.4,115.4,3013.8,320.0,343.1,2816.1,2931.2,280.7,67.3,16.5
0.229186,394.1,126.9,2844.7,67.7,3025.9,388.0,345.1,2815.6,2926,278.9,67.2,17.4
0.231186,391.9,119.0,2841.1,47.2,3014.4,468.2,346.9,2815,2921.1,277.2,67.2,18.2
0.233186,378.0,114.9,2840.1,40.6,2977.2,566.8,348.7,2814.4,2916.7,275.6,67.3,19
0.235186,364.1,111.5,2840.2,40.8,2925.3,657.7,350.4,2813.8,2912.7,273.9,67.5,19.7
0.237186,356.8,110.0,2839.7,45.2,2876.5,710.9,352,2813.2,2909,272.4,67.7,20.2
0.239186,356.7,112.1,2838.5,52.5,2853.8,718.6,353.4,2812.7,2905.9,270.9,67.9,20.4
0.241186,357.5,114.7,2839.0,59.8,2847.8,720.3,354.6,2812.2,2903.2,269.5,68.2,20.6
0.243186,352.4,116.6,2833.2,770.2,2842.5,63.5,355.7,2811.7,2900.9,268.1,68.4,20.5
0.245186,341.0,117.5,2804.7,910.9,2846.1,61.5,356.5,2811.4,2899.2,266.8,68.6,20.3
0.247186,328.8,116.8,2773.9,1165.8,2847.0,56.9,357.1,2811.1,2898,265.6,68.7,19.8
0.249186,320.7,119.6,2749.2,1549.6,2847.2,53.6,357.5,2810.9,2897.2,264.5,68.8,18.8
0.251186,318.6,134.3,2736.2,2042.1,2853.0,53.7,357.6,2810.9,2896.9,263.4,68.8,17.5
